pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,week_of_year
None, 4.0, 3.958, 3.9, 1.0, None, 12.0, -6999.0, None,2021-03-19 00:00:00, None, -6999.0,12
None, 5.0, 4.988, 3.9, 0.4, None, 12.0, -6999.0, None,2021-03-19 01:00:00, None, -6999.0,12
None, 5.9, 5.939, 3.9, 1.6, None, 12.0, -6999.0, None,2021-03-19 02:00:00, None, -6999.0,12
None, 5.7, 5.721, 3.9, 1.0, None, 12.0, -6999.0, None,2021-03-19 03:00:00, None, -6999.0,12
None, 5.1, 5.143, 3.9, 0.0, None, 12.0, -6999.0, None,2021-03-19 04:00:00, None, -6999.0,12
None, 4.7, 4.708, 3.9, 0.0, None, 12.0, -6999.0, None,2021-03-19 05:00:00, None, -6999.0,12
None, 4.3, 4.342, 3.9, 0.0, None, 12.0, -6999.0, None,2021-03-19 06:00:00, None, -6999.0,12
None, 3.9, 3.937, 4.0, 0.0, None, 4.3, -6999.0, None,2021-03-19 07:00:00, None, -6999.0,12
None, 3.5, 3.526, 3.5, 0.0, None, 4.3, -6999.0, None,2021-03-19 08:00:00, None, -6999.0,12
None, 4.2, 4.164, 3.5, 0.0, None, 4.3, -6999.0, None,2021-03-19 09:00:00, None, -6999.0,12
None, 8.2, 8.22, 3.5, 0.0, None, 8.1, -6999.0, None,2021-03-19 10:00:00, None, -6999.0,12
None, 13.9, 13.91, 3.5, 0.0, None, 13.8, -6999.0, None,2021-03-19 11:00:00, None, -6999.0,12
None, 15.3, 15.25, 3.5, 0.0, None, 15.7, -6999.0, None,2021-03-19 12:00:00, None, -6999.0,12
None, 15.4, 15.44, 3.5, 0.0, None, 15.7, -6999.0, None,2021-03-19 13:00:00, None, -6999.0,12
None, 15.2, 15.21, 3.5, 0.9, None, 15.7, -6999.0, None,2021-03-19 14:00:00, None, -6999.0,12
None, 14.7, 14.73, 3.5, 0.1, None, 15.7, -6999.0, None,2021-03-19 15:00:00, None, -6999.0,12
None, 14.0, 14.04, 3.5, -1.0, None, 15.7, -6999.0, None,2021-03-19 16:00:00, None, -6999.0,12
None, 10.2, 10.22, 3.5, 1.0, None, 15.7, -6999.0, None,2021-03-19 17:00:00, None, -6999.0,12
None, 8.7, 8.72, 3.5, 0.0, None, 15.7, -6999.0, None,2021-03-19 18:00:00, None, -6999.0,12
None, 6.9, 6.909, 6.9, 0.0, None, 8.8, -6999.0, None,2021-03-19 19:00:00, None, -6999.0,12
None, 5.8, 5.802, 5.8, 0.0, None, 8.8, -6999.0, None,2021-03-19 20:00:00, None, -6999.0,12
None, 5.0, 4.95, 5.0, 0.9, None, 8.8, -6999.0, None,2021-03-19 21:00:00, None, -6999.0,12
None, 4.5, 4.514, 4.5, 0.1, None, 8.8, -6999.0, None,2021-03-19 22:00:00, None, -6999.0,12
None, 4.4, 4.408, 4.4, 1.0, None, 8.8, -6999.0, None,2021-03-19 23:00:00, None, -6999.0,12
None, 4.3, 4.299, 4.3, 0.0, None, 8.8, -6999.0, None,2021-03-20 00:00:00, None, -6999.0,12
None, 4.2, 4.213, 4.2, 0.0, None, 8.8, -6999.0, None,2021-03-20 01:00:00, None, -6999.0,12
None, 4.1, 4.107, 4.1, 0.0, None, 8.8, -6999.0, None,2021-03-20 02:00:00, None, -6999.0,12
None, 4.0, 3.999, 4.0, 1.7, None, 8.8, -6999.0, None,2021-03-20 03:00:00, None, -6999.0,12
None, 4.0, 3.999, 4.0, 0.3, None, 8.8, -6999.0, None,2021-03-20 04:00:00, None, -6999.0,12
None, 3.9, 3.935, 3.9, 0.0, None, 8.8, -6999.0, None,2021-03-20 05:00:00, None, -6999.0,12
None, 3.9, 3.892, 3.9, 0.0, None, 8.8, -6999.0, None,2021-03-20 06:00:00, None, -6999.0,12
None, 3.8, 3.784, 3.8, 0.0, None, 3.9, -6999.0, None,2021-03-20 07:00:00, None, -6999.0,12
None, 3.9, 3.892, 3.8, 0.9, None, 3.9, -6999.0, None,2021-03-20 08:00:00, None, -6999.0,12
None, 4.2, 4.213, 3.8, 0.1, None, 4.2, -6999.0, None,2021-03-20 09:00:00, None, -6999.0,12
None, 4.8, 4.837, 3.8, 0.0, None, 4.8, -6999.0, None,2021-03-20 10:00:00, None, -6999.0,12
None, 6.5, 6.475, 3.8, 0.0, None, 6.4, -6999.0, None,2021-03-20 11:00:00, None, -6999.0,12
None, 9.4, 9.43, 3.8, 0.0, None, 9.4, -6999.0, None,2021-03-20 12:00:00, None, -6999.0,12
None, 8.6, 8.6, 3.8, 1.0, None, 9.9, -6999.0, None,2021-03-20 13:00:00, None, -6999.0,12
None, 8.2, 8.18, 3.8, 1.0, None, 9.9, -6999.0, None,2021-03-20 14:00:00, None, -6999.0,12
None, 7.7, 7.703, 3.8, 0.0, None, 9.9, -6999.0, None,2021-03-20 15:00:00, None, -6999.0,12
9.2, 7.2, 7.159, 3.8, 1.4, None, 9.9, -6999.0, None,2021-03-20 16:00:00, None, -6999.0,12
9.8, 6.9, 6.875, 3.8, 1.6, None, 9.9, -6999.0, None,2021-03-20 17:00:00, None, -6999.0,12
10.8, 6.3, 6.308, 3.8, 1.0, None, 9.9, -6999.0, None,2021-03-20 18:00:00, None, -6999.0,12
10.8, 6.0, 6.013, 6.0, 0.1, None, 6.3, -6999.0, None,2021-03-20 19:00:00, None, -6999.0,12
11.7, 5.3, 5.253, 5.3, 0.9, None, 6.3, -6999.0, None,2021-03-20 20:00:00, None, -6999.0,12
10.8, 4.2, 4.174, 4.2, 0.0, None, 6.3, -6999.0, None,2021-03-20 21:00:00, None, -6999.0,12
10.8, 3.6, 3.592, 3.6, 0.0, None, 6.3, -6999.0, None,2021-03-20 22:00:00, None, -6999.0,12
9.8, 3.5, 3.486, 3.5, 0.0, None, 6.3, -6999.0, None,2021-03-20 23:00:00, None, -6999.0,12
9.8, 3.4, 3.443, 3.4, 0.0, None, 6.3, -6999.0, None,2021-03-21 00:00:00, None, -6999.0,12
10.1, 3.4, 3.443, 3.4, 0.3, None, 6.3, -6999.0, None,2021-03-21 01:00:00, None, -6999.0,12
