pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 3.233, 94.5, 6.8, 95.0, None, None, 2.0, 3.2, 3.0, 2.0, -0.2, None, 0.0,2021-03-19 00:00:00, 0.0, 0.093, None,12
None, 3.563, 94.6, 6.8, 95.0, None, None, 3.0, 3.6, 3.0, 3.0, -0.1, None, 0.0,2021-03-19 01:00:00, 0.0, 0.028, None,12
None, 3.191, 94.8, 6.8, 95.0, None, None, 2.0, 3.2, 3.0, 2.0, -0.1, None, 0.0,2021-03-19 02:00:00, 0.0, 0.009, None,12
None, 3.257, 95.1, 6.8, 95.0, None, None, 3.0, 3.3, 3.0, 3.0, 0.0, None, 0.0,2021-03-19 03:00:00, 0.0, 0.087, None,12
None, 3.233, 94.8, 6.8, 95.0, None, None, 2.0, 3.2, 3.0, 2.0, -0.2, None, 0.0,2021-03-19 04:00:00, 0.0, -0.004, None,12
None, 3.78, 94.9, 6.8, 95.0, None, None, 3.0, 3.8, 3.0, 3.0, 0.0, None, 0.0,2021-03-19 05:00:00, 0.0, 0.08, None,12
None, 3.667, 94.0, 6.8, 94.0, None, None, 3.0, 3.7, 3.0, 3.0, 0.0, None, 0.0,2021-03-19 06:00:00, 0.0, 0.006, None,12
None, 3.384, 93.6, 3.7, 94.0, None, None, 2.0, 3.4, 3.4, 2.0, 0.0, None, 0.0,2021-03-19 07:00:00, 0.0, 0.063, None,12
None, 3.379, 91.9, 3.7, 92.0, None, None, 2.0, 3.4, 3.3, 2.0, -0.2, None, 0.0,2021-03-19 08:00:00, 0.0, 0.139, None,12
None, 3.983, 89.3, 4.1, 89.0, None, None, 2.0, 4.0, 3.2, 2.0, -0.1, None, 0.0,2021-03-19 09:00:00, 0.0, 0.064, None,12
None, 4.489, 87.1, 4.6, 87.0, None, None, 3.0, 4.5, 3.2, 3.0, 0.0, None, 0.0,2021-03-19 10:00:00, 0.0, 0.026, None,12
None, 5.64, 81.6, 5.8, 82.0, None, None, 3.0, 5.6, 3.2, 3.0, -0.2, None, 0.0,2021-03-19 11:00:00, 0.0, 0.046, None,12
None, 8.32, 70.13, 8.3, 70.0, None, None, 3.0, 8.3, 3.2, 3.0, -0.7, None, 0.0,2021-03-19 12:00:00, 0.0, -0.039, None,12
None, 8.63, 69.54, 9.1, 70.0, None, None, 3.0, 8.6, 3.2, 3.0, 0.5, None, 0.0,2021-03-19 13:00:00, 0.0, -0.014, None,12
None, 9.58, 65.38, 9.7, 65.0, None, None, 4.0, 9.6, 3.2, 4.0, 0.5, None, 0.0,2021-03-19 14:00:00, 0.0, -0.028, None,12
None, 9.71, 67.72, 10.5, 68.0, None, None, 4.0, 9.7, 3.2, 4.0, 1.0, None, 0.0,2021-03-19 15:00:00, 0.0, 0.064, None,12
None, 9.97, 64.36, 10.5, 64.0, None, None, 4.0, 10.0, 3.2, 4.0, 0.6, None, 0.0,2021-03-19 16:00:00, 0.0, 0.083, None,12
None, 8.4, 78.08, 10.5, 78.0, None, None, 5.0, 8.4, 3.2, 5.0, 0.3, None, 0.0,2021-03-19 17:00:00, 0.0, -0.024, None,12
None, 10.44, 56.11, 10.7, 56.0, None, None, 2.0, 10.4, 3.2, 2.0, -0.2, None, 0.0,2021-03-19 18:00:00, 0.0, -0.034, None,12
None, 8.42, 74.59, 10.8, 75.0, None, None, 4.0, 8.4, 8.4, 4.0, 0.2, None, 0.0,2021-03-19 19:00:00, 0.0, 0.035, None,12
None, 6.374, 84.8, 10.8, 85.0, None, None, 4.0, 6.4, 6.4, 4.0, 0.4, None, 0.0,2021-03-19 20:00:00, 0.0, 0.013, None,12
None, 5.716, 91.9, 10.8, 92.0, None, None, 4.0, 5.7, 5.7, 4.0, 2.4, None, 0.0,2021-03-19 21:00:00, 0.0, 0.254, None,12
None, 5.254, 93.3, 10.8, 93.0, None, None, 4.0, 5.3, 5.1, 4.0, 0.2, None, 0.0,2021-03-19 22:00:00, 0.0, 0.065, None,12
None, 4.996, 93.7, 10.8, 94.0, None, None, 4.0, 5.0, 5.0, 4.0, 0.8, None, 0.0,2021-03-19 23:00:00, 0.0, 0.057, None,12
None, 4.514, 94.1, 10.8, 94.0, None, None, 4.0, 4.5, 4.4, 4.0, 0.2, None, 0.0,2021-03-20 00:00:00, 0.0, 0.02, None,12
None, 4.749, 94.6, 10.8, 95.0, None, None, 4.0, 4.7, 4.2, 4.0, 0.0, None, 0.0,2021-03-20 01:00:00, 0.0, 0.005, None,12
None, 5.18, 90.2, 10.8, 90.0, None, None, 4.0, 5.2, 4.2, 4.0, 0.5, None, 0.0,2021-03-20 02:00:00, 0.0, 0.054, None,12
None, 4.961, 82.7, 10.8, 83.0, None, None, 2.0, 5.0, 4.2, 2.0, -0.5, None, 0.0,2021-03-20 03:00:00, 0.0, 0.054, None,12
