station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, MINIMUM_AIR_TEMPERATURE, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, DEW_POINT, ATMOSPHERIC_PRESSURE, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -9.71, None, None, 2012-01-01 00:00:00, None, None, 19.86, 10.93, 93.0, None, None, None, None, None, None, 265.2
None, -9.66, None, None, 2012-01-01 01:00:00, None, None, 18.15, 13.03, 95.5, None, None, None, None, None, None, None
None, -9.51, None, None, 2012-01-01 02:00:00, None, None, 17.63, 14.74, 105.9, None, None, None, None, None, None, None
None, -9.08, None, None, 2012-01-01 03:00:00, None, None, 17.88, 14.59, 116.2, None, None, None, None, None, None, None
None, -8.73, None, None, 2012-01-01 04:00:00, None, None, 18.4, 14.04, 106.5, None, None, None, None, None, None, None
None, -8.69, None, None, 2012-01-01 05:00:00, None, None, 21.99, 14.97, 85.1, None, None, None, None, None, None, None
None, -8.34, None, None, 2012-01-01 06:00:00, None, None, 19.04, 16.49, 89.7, None, None, None, None, None, None, 266.3
None, -7.94, None, None, 2012-01-01 07:00:00, None, None, 16.22, 16.61, 94.2, None, None, None, None, None, None, 265.7
None, -7.73, None, None, 2012-01-01 08:00:00, None, None, 18.45, 17.94, 83.6, None, None, None, None, None, None, 266.0
None, -7.87, None, None, 2012-01-01 09:00:00, None, None, 33.09, 12.98, 76.0, None, None, None, None, None, None, 266.8
None, -7.45, None, None, 2012-01-01 10:00:00, None, None, 36.37, 12.89, 57.31, None, None, None, None, None, None, None
None, -7.38, None, None, 2012-01-01 11:00:00, None, None, 31.4, 14.24, 63.2, None, None, None, None, None, None, None
None, -7.28, None, None, 2012-01-01 12:00:00, None, None, 31.56, 15.64, 43.41, None, None, None, None, None, None, None
None, -7.32, None, None, 2012-01-01 13:00:00, None, None, 29.21, 13.22, 87.6, None, None, None, None, None, None, 265.9
None, -7.93, None, None, 2012-01-01 14:00:00, None, None, 31.27, 11.03, 103.1, None, None, None, None, None, None, None
None, -7.92, None, None, 2012-01-01 15:00:00, None, None, 41.43, 9.2, 72.5, None, None, None, None, None, None, None
None, -8.27, None, None, 2012-01-01 16:00:00, None, None, 38.46, 10.34, 81.7, None, None, None, None, None, None, None
None, -8.07, None, None, 2012-01-01 17:00:00, None, None, 26.58, 18.01, 72.3, None, None, None, None, None, None, None
None, -7.97, None, None, 2012-01-01 18:00:00, None, None, 16.46, 22.56, 67.92, None, None, None, None, None, None, None
