station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, snwfl_amt_pst1hr, dwpt_temp, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -17.51, 81.1, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, 2012-01-01 00:00:00, None, 55.02, None
None, -17.96, 80.5, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, 2012-01-01 01:00:00, None, 55.22, None
None, -18.34, 80.3, None, None, None, None, None, None, None, None, None, -21.0, None, None, None, None, 2012-01-01 02:00:00, None, 55.06, None
None, -18.09, 80.7, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, 2012-01-01 03:00:00, None, 55.14, None
None, -16.76, 82.1, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, 2012-01-01 04:00:00, None, 55.31, None
None, -16.67, 81.5, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, 2012-01-01 05:00:00, None, 54.94, None
None, -16.02, 82.3, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, 2012-01-01 06:00:00, None, 55.05, None
None, -16.69, 81.0, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, 2012-01-01 07:00:00, None, 54.77, None
None, -17.24, 80.7, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, 2012-01-01 08:00:00, None, 54.61, None
None, -17.48, 79.5, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, 2012-01-01 09:00:00, None, 54.36, None
None, -16.03, 80.3, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, 2012-01-01 10:00:00, None, 54.28, None
None, -11.05, 79.4, None, None, None, None, None, None, None, None, None, -14.0, None, None, None, None, 2012-01-01 11:00:00, None, 53.94, None
None, -9.11, 70.8, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, 2012-01-01 12:00:00, None, 53.36, None
None, -7.88, 69.97, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, 2012-01-01 13:00:00, None, 53.37, None
None, -7.52, 70.4, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2012-01-01 14:00:00, None, 53.76, None
None, -8.49, 74.3, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, 2012-01-01 15:00:00, None, 53.95, None
None, -9.9, 79.4, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, 2012-01-01 16:00:00, None, 53.82, None
None, -10.98, 84.8, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, 2012-01-01 17:00:00, None, 53.72, None
None, -12.0, 85.5, None, None, None, None, None, None, None, None, None, -14.0, None, None, None, None, 2012-01-01 18:00:00, None, 53.71, None
None, -12.63, 87.3, None, None, None, None, None, None, None, None, None, -14.0, None, None, None, None, 2012-01-01 19:00:00, None, 53.55, None
None, -12.69, 88.0, None, None, None, None, None, None, None, None, None, -14.0, None, None, None, None, 2012-01-01 20:00:00, None, 53.59, None
None, -12.87, 88.0, None, None, None, None, None, None, None, None, None, -14.0, None, None, None, None, 2012-01-01 21:00:00, None, 53.29, None
None, -13.27, 87.1, None, None, None, None, None, None, None, None, None, -15.0, None, None, None, None, 2012-01-01 22:00:00, None, 53.37, None
None, -13.82, 86.5, None, None, None, None, None, None, None, None, None, -15.0, None, None, None, None, 2012-01-01 23:00:00, None, 53.27, None
None, -14.14, 85.6, None, None, None, None, None, None, None, None, None, -16.0, None, None, None, None, 2012-01-02 00:00:00, None, 53.18, None
None, -14.44, 86.2, None, None, None, None, None, None, None, None, None, -16.0, None, None, None, None, 2012-01-02 01:00:00, None, 52.68, None
None, -15.45, 83.7, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, 2012-01-02 02:00:00, None, 52.81, None
None, -16.19, 82.5, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, 2012-01-02 03:00:00, None, 52.49, None
None, -16.65, 82.6, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, 2012-01-02 04:00:00, None, 52.52, None
None, -17.12, 81.5, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, 2012-01-02 05:00:00, None, 52.32, None
None, -17.28, 81.7, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, 2012-01-02 06:00:00, None, 52.22, None
None, -17.77, 80.8, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, 2012-01-02 07:00:00, None, 52.4, None
None, -17.87, 80.9, None, None, None, None, None, None, None, None, None, -20.0, None, None, None, None, 2012-01-02 08:00:00, None, 52.37, None
None, -16.64, 81.4, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, 2012-01-02 09:00:00, None, 51.92, None
None, -14.51, 82.2, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, 2012-01-02 10:00:00, None, 51.68, None
None, -10.94, 77.3, None, None, None, None, None, None, None, None, None, -14.0, None, None, None, None, 2012-01-02 11:00:00, None, 51.76, None
None, -9.37, 71.1, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, 2012-01-02 12:00:00, None, 51.52, None
None, -6.819, 68.05, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2012-01-02 13:00:00, None, 51.38, None
None, -8.47, 76.4, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2012-01-02 14:00:00, None, 51.64, None
None, -8.95, 81.5, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2012-01-02 15:00:00, None, 51.68, None
None, -10.9, 82.6, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, 2012-01-02 16:00:00, None, 51.69, None
None, -11.39, 87.6, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, 2012-01-02 17:00:00, None, 51.55, None
None, -11.39, 88.6, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, 2012-01-02 18:00:00, None, 51.59, None
None, -10.44, 91.7, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2012-01-02 19:00:00, None, 51.79, None
None, -9.48, 91.0, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2012-01-02 20:00:00, None, 51.79, None
None, -9.49, 91.6, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, 2012-01-02 21:00:00, None, 51.7, None
None, -9.92, 91.4, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2012-01-02 22:00:00, None, 51.38, None
None, -9.78, 93.0, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2012-01-02 23:00:00, None, 51.3, None
None, -8.98, 94.6, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, 2012-01-03 00:00:00, None, 50.92, None
None, -8.26, 94.5, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, 2012-01-03 01:00:00, None, 50.12, None
None, -8.07, 94.4, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, 2012-01-03 02:00:00, None, 50.98, None
None, -8.02, 94.5, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, 2012-01-03 03:00:00, None, 50.89, None
