station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -9.94, None, None, None, None, None, 7.57, None, 21.19, 76.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 00:00:00, None, None
None, -9.7, None, None, None, None, None, 7.32, None, 22.62, 78.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 01:00:00, None, None
None, -9.61, None, None, None, None, None, 7.68, None, 22.78, 80.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 02:00:00, None, None
None, -9.18, None, None, None, None, None, 9.89, None, 19.43, 73.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 03:00:00, None, None
None, -9.37, None, None, None, None, None, 7.93, None, 20.34, 76.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 04:00:00, None, None
None, -9.17, None, None, None, None, None, 7.93, None, 22.6, 81.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 05:00:00, None, None
None, -9.06, None, None, None, None, None, 9.22, None, 21.79, 80.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 06:00:00, None, None
None, -8.81, None, None, None, None, None, 7.29, None, 24.56, 80.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 07:00:00, None, None
None, -8.32, None, None, None, None, None, 7.25, None, 23.43, 78.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 08:00:00, None, None
None, -7.72, None, None, None, None, None, 8.22, None, 22.49, 73.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 09:00:00, None, None
None, -6.794, None, None, None, None, None, 7.86, None, 21.83, 74.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 10:00:00, None, None
None, -5.867, None, None, None, None, None, 9.4, None, 23.19, 78.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 11:00:00, None, None
None, -4.971, None, None, None, None, None, 10.31, None, 21.16, 75.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 12:00:00, None, None
None, -3.636, None, None, None, None, None, 9.27, None, 19.96, 77.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 13:00:00, None, None
None, -3.741, None, None, None, None, None, 8.27, None, 22.17, 80.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 14:00:00, None, None
None, -3.153, None, None, None, None, None, 9.75, None, 23.89, 83.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 15:00:00, None, None
None, -2.872, None, None, None, None, None, 9.52, None, 22.93, 79.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 16:00:00, None, None
None, -1.607, None, None, None, None, None, 11.66, None, 25.56, 89.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 17:00:00, None, None
None, -1.004, None, None, None, None, None, 12.97, None, 21.25, 96.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 18:00:00, None, None
None, 0.078, None, None, None, None, None, 14.06, None, 19.68, 102.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 19:00:00, None, None
None, 1.587, None, None, None, None, None, 13.99, None, 20.77, 117.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 20:00:00, None, None
None, 1.569, None, None, None, None, None, 11.97, None, 20.96, 117.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 21:00:00, None, None
None, 1.569, None, None, None, None, None, 10.45, None, 20.94, 113.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 22:00:00, None, None
None, 2.162, None, None, None, None, None, 19.01, None, 18.41, 136.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 23:00:00, None, None
None, 2.284, None, None, None, None, None, 11.04, None, 24.67, 173.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 00:00:00, None, None
None, 2.821, None, None, None, None, None, 8.29, None, 28.31, 177.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 01:00:00, None, None
None, 3.109, None, None, None, None, None, 3.936, None, 28.2, 180.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 02:00:00, None, None
None, 2.918, None, None, None, None, None, 4.309, None, 26.25, 181.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 03:00:00, None, None
None, 2.765, None, None, None, None, None, 4.68, None, 24.19, 179.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 04:00:00, None, None
None, 2.755, None, None, None, None, None, 6.784, None, 21.21, 176.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 05:00:00, None, None
None, 3.072, None, None, None, None, None, 4.316, None, 21.31, 183.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 06:00:00, None, None
None, 3.254, None, None, None, None, None, 6.339, None, 19.61, 180.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 07:00:00, None, None
None, 3.533, None, None, None, None, None, 9.69, None, 20.87, 175.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 08:00:00, None, None
None, 3.764, None, None, None, None, None, 8.55, None, 26.97, 191.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 09:00:00, None, None
None, 5.102, None, None, None, None, None, 19.55, None, 20.76, 213.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 10:00:00, None, None
None, 4.4, None, None, None, None, None, 13.88, None, 21.15, 207.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 11:00:00, None, None
None, 4.562, None, None, None, None, None, 16.94, None, 26.9, 223.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 12:00:00, None, None
None, 3.704, None, None, None, None, None, 22.95, None, 22.89, 238.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 13:00:00, None, None
None, 3.542, None, None, None, None, None, 16.3, None, 24.8, 241.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 14:00:00, None, None
None, 0.946, None, None, None, None, None, 21.52, None, 27.27, 250.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 15:00:00, None, None
None, 0.01, None, None, None, None, None, 18.64, None, 22.27, 241.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 16:00:00, None, None
None, -1.116, None, None, None, None, None, 24.45, None, 17.24, 184.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 17:00:00, None, None
None, -1.662, None, None, None, None, None, 27.01, None, 16.8, 175.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 18:00:00, None, None
None, -1.683, None, None, None, None, None, 26.21, None, 15.87, 176.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 19:00:00, None, None
None, -1.569, None, None, None, None, None, 34.48, None, 8.5, 190.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 20:00:00, None, None
None, -1.742, None, None, None, None, None, 17.73, None, 11.91, 227.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 21:00:00, None, None
None, -1.733, None, None, None, None, None, 18.3, None, 15.91, 248.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 22:00:00, None, None
None, -2.107, None, None, None, None, None, 23.2, None, 26.22, 232.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 23:00:00, None, None
None, -2.02, None, None, None, None, None, 24.43, None, 28.52, 229.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 00:00:00, None, None
None, -1.952, None, None, None, None, None, 24.61, None, 31.01, 235.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 01:00:00, None, None
None, -2.403, None, None, None, None, None, 25.18, None, 28.88, 241.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 02:00:00, None, None
None, -2.728, None, None, None, None, None, 25.01, None, 24.25, 253.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 03:00:00, None, None
None, -2.989, None, None, None, None, None, 27.19, None, 21.3, 243.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 04:00:00, None, None
None, -3.441, None, None, None, None, None, 29.01, None, 21.68, 242.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 05:00:00, None, None
None, -3.316, None, None, None, None, None, 28.88, None, 22.24, 236.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 06:00:00, None, None
None, -3.403, None, None, None, None, None, 28.59, None, 19.32, 220.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 07:00:00, None, None
None, -3.769, None, None, None, None, None, 23.03, None, 18.89, 199.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 08:00:00, None, None
None, -3.422, None, None, None, None, None, 20.12, None, 20.66, 209.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 09:00:00, None, None
None, -2.354, None, None, None, None, None, 20.49, None, 21.67, 217.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 10:00:00, None, None
None, -2.7, None, None, None, None, None, 21.34, None, 21.18, 216.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 11:00:00, None, None
None, -2.615, None, None, None, None, None, 22.46, None, 20.84, 207.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 12:00:00, None, None
None, -2.394, None, None, None, None, None, 25.03, None, 17.75, 212.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 13:00:00, None, None
None, -2.269, None, None, None, None, None, 20.92, None, 20.15, 207.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 14:00:00, None, None
None, -2.068, None, None, None, None, None, 18.0, None, 20.51, 184.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 15:00:00, None, None
None, -1.493, None, None, None, None, None, 12.92, None, 24.82, 182.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 16:00:00, None, None
None, -1.407, None, None, None, None, None, 12.91, None, 23.84, 187.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 17:00:00, None, None
