station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW
None, None, -8.57, 101.5, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, 2012-01-01 00:00:00, None, 151.3
None, None, -8.38, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 01:00:00, None, None
None, None, -7.91, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 02:00:00, None, None
None, None, -7.35, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 03:00:00, None, None
None, None, -7.27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 04:00:00, None, None
None, None, -7.01, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 05:00:00, None, None
None, None, -6.919, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 06:00:00, None, None
None, None, -7.11, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 07:00:00, None, None
None, None, -7.29, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 08:00:00, None, None
None, None, -6.371, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 09:00:00, None, None
None, None, -5.246, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 10:00:00, None, None
None, None, -3.53, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 11:00:00, None, None
None, None, -3.453, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 12:00:00, None, None
None, None, -2.834, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 13:00:00, None, None
None, None, -2.629, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 14:00:00, None, None
None, None, -2.517, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 15:00:00, None, None
None, None, -2.564, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 16:00:00, None, None
None, None, -2.425, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 17:00:00, None, None
