station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -12.13, 53.37, None, None, None, None, None, None, None, None, None, None, None, None, None, -19.0, None, None, None, None, None, None, None, 2012-01-01 00:00:00, None, None, 92.9
None, -12.19, 53.91, None, None, None, None, 75.2, None, 0.537, 44.27, None, None, None, None, None, -19.0, None, None, None, None, None, None, None, 2012-01-01 01:00:00, None, None, 92.8
None, -11.79, 53.23, None, None, None, None, 67.1, None, 0.985, 51.85, None, None, None, None, None, -19.0, None, None, None, None, None, None, None, 2012-01-01 02:00:00, None, None, 92.8
None, -11.25, 53.59, None, None, None, None, 75.1, None, 0.482, 131.3, None, None, None, None, None, -18.0, None, None, None, None, None, None, None, 2012-01-01 03:00:00, None, None, 92.6
None, -11.08, 53.0, None, None, None, None, 36.68, None, 3.003, 27.2, None, None, None, None, None, -18.0, None, None, None, None, None, None, None, 2012-01-01 04:00:00, None, None, 92.8
None, -10.75, 51.88, None, None, None, None, 73.7, None, 0.671, 134.1, None, None, None, None, None, -18.0, None, None, None, None, None, None, None, 2012-01-01 05:00:00, None, None, 92.4
None, -9.6, 42.58, None, None, None, None, 76.5, None, 0.573, 48.17, None, None, None, None, None, -19.0, None, None, None, None, None, None, None, 2012-01-01 06:00:00, None, None, 92.9
None, -10.0, 44.42, None, None, None, None, 66.62, None, 1.372, 180.3, None, None, None, None, None, -19.0, None, None, None, None, None, None, None, 2012-01-01 07:00:00, None, None, 92.3
None, -9.14, 36.28, None, None, None, None, 70.9, None, 1.17, 193.4, None, None, None, None, None, -20.0, None, None, None, None, None, None, None, 2012-01-01 08:00:00, None, None, 92.3
None, -8.91, 40.74, None, None, None, None, 70.4, None, 1.478, 193.3, None, None, None, None, None, -19.0, None, None, None, None, None, None, None, 2012-01-01 09:00:00, None, None, 92.1
