station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, max_air_temp_snc_last_reset, MINIMUM_AIR_TEMPERATURE, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, snw_dpth, HEIGHT_OF_SNOW
None, None, -8.3, None, None, 2012-01-01 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 134.8
None, None, -7.56, None, None, 2012-01-01 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 136.4
None, None, -7.21, None, None, 2012-01-01 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 136.5
None, None, -7.0, None, None, 2012-01-01 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 136.5
None, None, -6.894, None, None, 2012-01-01 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 134.4
None, None, -6.972, None, None, 2012-01-01 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 138.2
None, None, -6.727, None, None, 2012-01-01 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 133.5
None, None, -6.747, None, None, 2012-01-01 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 136.3
None, None, -6.776, None, None, 2012-01-01 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 137.1
None, None, -6.531, None, None, 2012-01-01 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 137.0
None, None, -5.84, None, None, 2012-01-01 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 136.6
None, None, -5.579, None, None, 2012-01-01 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 134.6
None, None, -5.319, None, None, 2012-01-01 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 136.4
None, None, -5.184, None, None, 2012-01-01 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 136.3
None, None, -5.204, None, None, 2012-01-01 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 140.1
None, None, -4.876, None, None, 2012-01-01 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 142.6
None, None, -4.876, None, None, 2012-01-01 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 145.6
None, None, -4.847, None, None, 2012-01-01 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 147.3
