pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 18.77, 25.5, None, None, None, None, 18.8, 18.1, -0.2, None, 0.0,2022-07-30 00:00:00, 3.0, 2.566, None,31
None, 16.91, 25.5, None, None, None, None, 16.9, 16.9, -0.1, None, 0.0,2022-07-30 01:00:00, 3.0, 2.68, None,31
None, 16.96, 25.5, None, None, None, None, 17.0, 16.3, 0.0, None, 0.0,2022-07-30 02:00:00, 3.0, 2.557, None,31
None, 16.5, 25.5, None, None, None, None, 16.5, 15.6, -0.2, None, 0.0,2022-07-30 03:00:00, 2.0, 2.422, None,31
None, 15.69, 25.5, None, None, None, None, 15.7, 15.3, -0.2, None, 0.0,2022-07-30 04:00:00, 3.0, 2.572, None,31
None, 14.82, 25.5, None, None, None, None, 14.8, 14.8, 0.0, None, 0.0,2022-07-30 05:00:00, 3.0, 2.55, None,31
None, 14.22, 25.5, None, None, None, None, 14.2, 14.2, -0.1, None, 0.0,2022-07-30 06:00:00, 3.0, 2.582, None,31
None, 14.88, 15.0, None, None, None, None, 14.9, 13.5, -0.1, None, 0.0,2022-07-30 07:00:00, 3.0, 2.591, None,31
None, 16.72, 16.9, None, None, None, None, 16.7, 13.5, 0.0, None, 0.0,2022-07-30 08:00:00, 2.0, 2.435, None,31
None, 19.05, 19.1, None, None, None, None, 19.1, 13.5, 0.0, None, 0.0,2022-07-30 09:00:00, 3.0, 2.672, None,31
None, 22.62, 22.6, None, None, None, None, 22.6, 13.5, 0.0, None, 0.0,2022-07-30 10:00:00, 2.0, 2.433, None,31
None, 25.56, 25.6, None, None, None, None, 25.6, 13.5, 0.0, None, 0.0,2022-07-30 11:00:00, 3.0, 2.641, None,31
None, 28.7, 29.1, None, None, None, None, 28.7, 13.5, 0.0, None, 0.0,2022-07-30 12:00:00, 2.0, 2.479, None,31
None, 31.16, 31.7, None, None, None, None, 31.2, 13.5, -0.2, None, 0.0,2022-07-30 13:00:00, 2.0, 2.371, None,31
None, 33.27, 34.0, None, None, None, None, 33.3, 13.5, -0.1, None, 0.0,2022-07-30 14:00:00, 3.0, 2.558, None,31
