CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 1.483, None, None, None, None, 9.1, 68.63, 0.0, 1.413, 219.2, -6999.0, 1.4, 1.5, 1.3, 0.0, None, None, 219.0, 5.1, None, None, -6999.0, None,2020-05-27 00:00:00, 94.0, None, 93.9,22
None, 1.458, None, None, None, None, 7.1, 65.78, 0.0, 1.176, 179.3, -6999.0, 1.2, 1.5, 1.3, 0.0, None, None, 179.0, 5.1, None, None, -6999.0, None,2020-05-27 01:00:00, 94.0, None, 93.8,22
None, 1.166, None, None, None, None, 6.4, 53.55, 0.0, 1.525, 239.8, -6999.0, 1.5, 1.2, 1.0, 0.0, None, None, 240.0, 5.1, None, None, -6999.0, None,2020-05-27 02:00:00, 94.0, None, 93.9,22
None, 0.771, None, None, None, None, 5.9, 48.26, 0.0, 1.023, 228.7, -6999.0, 1.0, 0.8, 0.6, 0.0, None, None, 229.0, 5.1, None, None, -6999.0, None,2020-05-27 03:00:00, 94.0, None, 93.9,22
None, 0.336, None, None, None, None, 6.4, 47.53, 0.0, 1.514, 189.5, -6999.0, 1.5, 0.3, -0.1, 0.0, None, None, 190.0, 5.1, None, None, -6999.0, None,2020-05-27 04:00:00, 94.0, None, 93.6,22
None, 0.067, None, None, None, None, 5.9, 66.78, 0.0, 1.195, 150.4, -6999.0, 1.2, 0.1, -0.1, 0.0, None, None, 150.0, 5.1, None, None, -6999.0, None,2020-05-27 05:00:00, 94.0, None, 93.7,22
None, -0.119, None, None, None, None, 5.2, 40.15, 0.0, 1.368, 160.7, -6999.0, 1.4, -0.1, -0.3, 0.0, None, None, 161.0, 5.1, None, None, -6999.0, None,2020-05-27 06:00:00, 94.0, None, 93.5,22
None, 0.336, None, None, None, None, 5.6, 23.98, 0.0, 2.099, 186.4, -6999.0, 2.1, 0.3, -0.2, 0.0, None, None, 186.0, 0.5, None, None, -6999.0, None,2020-05-27 07:00:00, 94.0, None, 93.5,22
None, 0.674, None, None, None, None, 5.2, 16.78, 1.0, 2.97, 189.0, -6999.0, 3.0, 0.7, -0.2, 0.0, None, None, 189.0, 0.6, None, None, -6999.0, None,2020-05-27 08:00:00, 94.0, None, 93.8,22
None, 1.579, None, None, None, None, 6.8, 23.44, 0.0, 2.703, 220.7, -6999.0, 2.7, 1.6, -0.2, 0.0, None, None, 221.0, 1.7, None, None, -6999.0, None,2020-05-27 09:00:00, 94.0, None, 93.5,22
None, 4.449, None, None, None, None, 7.1, 59.52, 0.0, 1.805, 249.8, -6999.0, 1.8, 4.4, -0.2, 0.0, None, None, 250.0, 4.4, None, None, -6999.0, None,2020-05-27 10:00:00, 94.0, None, 93.7,22
None, 6.115, None, None, None, None, 8.2, 73.73, 0.0, 2.213, 257.5, -6999.0, 2.2, 6.1, -0.2, 0.0, None, None, 258.0, 6.1, None, None, -6999.0, None,2020-05-27 11:00:00, 94.0, None, 93.7,22
None, 7.644, None, None, None, None, 9.0, 64.47, 0.0, 1.966, 285.8, -6999.0, 2.0, 7.6, -0.2, 0.0, None, None, 286.0, 8.3, None, None, -6999.0, None,2020-05-27 12:00:00, 94.0, None, 93.6,22
None, 10.2, None, None, None, None, 13.9, 50.1, -1.0, 2.311, 267.7, -6999.0, 2.3, 10.2, -0.2, 0.0, None, None, 268.0, 10.6, None, None, -6999.0, None,2020-05-27 13:00:00, 92.0, None, 92.3,22
None, 11.13, None, None, None, None, 11.9, 54.43, 0.0, 2.334, 290.2, -6999.0, 2.3, 11.1, -0.2, 0.0, None, None, 290.0, 11.4, None, None, -6999.0, None,2020-05-27 14:00:00, 92.0, None, 92.2,22
None, 10.4, None, None, None, None, 10.7, 49.1, 1.0, 2.724, 297.2, -6999.0, 2.7, 10.4, -0.2, 0.0, None, None, 297.0, 11.4, None, None, -6416.0, None,2020-05-27 15:00:00, 93.0, None, 92.5,22
None, 11.78, None, None, None, None, 16.1, 53.66, -1.0, 2.947, 274.0, -6999.0, 2.9, 11.8, -0.2, 0.0, None, None, 274.0, 11.8, None, None, -6999.0, None,2020-05-27 16:00:00, 92.0, None, 91.5,22
None, 12.56, None, None, None, None, 13.3, 53.36, 0.0, 2.921, 281.4, -6999.0, 2.9, 12.6, -0.2, 0.0, None, None, 281.0, 12.8, None, None, -6999.0, None,2020-05-27 17:00:00, 91.0, None, 91.0,22
None, 12.13, None, None, None, None, 13.3, 53.6, 1.0, 2.374, 291.3, -6999.0, 2.4, 12.1, -0.2, 0.0, None, None, 291.0, 13.6, None, None, -6999.0, None,2020-05-27 18:00:00, 91.0, None, 91.3,22
None, 10.71, None, None, None, None, 13.7, 54.94, 1.0, 2.383, 290.9, -6999.0, 2.4, 10.7, 10.6, 0.0, None, None, 291.0, 12.3, None, None, -6999.0, None,2020-05-27 19:00:00, 92.0, None, 91.9,22
None, 8.35, None, None, None, None, 9.5, 53.98, 1.0, 1.58, 262.7, -6999.0, 1.6, 8.4, 8.4, 0.0, None, None, 263.0, 12.3, None, None, -6999.0, None,2020-05-27 20:00:00, 92.0, None, 92.2,22
None, 6.804, None, None, None, None, 6.8, 38.67, -2.0, 1.72, 174.8, -6999.0, 1.7, 6.8, 6.9, 0.0, None, None, 175.0, 12.3, None, None, -6999.0, None,2020-05-27 21:00:00, 90.0, None, 90.3,22
None, 6.194, None, None, None, None, 3.7, 24.27, 0.0, 1.906, 146.2, -6999.0, 1.9, 6.2, 6.2, 0.0, None, None, 146.0, 12.3, None, None, -6999.0, None,2020-05-27 22:00:00, 90.0, None, 90.2,22
None, 5.821, None, None, None, None, 6.9, 18.83, 0.0, 2.787, 91.9, -6999.0, 2.8, 5.8, 5.6, 0.0, None, None, 92.0, 12.3, None, None, -6999.0, None,2020-05-27 23:00:00, 90.0, None, 90.1,22
None, 5.237, None, None, None, None, 5.3, 45.29, 1.0, 1.346, 84.0, -6999.0, 1.3, 5.2, 5.2, 0.0, None, None, 84.0, 12.3, None, None, -6999.0, None,2020-05-28 00:00:00, 91.0, None, 90.5,22
None, 5.41, None, None, None, None, 7.1, 49.89, 0.0, 1.382, 171.1, -6999.0, 1.4, 5.4, 5.0, 0.0, None, None, 171.0, 12.3, None, None, -6999.0, None,2020-05-28 01:00:00, 90.0, None, 90.3,22
None, 5.352, None, None, None, None, 7.3, 46.11, 0.0, 1.68, 170.1, -6999.0, 1.7, 5.4, 5.0, 0.0, None, None, 170.0, 12.3, None, None, -6999.0, None,2020-05-28 02:00:00, 90.0, None, 90.1,22
None, 5.182, None, None, None, None, 7.4, 36.6, 0.0, 2.352, 158.6, -6999.0, 2.4, 5.2, 4.8, 0.0, None, None, 159.0, 12.3, None, None, -6999.0, None,2020-05-28 03:00:00, 90.0, None, 90.3,22
None, 5.514, None, None, None, None, 5.3, 21.64, 0.0, 2.208, 157.7, -6999.0, 2.2, 5.5, 4.8, 0.0, None, None, 158.0, 12.3, None, None, -6999.0, None,2020-05-28 04:00:00, 90.0, None, 90.0,22
None, 5.429, None, None, None, None, 7.6, 21.42, 1.0, 3.625, 128.3, -6999.0, 3.6, 5.4, 4.8, 0.0, None, None, 128.0, 12.3, None, None, -6999.0, None,2020-05-28 05:00:00, 90.0, None, 90.4,22
