station_observations
AirTemp, ONE_DAY_PRECIPITATION, Snow_WE, time, MIN_TEMP, MAX_TEMP
None, 0.0, None, 2018-01-01 00:00:00, -15.8, -3.4
None, 0.0, None, 2018-01-02 00:00:00, -10.6, 5.6
None, 0.0, None, 2018-01-03 00:00:00, -7.9, 0.3
None, 0.0, None, 2018-01-04 00:00:00, -7.6, 9.4
None, 15.0, None, 2018-01-05 00:00:00, -5.1, -1.3
None, 6.0, None, 2018-01-06 00:00:00, -5.4, -0.2
None, 6.7, None, 2018-01-07 00:00:00, -5.9, -4.5
None, 14.7, None, 2018-01-08 00:00:00, -5.5, -3.0
None, 10.7, None, 2018-01-09 00:00:00, -5.6, -2.5
None, 8.4, None, 2018-01-10 00:00:00, -12.4, -5.5
None, 1.0, None, 2018-01-11 00:00:00, -15.9, -5.4
None, 7.0, None, 2018-01-12 00:00:00, -13.1, -6.4
None, 4.0, None, 2018-01-13 00:00:00, -8.0, -2.0
None, 0.0, None, 2018-01-14 00:00:00, -5.8, 4.3
None, 1.0, None, 2018-01-15 00:00:00, -4.3, 6.0
None, 0.0, None, 2018-01-16 00:00:00, -5.6, -0.2
None, 6.0, None, 2018-01-17 00:00:00, -6.7, -2.7
None, 15.4, None, 2018-01-18 00:00:00, -6.8, -1.6
None, 3.0, None, 2018-01-19 00:00:00, -7.9, -5.9
None, 4.0, None, 2018-01-20 00:00:00, -7.4, -4.6
None, 6.0, None, 2018-01-21 00:00:00, -7.0, -5.5
None, 13.0, None, 2018-01-22 00:00:00, -7.5, -3.3
None, 3.0, None, 2018-01-23 00:00:00, -9.6, -4.8
None, 11.0, None, 2018-01-24 00:00:00, -7.5, -2.8
None, 6.0, None, 2018-01-25 00:00:00, -10.7, 0.0
None, 3.0, None, 2018-01-26 00:00:00, -11.1, -0.2
None, 4.0, None, 2018-01-27 00:00:00, -11.5, -6.7
None, 15.0, None, 2018-01-28 00:00:00, -10.0, -4.9
None, 32.0, None, 2018-01-29 00:00:00, -5.1, -1.2
None, 19.0, None, 2018-01-30 00:00:00, -8.1, -4.5
None, 4.0, None, 2018-01-31 00:00:00, -10.7, -2.1
None, 7.0, None, 2018-02-01 00:00:00, -10.7, -6.0
None, 26.0, None, 2018-02-02 00:00:00, -8.0, -3.0
None, 42.0, None, 2018-02-03 00:00:00, -7.3, -2.5
None, 21.0, None, 2018-02-04 00:00:00, -7.7, -3.0
None, 2.3, None, 2018-02-05 00:00:00, -10.8, -3.2
None, 5.7, None, 2018-02-06 00:00:00, -10.4, -0.9
None, 43.0, None, 2018-02-07 00:00:00, -7.1, -1.9
None, 32.0, None, 2018-02-08 00:00:00, -12.0, 0.0
None, 0.0, None, 2018-02-09 00:00:00, -16.0, 3.5
None, 3.0, None, 2018-02-10 00:00:00, -17.8, -5.3
None, 0.0, None, 2018-02-11 00:00:00, -17.8, -4.7
None, 0.0, None, 2018-02-12 00:00:00, -19.9, 6.2
None, 22.3, None, 2018-02-13 00:00:00, -12.8, -8.6
None, 8.7, None, 2018-02-14 00:00:00, -11.0, -0.9
None, 2.0, None, 2018-02-15 00:00:00, -15.8, 0.3
None, 11.0, None, 2018-02-16 00:00:00, -12.2, -3.7
None, 4.0, None, 2018-02-17 00:00:00, -17.1, -8.0
None, 0.0, None, 2018-02-18 00:00:00, -21.0, -9.7
None, 0.0, None, 2018-02-19 00:00:00, -23.5, 1.6
None, 0.0, None, 2018-02-20 00:00:00, -22.7, -10.4
None, 2.0, None, 2018-02-21 00:00:00, -23.2, -9.1
None, 0.0, None, 2018-02-22 00:00:00, -20.4, 6.7
None, 4.0, None, 2018-02-23 00:00:00, -20.2, -6.3
None, 2.0, None, 2018-02-24 00:00:00, -18.4, -8.0
None, 14.0, None, 2018-02-25 00:00:00, -12.8, -5.3
None, 4.0, None, 2018-02-26 00:00:00, -13.1, -7.0
None, 9.0, None, 2018-02-27 00:00:00, -11.7, -7.6
None, 1.0, None, 2018-02-28 00:00:00, -11.0, 0.1
None, 1.0, None, 2018-03-01 00:00:00, -9.0, 0.7
