wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,SNOW_ON_THE_GROUND
20.0, None, None,0.0, None,4.6, None,11.3, None, None, None,92.0,2017-08-13 00:00:00,33,,,,,,,,,,,,,
16.0, None, None,0.0, None,4.0, None,10.9, None, None, None,91.0,2017-08-13 01:00:00,33,,,,,,,,,,,,,
19.0, None, None,0.0, None,3.8, None,11.0, None, None, None,87.0,2017-08-13 02:00:00,33,,,,,,,,,,,,,
44.0, None, None,0.0, None,4.8, None,10.9, None, None, None,88.0,2017-08-13 03:00:00,33,,,,,,,,,,,,,
64.0, None, None,0.2, None,4.7, None,11.2, None, None, None,93.0,2017-08-13 04:00:00,33,,,,,,,,,,,,,
60.0, None, None,0.2, None,6.8, None,11.0, None, None, None,92.0,2017-08-13 05:00:00,33,,,,,,,,,,,,,
348.0, None, None,0.2, None,4.1, None,11.3, None, None, None,94.0,2017-08-13 06:00:00,33,,,,,,,,,,,,,
268.0, None, None,0.4, None,3.1, None,11.4, None, None, None,98.0,2017-08-13 07:00:00,33,,,,,,,,,,,,,
60.0, None, None,0.0, None,2.7, None,11.8, None, None, None,97.0,2017-08-13 08:00:00,33,,,,,,,,,,,,,
99.0, None, None,0.0, None,3.6, None,12.9, None, None, None,95.0,2017-08-13 09:00:00,33,,,,,,,,,,,,,
163.0, None, None,0.0, None,3.3, None,14.3, None, None, None,90.0,2017-08-13 10:00:00,33,,,,,,,,,,,,,
149.0, None, None,0.2, None,5.0, None,16.9, None, None, None,68.0,2017-08-13 11:00:00,33,,,,,,,,,,,,,
159.0, None, None,0.0, None,4.9, None,18.8, None, None, None,61.0,2017-08-13 12:00:00,33,,,,,,,,,,,,,
245.0, None, None,0.0, None,6.3, None,18.9, None, None, None,54.0,2017-08-13 13:00:00,33,,,,,,,,,,,,,
194.0, None, None,0.0, None,3.8, None,19.6, None, None, None,44.0,2017-08-13 14:00:00,33,,,,,,,,,,,,,
320.0, None, None,0.0, None,9.1, None,19.6, None, None, None,42.0,2017-08-13 15:00:00,33,,,,,,,,,,,,,
311.0, None, None,0.0, None,12.1, None,20.7, None, None, None,35.0,2017-08-13 16:00:00,33,,,,,,,,,,,,,
317.0, None, None,0.0, None,9.0, None,20.3, None, None, None,37.0,2017-08-13 17:00:00,33,,,,,,,,,,,,,
326.0, None, None,0.0, None,12.0, None,17.3, None, None, None,40.0,2017-08-13 18:00:00,33,,,,,,,,,,,,,
327.0, None, None,0.0, None,11.8, None,14.3, None, None, None,35.0,2017-08-13 19:00:00,33,,,,,,,,,,,,,
339.0, None, None,0.0, None,9.8, None,13.2, None, None, None,43.0,2017-08-13 20:00:00,33,,,,,,,,,,,,,
342.0, None, None,0.0, None,8.5, None,11.9, None, None, None,51.0,2017-08-13 21:00:00,33,,,,,,,,,,,,,
339.0, None, None,0.0, None,7.2, None,11.1, None, None, None,56.0,2017-08-13 22:00:00,33,,,,,,,,,,,,,
6.0, None, None,0.0, None,4.4, None,9.2, None, None, None,65.0,2017-08-13 23:00:00,33,,,,,,,,,,,,,
353.0, None, None,0.0, None,4.2, None,7.3, None, None, None,78.0,2017-08-14 00:00:00,33,,,,,,,,,,,,,
25.0, None, None,0.0, None,2.4, None,6.1, None, None, None,84.0,2017-08-14 01:00:00,33,,,,,,,,,,,,,
10.0, None, None,0.0, None,0.0, None,6.8, None, None, None,86.0,2017-08-14 02:00:00,33,,,,,,,,,,,,,
349.0, None, None,0.0, None,3.0, None,7.3, None, None, None,84.0,2017-08-14 03:00:00,33,,,,,,,,,,,,,
350.0, None, None,0.0, None,5.0, None,8.2, None, None, None,76.0,2017-08-14 04:00:00,33,,,,,,,,,,,,,
357.0, None, None,0.0, None,4.8, None,7.9, None, None, None,81.0,2017-08-14 05:00:00,33,,,,,,,,,,,,,
30.0, None, None,0.0, None,2.4, None,9.0, None, None, None,75.0,2017-08-14 06:00:00,33,,,,,,,,,,,,,
349.0, None, None,0.0, None,5.6, None,10.5, None, None, None,69.0,2017-08-14 07:00:00,33,,,,,,,,,,,,,
339.0, None, None,0.0, None,7.2, None,12.8, None, None, None,60.0,2017-08-14 08:00:00,33,,,,,,,,,,,,,
318.0, None, None,0.0, None,8.3, None,13.3, None, None, None,58.0,2017-08-14 09:00:00,33,,,,,,,,,,,,,
349.0, None, None,0.0, None,7.0, None,14.6, None, None, None,52.0,2017-08-14 10:00:00,33,,,,,,,,,,,,,
356.0, None, None,0.0, None,8.2, None,16.8, None, None, None,44.0,2017-08-14 11:00:00,33,,,,,,,,,,,,,
323.0, None, None,0.0, None,7.5, None,18.0, None, None, None,39.0,2017-08-14 12:00:00,33,,,,,,,,,,,,,
282.0, None, None,0.0, None,11.0, None,18.2, None, None, None,35.0,2017-08-14 13:00:00,33,,,,,,,,,,,,,
288.0, None, None,0.0, None,9.0, None,19.0, None, None, None,33.0,2017-08-14 14:00:00,33,,,,,,,,,,,,,
312.0, None, None,0.0, None,8.8, None,19.9, None, None, None,27.0,2017-08-14 15:00:00,33,,,,,,,,,,,,,
316.0, None, None,0.0, None,7.4, None,19.8, None, None, None,30.0,2017-08-14 16:00:00,33,,,,,,,,,,,,,
326.0, None, None,0.0, None,7.4, None,18.9, None, None, None,31.0,2017-08-14 17:00:00,33,,,,,,,,,,,,,
340.0, None, None,0.0, None,6.1, None,16.8, None, None, None,40.0,2017-08-14 18:00:00,33,,,,,,,,,,,,,
317.0, None, None,0.0, None,5.5, None,13.9, None, None, None,55.0,2017-08-14 19:00:00,33,,,,,,,,,,,,,
355.0, None, None,0.0, None,3.9, None,9.9, None, None, None,75.0,2017-08-14 20:00:00,33,,,,,,,,,,,,,
50.0, None, None,0.0, None,5.3, None,8.5, None, None, None,76.0,2017-08-14 21:00:00,33,,,,,,,,,,,,,
76.0, None, None,0.0, None,8.9, None,9.3, None, None, None,67.0,2017-08-14 22:00:00,33,,,,,,,,,,,,,
54.0, None, None,0.0, None,6.6, None,8.5, None, None, None,69.0,2017-08-14 23:00:00,33,,,,,,,,,,,,,
61.0, None, None,0.0, None,7.1, None,7.6, None, None, None,71.0,2017-08-15 00:00:00,33,,,,,,,,,,,,,
77.0, None, None,0.0, None,6.4, None,6.7, None, None, None,73.0,2017-08-15 01:00:00,33,,,,,,,,,,,,,
71.0, None, None,0.0, None,8.8, None,6.9, None, None, None,71.0,2017-08-15 02:00:00,33,,,,,,,,,,,,,
352.0, None, None,0.0, None,5.4, None,5.2, None, None, None,76.0,2017-08-15 03:00:00,33,,,,,,,,,,,,,
249.0, None, None,0.0, None,4.3, None,4.1, None, None, None,82.0,2017-08-15 04:00:00,33,,,,,,,,,,,,,
17.0, None, None,0.0, None,4.2, None,3.2, None, None, None,82.0,2017-08-15 05:00:00,33,,,,,,,,,,,,,
343.0, None, None,0.0, None,4.2, None,4.0, None, None, None,83.0,2017-08-15 06:00:00,33,,,,,,,,,,,,,
244.0, None, None,0.0, None,2.8, None,8.5, None, None, None,75.0,2017-08-15 07:00:00,33,,,,,,,,,,,,,
291.0, None, None,0.0, None,4.6, None,14.1, None, None, None,58.0,2017-08-15 08:00:00,33,,,,,,,,,,,,,
249.0, None, None,0.0, None,4.6, None,17.6, None, None, None,42.0,2017-08-15 09:00:00,33,,,,,,,,,,,,,
273.0, None, None,0.0, None,7.8, None,20.1, None, None, None,29.0,2017-08-15 10:00:00,33,,,,,,,,,,,,,
212.0, None, None,0.0, None,6.5, None,21.9, None, None, None,28.0,2017-08-15 11:00:00,33,,,,,,,,,,,,,
268.0, None, None,0.0, None,6.4, None,23.2, None, None, None,28.0,2017-08-15 12:00:00,33,,,,,,,,,,,,,
304.0, None, None,0.0, None,9.4, None,23.1, None, None, None,29.0,2017-08-15 13:00:00,33,,,,,,,,,,,,,
323.0, None, None,0.0, None,7.0, None,23.8, None, None, None,27.0,2017-08-15 14:00:00,33,,,,,,,,,,,,,
315.0, None, None,0.0, None,11.8, None,24.2, None, None, None,25.0,2017-08-15 15:00:00,33,,,,,,,,,,,,,
338.0, None, None,0.0, None,9.1, None,23.4, None, None, None,25.0,2017-08-15 16:00:00,33,,,,,,,,,,,,,
358.0, None, None,0.0, None,8.1, None,23.2, None, None, None,22.0,2017-08-15 17:00:00,33,,,,,,,,,,,,,
314.0, None, None,0.0, None,3.7, None,22.0, None, None, None,28.0,2017-08-15 18:00:00,33,,,,,,,,,,,,,
335.0, None, None,0.0, None,5.6, None,17.5, None, None, None,42.0,2017-08-15 19:00:00,33,,,,,,,,,,,,,
13.0, None, None,0.0, None,3.2, None,13.9, None, None, None,54.0,2017-08-15 20:00:00,33,,,,,,,,,,,,,
3.0, None, None,0.0, None,3.0, None,10.9, None, None, None,64.0,2017-08-15 21:00:00,33,,,,,,,,,,,,,
30.0, None, None,0.0, None,2.3, None,8.8, None, None, None,71.0,2017-08-15 22:00:00,33,,,,,,,,,,,,,
38.0, None, None,0.0, None,2.6, None,8.3, None, None, None,73.0,2017-08-15 23:00:00,33,,,,,,,,,,,,,
20.0, None, None,0.0, None,4.4, None,9.1, None, None, None,68.0,2017-08-16 00:00:00,33,,,,,,,,,,,,,
328.0, None, None,0.0, None,4.5, None,8.4, None, None, None,70.0,2017-08-16 01:00:00,33,,,,,,,,,,,,,
66.0, None, None,0.0, None,5.5, None,8.4, None, None, None,69.0,2017-08-16 02:00:00,33,,,,,,,,,,,,,
345.0, None, None,0.0, None,7.1, None,8.3, None, None, None,71.0,2017-08-16 03:00:00,33,,,,,,,,,,,,,
172.0, None, None,0.0, None,3.0, None,6.1, None, None, None,76.0,2017-08-16 04:00:00,33,,,,,,,,,,,,,
295.0, None, None,0.0, None,2.5, None,4.8, None, None, None,86.0,2017-08-16 05:00:00,33,,,,,,,,,,,,,
261.0, None, None,0.0, None,2.9, None,6.7, None, None, None,81.0,2017-08-16 06:00:00,33,,,,,,,,,,,,,
299.0, None, None,0.0, None,2.7, None,10.3, None, None, None,67.0,2017-08-16 07:00:00,33,,,,,,,,,,,,,
115.0, None, None,0.0, None,4.1, None,18.2, None, None, None,42.0,2017-08-16 08:00:00,33,,,,,,,,,,,,,
194.0, None, None,0.0, None,5.3, None,19.6, None, None, None,39.0,2017-08-16 09:00:00,33,,,,,,,,,,,,,
199.0, None, None,0.0, None,6.0, None,22.6, None, None, None,34.0,2017-08-16 10:00:00,33,,,,,,,,,,,,,
305.0, None, None,0.0, None,9.9, None,23.7, None, None, None,33.0,2017-08-16 11:00:00,33,,,,,,,,,,,,,
308.0, None, None,0.0, None,9.8, None,24.9, None, None, None,32.0,2017-08-16 12:00:00,33,,,,,,,,,,,,,
294.0, None, None,0.0, None,10.8, None,23.9, None, None, None,29.0,2017-08-16 13:00:00,33,,,,,,,,,,,,,
319.0, None, None,0.0, None,11.3, None,26.9, None, None, None,20.0,2017-08-16 14:00:00,33,,,,,,,,,,,,,
301.0, None, None,0.0, None,12.4, None,25.0, None, None, None,25.0,2017-08-16 15:00:00,33,,,,,,,,,,,,,
278.0, None, None,0.0, None,11.2, None,22.3, None, None, None,29.0,2017-08-16 16:00:00,33,,,,,,,,,,,,,
281.0, None, None,0.0, None,12.0, None,22.9, None, None, None,29.0,2017-08-16 17:00:00,33,,,,,,,,,,,,,
261.0, None, None,0.0, None,8.3, None,21.2, None, None, None,31.0,2017-08-16 18:00:00,33,,,,,,,,,,,,,
314.0, None, None,0.0, None,2.7, None,17.4, None, None, None,46.0,2017-08-16 19:00:00,33,,,,,,,,,,,,,
346.0, None, None,0.0, None,3.9, None,14.9, None, None, None,53.0,2017-08-16 20:00:00,33,,,,,,,,,,,,,
351.0, None, None,0.0, None,7.2, None,14.6, None, None, None,54.0,2017-08-16 21:00:00,33,,,,,,,,,,,,,
19.0, None, None,0.0, None,3.8, None,12.0, None, None, None,65.0,2017-08-16 22:00:00,33,,,,,,,,,,,,,
21.0, None, None,0.0, None,4.4, None,11.5, None, None, None,65.0,2017-08-16 23:00:00,33,,,,,,,,,,,,,
71.0, None, None,0.0, None,9.2, None,11.1, None, None, None,65.0,2017-08-17 00:00:00,33,,,,,,,,,,,,,
74.0, None, None,0.0, None,8.7, None,10.8, None, None, None,67.0,2017-08-17 01:00:00,33,,,,,,,,,,,,,
78.0, None, None,0.0, None,6.3, None,10.0, None, None, None,71.0,2017-08-17 02:00:00,33,,,,,,,,,,,,,
39.0, None, None,0.0, None,5.7, None,8.5, None, None, None,76.0,2017-08-17 03:00:00,33,,,,,,,,,,,,,
77.0, None, None,0.0, None,6.7, None,7.5, None, None, None,80.0,2017-08-17 04:00:00,33,,,,,,,,,,,,,
14.0, None, None,0.0, None,4.8, None,8.1, None, None, None,78.0,2017-08-17 05:00:00,33,,,,,,,,,,,,,
81.0, None, None,0.0, None,8.2, None,9.0, None, None, None,75.0,2017-08-17 06:00:00,33,,,,,,,,,,,,,
60.0, None, None,0.0, None,5.7, None,12.7, None, None, None,65.0,2017-08-17 07:00:00,33,,,,,,,,,,,,,
4.0, None, None,0.0, None,8.6, None,17.5, None, None, None,50.0,2017-08-17 08:00:00,33,,,,,,,,,,,,,
8.0, None, None,0.0, None,7.6, None,19.1, None, None, None,45.0,2017-08-17 09:00:00,33,,,,,,,,,,,,,
299.0, None, None,0.0, None,7.6, None,21.3, None, None, None,40.0,2017-08-17 10:00:00,33,,,,,,,,,,,,,
288.0, None, None,0.0, None,7.6, None,23.3, None, None, None,35.0,2017-08-17 11:00:00,33,,,,,,,,,,,,,
341.0, None, None,0.0, None,7.9, None,24.8, None, None, None,30.0,2017-08-17 12:00:00,33,,,,,,,,,,,,,
292.0, None, None,0.0, None,9.4, None,26.2, None, None, None,29.0,2017-08-17 13:00:00,33,,,,,,,,,,,,,
321.0, None, None,0.0, None,10.7, None,26.2, None, None, None,26.0,2017-08-17 14:00:00,33,,,,,,,,,,,,,
336.0, None, None,0.0, None,10.0, None,26.8, None, None, None,25.0,2017-08-17 15:00:00,33,,,,,,,,,,,,,
303.0, None, None,0.0, None,7.9, None,26.9, None, None, None,24.0,2017-08-17 16:00:00,33,,,,,,,,,,,,,
306.0, None, None,0.0, None,7.2, None,26.3, None, None, None,22.0,2017-08-17 17:00:00,33,,,,,,,,,,,,,
