pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, 10.76, 94.6, 15.4, 95.0, 10.0, 10.8, 10.5, 10.0, 0.0, None,2020-07-01 00:00:00, None, None,27
None, 9.71, 96.0, 15.4, 96.0, 9.0, 9.7, 9.6, 9.0, 0.0, None,2020-07-01 01:00:00, None, None,27
None, 9.85, 95.8, 15.4, 96.0, 9.0, 9.9, 9.5, 9.0, 0.0, None,2020-07-01 02:00:00, None, None,27
None, 9.68, 95.8, 15.4, 96.0, 9.0, 9.7, 9.5, 9.0, 0.0, None,2020-07-01 03:00:00, None, None,27
None, 9.98, 93.7, 15.4, 94.0, 9.0, 10.0, 9.5, 9.0, 0.0, None,2020-07-01 04:00:00, None, None,27
None, 10.3, 91.6, 15.4, 92.0, 9.0, 10.3, 9.5, 9.0, 0.0, None,2020-07-01 05:00:00, None, None,27
None, 9.8, 94.8, 15.4, 95.0, 9.0, 9.8, 9.5, 9.0, 0.0, None,2020-07-01 06:00:00, None, None,27
None, 9.95, 97.2, 10.2, 97.0, 9.0, 10.0, 9.6, 9.0, 2.0, None,2020-07-01 07:00:00, None, None,27
None, 10.18, 96.9, 10.4, 97.0, 9.0, 10.2, 9.6, 9.0, 0.0, None,2020-07-01 08:00:00, None, None,27
None, 10.78, 96.2, 10.9, 96.0, 10.0, 10.8, 9.6, 10.0, 1.0, None,2020-07-01 09:00:00, None, None,27
None, 10.76, 97.1, 11.0, 97.0, 11.0, 10.8, 9.6, 11.0, 1.0, None,2020-07-01 10:00:00, None, None,27
7.0, 11.23, 96.4, 11.3, 96.0, 11.0, 11.2, 9.6, 11.0, 1.1, None,2020-07-01 11:00:00, None, None,27
7.0, 11.68, 95.2, 11.7, 95.0, 11.0, 11.7, 9.6, 11.0, 0.0, None,2020-07-01 12:00:00, None, None,27
8.0, 12.17, 96.5, 12.2, 97.0, 11.0, 12.2, 9.6, 11.0, 1.0, None,2020-07-01 13:00:00, None, None,27
8.0, 12.09, 96.3, 12.5, 96.0, 11.0, 12.1, 9.6, 11.0, 0.0, None,2020-07-01 14:00:00, None, None,27
10.0, 12.1, 96.8, 12.6, 97.0, 11.0, 12.1, 9.6, 11.0, 2.0, None,2020-07-01 15:00:00, None, None,27
11.3, 12.21, 97.8, 12.6, 98.0, 11.0, 12.2, 9.6, 11.0, 2.0, None,2020-07-01 16:00:00, None, None,27
10.5, 11.94, 97.5, 12.6, 98.0, 11.0, 11.9, 9.6, 11.0, 0.0, None,2020-07-01 17:00:00, None, None,27
11.1, 12.06, 96.9, 12.6, 97.0, 11.0, 12.1, 9.6, 11.0, 1.0, None,2020-07-01 18:00:00, None, None,27
11.1, 11.92, 96.9, 12.3, 97.0, 12.0, 11.9, 11.8, 12.0, 0.0, None,2020-07-01 19:00:00, None, None,27
11.1, 11.78, 97.1, 12.3, 97.0, 12.0, 11.8, 11.7, 12.0, 0.0, None,2020-07-01 20:00:00, None, None,27
11.1, 11.64, 97.3, 12.3, 97.0, 11.0, 11.6, 11.5, 11.0, 0.0, None,2020-07-01 21:00:00, None, None,27
11.1, 11.46, 98.0, 12.3, 98.0, 11.0, 11.5, 11.4, 11.0, 0.0, None,2020-07-01 22:00:00, None, None,27
11.1, 11.44, 98.3, 12.3, 98.0, 11.0, 11.4, 11.3, 11.0, 0.0, None,2020-07-01 23:00:00, None, None,27
11.1, 11.3, 98.5, 12.3, 99.0, 11.0, 11.3, 11.1, 11.0, 0.0, None,2020-07-02 00:00:00, None, None,27
11.1, 11.24, 98.6, 12.3, 99.0, 11.0, 11.2, 11.0, 11.0, 0.0, None,2020-07-02 01:00:00, None, None,27
11.1, 11.19, 94.8, 12.3, 95.0, 10.0, 11.2, 10.9, 10.0, 0.0, None,2020-07-02 02:00:00, None, None,27
11.1, 10.92, 96.2, 12.3, 96.0, 10.0, 10.9, 10.9, 10.0, 0.0, None,2020-07-02 03:00:00, None, None,27
11.1, 13.56, 67.48, 13.8, 67.0, 8.0, 13.6, 10.8, 8.0, 0.0, None,2020-07-02 04:00:00, None, None,27
11.1, 13.94, 62.66, 14.4, 63.0, 7.0, 13.9, 10.8, 7.0, 0.0, None,2020-07-02 05:00:00, None, None,27
11.1, 13.86, 60.85, 14.4, 61.0, 6.0, 13.9, 10.8, 6.0, 0.0, None,2020-07-02 06:00:00, None, None,27
9.1, 13.79, 62.2, 14.2, 62.0, 7.0, 13.8, 13.7, 7.0, 0.0, None,2020-07-02 07:00:00, None, None,27
9.1, 14.49, 55.99, 14.7, 56.0, 6.0, 14.5, 13.6, 6.0, 0.0, None,2020-07-02 08:00:00, None, None,27
8.1, 16.43, 48.38, 16.4, 48.0, 6.0, 16.4, 13.6, 6.0, 0.0, None,2020-07-02 09:00:00, None, None,27
7.1, 16.05, 45.47, 17.0, 45.0, 5.0, 16.1, 13.6, 5.0, 0.0, None,2020-07-02 10:00:00, None, None,27
6.0, 16.16, 44.67, 17.0, 45.0, 4.0, 16.2, 13.6, 4.0, 0.0, None,2020-07-02 11:00:00, None, None,27
6.0, 16.87, 41.83, 17.0, 42.0, 4.0, 16.9, 13.6, 4.0, 0.0, None,2020-07-02 12:00:00, None, None,27
5.0, 17.29, 41.02, 17.4, 41.0, 4.0, 17.3, 13.6, 4.0, 0.0, None,2020-07-02 13:00:00, None, None,27
5.0, 17.16, 45.96, 18.2, 46.0, 6.0, 17.2, 13.6, 6.0, 0.0, None,2020-07-02 14:00:00, None, None,27
3.0, 17.12, 46.29, 18.2, 46.0, 5.0, 17.1, 13.6, 5.0, 0.0, None,2020-07-02 15:00:00, None, None,27
None, 18.79, 40.34, 19.5, 40.0, 4.0, 18.8, 13.6, 4.0, -0.1, None,2020-07-02 16:00:00, None, None,27
None, 19.01, 41.9, 20.1, 42.0, 7.0, 19.0, 13.6, 7.0, -0.8, None,2020-07-02 17:00:00, None, None,27
None, 15.18, 55.93, 20.1, 56.0, 7.0, 15.2, 13.6, 7.0, 0.0, None,2020-07-02 18:00:00, None, None,27
