air_temp,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,min_air_temp_snc_last_reset,time,dwpt_temp,week_of_year
7.1, 7.089, 98.1, 10.6, 98.0, 6.9,2020-07-01 00:00:00, 7.0,27
7.0, 6.982, 98.3, 10.6, 98.0, 6.9,2020-07-01 01:00:00, 7.0,27
6.9, 6.895, 98.6, 10.6, 99.0, 6.6,2020-07-01 02:00:00, 7.0,27
7.1, 7.101, 98.6, 10.6, 99.0, 6.6,2020-07-01 03:00:00, 7.0,27
7.1, 7.121, 98.7, 10.6, 99.0, 6.6,2020-07-01 04:00:00, 7.0,27
6.9, 6.883, 98.7, 10.6, 99.0, 6.6,2020-07-01 05:00:00, 7.0,27
6.8, 6.752, 98.5, 10.6, 99.0, 6.6,2020-07-01 06:00:00, 7.0,27
7.8, 7.806, 97.7, 7.9, 98.0, 6.6,2020-07-01 07:00:00, 8.0,27
10.7, 10.72, 71.04, 11.1, 71.0, 6.6,2020-07-01 08:00:00, 5.0,27
10.8, 10.77, 71.88, 11.1, 72.0, 6.6,2020-07-01 09:00:00, 6.0,27
10.0, 9.98, 82.5, 11.1, 83.0, 6.6,2020-07-01 10:00:00, 7.0,27
9.3, 9.33, 85.7, 11.1, 86.0, 6.6,2020-07-01 11:00:00, 7.0,27
9.2, 9.17, 86.6, 11.1, 87.0, 6.6,2020-07-01 12:00:00, 7.0,27
9.7, 9.69, 85.2, 11.1, 85.0, 6.6,2020-07-01 13:00:00, 7.0,27
9.9, 9.86, 77.05, 11.1, 77.0, 6.6,2020-07-01 14:00:00, 6.0,27
8.8, 8.75, 83.8, 11.1, 84.0, 6.6,2020-07-01 15:00:00, 6.0,27
9.0, 8.97, 85.1, 11.1, 85.0, 6.6,2020-07-01 16:00:00, 7.0,27
9.2, 9.15, 76.13, 11.1, 76.0, 6.6,2020-07-01 17:00:00, 5.0,27
9.2, 9.16, 78.49, 11.1, 78.0, 6.6,2020-07-01 18:00:00, 6.0,27
9.1, 9.11, 79.51, 9.4, 80.0, 9.0,2020-07-01 19:00:00, 6.0,27
9.6, 9.56, 73.8, 9.6, 74.0, 9.0,2020-07-01 20:00:00, 5.0,27
9.3, 9.3, 76.94, 9.7, 77.0, 9.0,2020-07-01 21:00:00, 5.0,27
9.7, 9.72, 72.93, 9.8, 73.0, 9.0,2020-07-01 22:00:00, 5.0,27
9.8, 9.84, 73.73, 10.0, 74.0, 9.0,2020-07-01 23:00:00, 5.0,27
10.0, 9.98, 73.59, 10.3, 74.0, 9.0,2020-07-02 00:00:00, 6.0,27
10.3, 10.27, 72.71, 10.3, 73.0, 9.0,2020-07-02 01:00:00, 6.0,27
10.5, 10.51, 70.89, 10.9, 71.0, 9.0,2020-07-02 02:00:00, 5.0,27
11.1, 11.05, 67.64, 11.1, 68.0, 9.0,2020-07-02 03:00:00, 5.0,27
10.7, 10.71, 67.96, 11.1, 68.0, 9.0,2020-07-02 04:00:00, 5.0,27
10.0, 10.0, 72.83, 11.1, 73.0, 9.0,2020-07-02 05:00:00, 5.0,27
10.5, 10.45, 66.38, 11.1, 66.0, 9.0,2020-07-02 06:00:00, 5.0,27
10.6, 10.62, 63.94, 10.7, 64.0, 10.3,2020-07-02 07:00:00, 4.0,27
11.8, 11.75, 58.77, 11.7, 59.0, 10.3,2020-07-02 08:00:00, 4.0,27
12.4, 12.36, 56.95, 12.3, 57.0, 10.3,2020-07-02 09:00:00, 4.0,27
12.9, 12.86, 56.5, 13.2, 57.0, 10.3,2020-07-02 10:00:00, 4.0,27
13.2, 13.22, 57.55, 13.2, 58.0, 10.3,2020-07-02 11:00:00, 5.0,27
12.8, 12.75, 56.96, 13.6, 57.0, 10.3,2020-07-02 12:00:00, 5.0,27
13.8, 13.78, 53.54, 14.0, 54.0, 10.3,2020-07-02 13:00:00, 4.0,27
13.5, 13.48, 54.26, 14.0, 54.0, 10.3,2020-07-02 14:00:00, 4.0,27
12.6, 12.55, 59.34, 14.1, 59.0, 10.3,2020-07-02 15:00:00, 5.0,27
11.9, 11.93, 61.96, 14.1, 62.0, 10.3,2020-07-02 16:00:00, 5.0,27
11.8, 11.82, 59.48, 14.1, 59.0, 10.3,2020-07-02 17:00:00, 4.0,27
11.6, 11.63, 63.16, 14.1, 63.0, 10.3,2020-07-02 18:00:00, 5.0,27
11.3, 11.29, 63.29, 12.0, 63.0, 11.3,2020-07-02 19:00:00, 5.0,27
10.0, 10.0, 70.48, 12.0, 70.0, 10.0,2020-07-02 20:00:00, 5.0,27
8.5, 8.53, 80.5, 12.0, 81.0, 8.6,2020-07-02 21:00:00, 6.0,27
6.7, 6.72, 89.7, 12.0, 90.0, 6.8,2020-07-02 22:00:00, 5.0,27
6.1, 6.11, 91.7, 12.0, 92.0, 6.0,2020-07-02 23:00:00, 5.0,27
6.3, 6.253, 92.3, 12.0, 92.0, 6.0,2020-07-03 00:00:00, 5.0,27
6.2, 6.249, 92.1, 12.0, 92.0, 6.0,2020-07-03 01:00:00, 5.0,27
6.4, 6.423, 92.1, 12.0, 92.0, 6.0,2020-07-03 02:00:00, 5.0,27
5.5, 5.506, 92.9, 12.0, 93.0, 5.5,2020-07-03 03:00:00, 4.0,27
4.8, 4.8, 94.7, 12.0, 95.0, 4.8,2020-07-03 04:00:00, 4.0,27
4.9, 4.944, 94.5, 12.0, 95.0, 4.5,2020-07-03 05:00:00, 4.0,27
5.9, 5.887, 92.6, 12.0, 93.0, 4.5,2020-07-03 06:00:00, 5.0,27
7.3, 7.273, 86.6, 7.3, 87.0, 5.9,2020-07-03 07:00:00, 5.0,27
7.8, 7.83, 83.2, 8.1, 83.0, 5.9,2020-07-03 08:00:00, 5.0,27
9.4, 9.42, 76.89, 9.4, 77.0, 5.9,2020-07-03 09:00:00, 5.0,27
9.9, 9.94, 77.48, 9.9, 77.0, 5.9,2020-07-03 10:00:00, 6.0,27
11.0, 10.97, 71.27, 11.0, 71.0, 5.9,2020-07-03 11:00:00, 6.0,27
10.9, 10.87, 66.69, 11.4, 67.0, 5.9,2020-07-03 12:00:00, 5.0,27
11.1, 11.13, 65.55, 11.4, 66.0, 5.9,2020-07-03 13:00:00, 5.0,27
12.4, 12.44, 60.81, 12.4, 61.0, 5.9,2020-07-03 14:00:00, 5.0,27
12.5, 12.49, 63.06, 12.9, 63.0, 5.9,2020-07-03 15:00:00, 6.0,27
12.8, 12.81, 58.39, 12.9, 58.0, 5.9,2020-07-03 16:00:00, 5.0,27
12.5, 12.51, 59.97, 13.1, 60.0, 5.9,2020-07-03 17:00:00, 5.0,27
11.9, 11.88, 63.04, 13.1, 63.0, 5.9,2020-07-03 18:00:00, 5.0,27
11.3, 11.34, 63.44, 11.9, 63.0, 11.4,2020-07-03 19:00:00, 5.0,27
10.8, 10.83, 65.85, 11.9, 66.0, 10.8,2020-07-03 20:00:00, 5.0,27
9.5, 9.48, 73.43, 11.9, 73.0, 9.4,2020-07-03 21:00:00, 5.0,27
8.8, 8.77, 75.25, 11.9, 75.0, 7.8,2020-07-03 22:00:00, 4.0,27
