wind_direction,air_temperature,wind_gust_speed,tendency_amount,wind_speed,mean_sea_level,dew_point,snow_amount,air_temperature_yesterday_high,relative_humidity,time,air_temperature_yesterday_low,total_precipitation,week_of_year
225.0, 11.4, 30.0, 0.0, 21.0, 102.2, -3.3, None, None, 36.0,2019-03-19 00:00:00, None, None,12
247.5, 12.5, None, -0.01, 10.0, 102.2, -4.5, None, None, 30.0,2019-03-19 01:00:00, None, None,12
225.0, 11.2, None, 0.01, 15.0, 102.3, -5.0, None, None, 32.0,2019-03-19 02:00:00, None, None,12
247.5, 8.1, None, 0.0, 5.0, 102.3, -4.6, None, None, 40.0,2019-03-19 03:00:00, None, None,12
None, 2.9, None, 0.0, 0.0, 102.4, -3.0, None, None, 65.0,2019-03-19 04:00:00, None, None,12
None, 0.8, None, 0.03, 0.0, 102.4, -3.1, None, None, 75.0,2019-03-19 05:00:00, None, None,12
None, -0.9, None, 0.07, 0.0, 102.5, -3.7, None, None, 81.0,2019-03-19 06:00:00, None, None,12
225.0, -3.0, 31.0, 0.07, 0.0, 102.5, -5.4, None, 13.0, 84.0,2019-03-19 07:00:00, -3.0, 0.0,12
None, -2.8, None, 0.05, 0.0, 102.5, -4.7, None, None, 87.0,2019-03-19 08:00:00, None, None,12
None, -3.8, None, 0.01, 0.0, 102.4, -5.7, None, None, 86.0,2019-03-19 09:00:00, None, None,12
67.5, -4.6, None, -0.02, 6.0, 102.4, -6.3, None, None, 88.0,2019-03-19 10:00:00, None, None,12
45.0, -3.9, None, -0.06, 7.0, 102.3, -5.3, None, None, 90.0,2019-03-19 11:00:00, None, None,12
67.5, -4.4, None, -0.07, 5.0, 102.3, -5.8, None, None, 90.0,2019-03-19 12:00:00, None, None,12
None, -5.1, None, -0.07, 0.0, 102.3, -6.3, None, None, 91.0,2019-03-19 13:00:00, None, None,12
67.5, -6.1, None, -0.04, 8.0, 102.3, -7.0, None, None, 93.0,2019-03-19 14:00:00, None, None,12
45.0, -6.0, None, 0.01, 5.0, 102.4, -6.8, None, None, 94.0,2019-03-19 15:00:00, None, None,12
None, -6.1, None, 0.04, 0.0, 102.4, -7.2, None, None, 92.0,2019-03-19 16:00:00, None, None,12
None, -4.5, None, 0.02, 0.0, 102.4, -6.9, None, None, 83.0,2019-03-19 17:00:00, None, None,12
67.5, -1.6, None, -0.02, 3.0, 102.4, -6.5, None, None, 69.0,2019-03-19 18:00:00, None, None,12
67.5, 0.5, None, -0.03, 11.0, 102.4, -6.5, None, None, 59.0,2019-03-19 19:00:00, None, None,12
67.5, 4.1, None, -0.09, 3.0, 102.3, -6.3, None, None, 47.0,2019-03-19 20:00:00, None, None,12
90.0, 7.5, None, -0.14, 1.0, 102.2, -7.3, None, None, 34.0,2019-03-19 21:00:00, None, None,12
67.5, 9.4, None, -0.19, 8.0, 102.1, -7.0, None, None, 31.0,2019-03-19 22:00:00, None, None,12
None, 12.7, None, -0.19, 0.0, 102.0, -8.5, None, None, 22.0,2019-03-19 23:00:00, None, None,12
247.5, 14.2, None, -0.21, 17.0, 101.9, -8.7, None, None, 20.0,2019-03-20 00:00:00, None, None,12
225.0, 14.0, None, -0.16, 12.0, 101.9, -8.1, None, None, 21.0,2019-03-20 01:00:00, None, None,12
202.5, 14.1, None, -0.13, 14.0, 101.9, -8.1, None, None, 21.0,2019-03-20 02:00:00, None, None,12
270.0, 6.9, None, -0.06, 2.0, 101.9, -6.1, None, None, 39.0,2019-03-20 03:00:00, None, None,12
None, 3.6, None, -0.02, 0.0, 102.0, -3.5, None, None, 60.0,2019-03-20 04:00:00, None, None,12
None, 1.8, None, 0.08, 0.0, 102.1, -2.8, None, None, 72.0,2019-03-20 05:00:00, None, None,12
None, 0.3, None, 0.16, 0.0, 102.1, -3.5, None, None, 76.0,2019-03-20 06:00:00, None, None,12
None, -0.5, None, 0.17, 0.0, 102.2, -3.1, None, 15.4, 82.0,2019-03-20 07:00:00, -6.8, 0.0,12
