pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
None, 3.2, 3.182, 3.0, 0.5, 6.4, -6999.0,2021-03-12 00:00:00, -6999.0,11
None, 2.7, 2.671, 2.7, -0.7, 6.4, -6999.0,2021-03-12 01:00:00, -6999.0,11
None, 2.6, 2.589, 2.4, -0.1, 6.4, -6999.0,2021-03-12 02:00:00, -6999.0,11
None, 2.7, 2.69, 2.4, 0.9, 6.4, -6999.0,2021-03-12 03:00:00, -6999.0,11
None, 2.8, 2.84, 2.4, -0.1, 6.4, -6999.0,2021-03-12 04:00:00, -6999.0,11
None, 2.8, 2.842, 2.4, 0.0, 6.4, -6999.0,2021-03-12 05:00:00, -6999.0,11
None, 3.3, 3.292, 2.4, 0.9, 6.4, -6999.0,2021-03-12 06:00:00, -6999.0,11
None, 3.8, 3.752, 3.2, 0.1, 3.7, -6999.0,2021-03-12 07:00:00, -6999.0,11
None, 4.5, 4.531, 3.2, 0.8, 4.5, -6999.0,2021-03-12 08:00:00, -6999.0,11
None, 5.2, 5.163, 3.2, 0.5, 5.1, -6999.0,2021-03-12 09:00:00, -6999.0,11
None, 5.9, 5.864, 3.2, 1.3, 5.9, -6999.0,2021-03-12 10:00:00, -6999.0,11
None, 6.9, 6.919, 3.2, 2.1, 7.2, -6999.0,2021-03-12 11:00:00, -6999.0,11
None, 7.9, 7.925, 3.2, 0.3, 8.5, -6999.0,2021-03-12 12:00:00, -6999.0,11
None, 10.7, 10.74, 3.2, 1.0, 10.7, -6999.0,2021-03-12 13:00:00, -6999.0,11
None, 9.7, 9.66, 3.2, 0.4, 10.9, -6999.0,2021-03-12 14:00:00, -6999.0,11
None, 10.8, 10.76, 3.2, 0.2, 11.0, -6999.0,2021-03-12 15:00:00, -6999.0,11
None, 9.5, 9.51, 3.2, -0.1, 11.9, -6999.0,2021-03-12 16:00:00, -6999.0,11
None, 9.8, 9.75, 3.2, -0.5, 11.9, -6999.0,2021-03-12 17:00:00, -6999.0,11
None, 7.5, 7.536, 3.2, -3.8, 11.9, -6999.0,2021-03-12 18:00:00, -6999.0,11
None, 7.2, 7.199, 7.2, -1.6, 7.6, -6999.0,2021-03-12 19:00:00, -6999.0,11
None, 7.1, 7.11, 7.1, -0.3, 7.6, -6999.0,2021-03-12 20:00:00, -6999.0,11
None, 7.1, 7.051, 7.0, -0.1, 7.6, -6999.0,2021-03-12 21:00:00, -6999.0,11
None, 7.2, 7.19, 7.0, 0.2, 7.6, -6999.0,2021-03-12 22:00:00, -6999.0,11
None, 6.8, 6.757, 6.8, -1.4, 7.6, -6999.0,2021-03-12 23:00:00, -6999.0,11
None, 6.7, 6.732, 6.6, 0.2, 7.6, -6999.0,2021-03-13 00:00:00, -6999.0,11
None, 6.6, 6.644, 6.6, -0.2, 7.6, -6999.0,2021-03-13 01:00:00, -6999.0,11
None, 6.6, 6.643, 6.4, 0.0, 7.6, -6999.0,2021-03-13 02:00:00, -6999.0,11
None, 5.7, 5.692, 5.7, -0.8, 7.6, -6999.0,2021-03-13 03:00:00, -6999.0,11
