time,tasmin,tasmax,pcp,week_of_year
2019-09-24,6.9,12.9, 0.0,39
2019-09-25,4.6,9.4, 9.4,39
2019-09-26,3.0,10.7, 0.5,39
2019-09-27,-0.2,6.1, 6.3,39
2019-09-28,-3.2,8.2, 0.0,39
2019-09-29,-5.0,8.6, 0.0,39
2019-09-30,-2.1,11.0, 0.0,39
