wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1
325.0, None, None,0.0, None,11.2, None,-21.9, None, None, None,45.0,2019-02-05 00:00:00,6,,,,,,,,,,,
342.0, None, None,0.0, None,18.2, None,-21.9, None, None, None,45.0,2019-02-05 01:00:00,6,,,,,,,,,,,
297.0, None, None,0.0, None,7.8, None,-23.5, None, None, None,51.0,2019-02-05 02:00:00,6,,,,,,,,,,,
334.0, None, None,0.0, None,8.8, None,-24.3, None, None, None,54.0,2019-02-05 03:00:00,6,,,,,,,,,,,
346.0, None, None,0.0, None,11.9, None,-24.4, None, None, None,53.0,2019-02-05 04:00:00,6,,,,,,,,,,,
267.0, None, None,0.0, None,9.8, None,-23.4, None, None, None,54.0,2019-02-05 05:00:00,6,,,,,,,,,,,
343.0, None, None,0.0, None,5.1, None,-25.9, None, None, None,64.0,2019-02-05 06:00:00,6,,,,,,,,,,,
82.0, None, None,0.0, None,4.9, None,-24.0, None, None, None,59.0,2019-02-05 07:00:00,6,,,,,,,,,,,
209.0, None, None,0.0, None,7.1, None,-18.6, None, None, None,46.0,2019-02-05 08:00:00,6,,,,,,,,,,,
182.0, None, None,0.0, None,9.2, None,-18.0, None, None, None,44.0,2019-02-05 09:00:00,6,,,,,,,,,,,
337.0, None, None,0.0, None,17.3, None,-16.8, None, None, None,42.0,2019-02-05 10:00:00,6,,,,,,,,,,,
342.0, None, None,0.0, None,8.9, None,-15.3, None, None, None,37.0,2019-02-05 11:00:00,6,,,,,,,,,,,
210.0, None, None,0.0, None,8.0, None,-13.8, None, None, None,31.0,2019-02-05 12:00:00,6,,,,,,,,,,,
306.0, None, None,0.0, None,11.5, None,-14.4, None, None, None,38.0,2019-02-05 13:00:00,6,,,,,,,,,,,
