RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
90.5, None, None, None, 1.018, 140.6, None, None, None, None, None, None, None, None, 234.5, None, None, -8.6, None, None, None, 21.73, None, None, None, None, None,2017-02-12 00:00:00, None,7
90.2, None, None, None, 1.44, 138.5, None, None, None, None, None, None, None, None, 234.4, None, None, -9.14, None, None, None, 22.86, None, None, None, None, None,2017-02-12 01:00:00, None,7
89.5, None, None, None, 0.791, 139.3, None, None, None, None, None, None, None, None, 234.0, None, None, -9.83, None, None, None, 20.53, None, None, None, None, None,2017-02-12 02:00:00, None,7
90.0, None, None, None, 0.775, 142.9, None, None, None, None, None, None, None, None, 233.9, None, None, -10.24, None, None, None, 19.55, None, None, None, None, None,2017-02-12 03:00:00, None,7
89.6, None, None, None, 1.899, 142.9, None, None, None, None, None, None, None, None, 233.9, None, None, -9.66, None, None, None, 23.19, None, None, None, None, None,2017-02-12 04:00:00, None,7
89.7, None, None, None, 1.688, 144.8, None, None, None, None, None, None, None, None, 233.7, None, None, -10.19, None, None, None, 27.52, None, None, None, None, None,2017-02-12 05:00:00, None,7
89.7, None, None, None, 1.632, 147.3, None, None, None, None, None, None, None, None, 233.5, None, None, -10.16, None, None, None, 24.46, None, None, None, None, None,2017-02-12 06:00:00, None,7
89.7, None, None, None, 0.907, 146.3, None, None, None, None, None, None, None, None, 233.4, None, None, -10.29, None, None, None, 17.87, None, None, None, None, None,2017-02-12 07:00:00, None,7
89.9, None, None, None, 1.096, 147.1, None, None, None, None, None, None, None, None, 233.1, None, None, -9.82, None, None, None, 18.2, None, None, None, None, None,2017-02-12 08:00:00, None,7
88.8, None, None, None, 2.007, 145.9, None, None, None, None, None, None, None, None, 233.1, None, None, -8.71, None, None, None, 25.52, None, None, None, None, None,2017-02-12 09:00:00, None,7
88.8, None, None, None, 2.114, 133.7, None, None, None, None, None, None, None, None, 232.9, None, None, -7.942, None, None, None, 20.82, None, None, None, None, None,2017-02-12 10:00:00, None,7
