WDIR_VECT,BAR_PRESS,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, None, 0.792999, None,74.6,2017-05-28 00:00:00,11.18,22
None, None, None, 0.574, None,77.8,2017-05-28 01:00:00,10.49,22
None, None, None, 0.916, None,78.7,2017-05-28 02:00:00,9.81,22
None, None, None, 0.737999, None,80.9,2017-05-28 03:00:00,9.23,22
None, None, None, 0.577, None,87.2,2017-05-28 04:00:00,8.1,22
None, None, None, 0.81, None,85.4,2017-05-28 05:00:00,7.95,22
None, None, None, 0.379, None,90.1,2017-05-28 06:00:00,7.29,22
None, None, None, 0.609, None,87.4,2017-05-28 07:00:00,7.51,22
None, None, None, 0.856, None,75.8,2017-05-28 08:00:00,9.27,22
None, None, None, 0.820999, None,62.12,2017-05-28 09:00:00,13.15,22
None, None, None, 1.162, None,50.56,2017-05-28 10:00:00,15.58,22
None, None, None, 1.573, None,43.04,2017-05-28 11:00:00,17.79,22
None, None, None, 2.234, None,36.51,2017-05-28 12:00:00,19.04,22
None, None, None, 1.839, None,30.71,2017-05-28 13:00:00,20.85,22
None, None, None, 2.039, None,28.1,2017-05-28 14:00:00,22.05,22
None, None, None, 2.499, None,23.34,2017-05-28 15:00:00,24.64,22
None, None, None, 2.588, None,24.16,2017-05-28 16:00:00,25.13,22
None, None, None, 2.615, None,25.22,2017-05-28 17:00:00,24.87,22
None, None, None, 2.318, None,26.97,2017-05-28 18:00:00,24.37,22
None, None, None, 1.355, None,32.13,2017-05-28 19:00:00,22.94,22
None, None, None, 0.834999, None,38.47,2017-05-28 20:00:00,21.88,22
None, None, None, 1.911, None,47.4,2017-05-28 21:00:00,19.16,22
None, None, None, 1.185, None,62.07,2017-05-28 22:00:00,16.81,22
None, None, None, 0.551998, None,68.06,2017-05-28 23:00:00,15.37,22
None, None, None, 0.546, None,73.9,2017-05-29 00:00:00,14.05,22
None, None, None, 1.098, None,75.2,2017-05-29 01:00:00,13.83,22
None, None, None, 1.95, None,74.7,2017-05-29 02:00:00,13.63,22
