air_temp,min_air_temp_snc_last_reset,mslp,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,time,avg_wnd_spd_10m_pst10mts,dwpt_temp,stn_pres,week_of_year
5.7,5.7, 1005.3, None,9.1,54.0, None,2021-03-12 00:00:00, None,-3.0, 998.0,11
5.6,5.6, 1005.3, 76.0,9.1,55.0, 19.7,2021-03-12 01:00:00, 14.9,-3.0, 998.0,11
5.2,5.2, None, None,9.1,59.0, None,2021-03-12 02:00:00, None,-2.0, None,11
4.7,4.6, 1005.3, None,9.1,61.0, None,2021-03-12 03:00:00, None,-2.0, 998.0,11
5.5,4.4, 1005.2, 92.0,9.1,54.0, 18.1,2021-03-12 04:00:00, 11.8,-3.0, 998.0,11
4.9,4.4, None, None,9.1,60.0, None,2021-03-12 05:00:00, None,-2.0, None,11
5.0,4.4, None, None,9.1,59.0, None,2021-03-12 06:00:00, None,-2.0, None,11
4.4,4.3, 1005.3, 102.0,5.0,64.0, 13.9,2021-03-12 07:00:00, 8.8,-2.0, 998.0,11
6.2,4.3, 1006.3, None,6.2,50.0, None,2021-03-12 08:00:00, None,-4.0, 999.0,11
6.3,4.3, 1006.3, 89.0,6.3,56.0, 18.5,2021-03-12 09:00:00, 12.6,-2.0, 999.0,11
7.9,4.3, 1006.3, 95.0,7.9,44.0, 17.7,2021-03-12 10:00:00, 8.3,-4.0, 999.0,11
8.6,4.3, 1006.3, 139.0,9.0,37.0, 14.9,2021-03-12 11:00:00, 8.4,-5.0, 999.0,11
10.9,4.3, 1006.3, 157.0,11.2,32.0, 15.7,2021-03-12 12:00:00, 5.7,-5.0, 999.0,11
11.2,4.3, 1006.3, 214.0,11.4,34.0, 18.9,2021-03-12 13:00:00, 10.0,-4.0, 999.0,11
12.1,4.3, 1005.2, 213.0,12.4,33.0, 18.9,2021-03-12 14:00:00, 11.4,-4.0, 998.0,11
12.2,4.3, 1005.2, 216.0,12.4,30.0, 20.8,2021-03-12 15:00:00, 13.1,-5.0, 998.0,11
12.7,4.3, 1004.2, 209.0,12.9,29.0, 16.2,2021-03-12 16:00:00, 10.8,-5.0, 997.0,11
