RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None, 0.212, 3.822, None, -0.2, None, 961.0, None, None, None, 82.0, None, 82.0, 22.0, None, -0.247, None, 0.7, None, None, 74.9, None, -0.2, 1005.7, 0.0, -1.0,2021-11-26 00:00:00, 961.0,48
None, None, None, None, 0.346, 70.8, None, -0.5, None, 963.0, None, None, None, 81.0, None, 81.4, 20.8, None, -0.067, None, 0.7, None, None, 72.6, None, -0.1, 1007.8, 0.1, -1.0,2021-11-26 01:00:00, 963.0,48
None, None, None, None, 0.27, 6.365, None, -0.5, None, 964.0, None, None, None, 81.0, None, 80.9, None, None, -0.247, None, 0.7, None, None, 75.8, None, -0.2, 1008.8, -0.3, -1.0,2021-11-26 02:00:00, 964.0,48
None, None, None, None, 0.624, 302.3, None, -0.6, None, 965.0, None, None, None, 81.0, None, 80.9, None, None, -0.463, None, 0.7, None, None, 67.5, None, -0.5, 1009.9, 0.1, 0.0,2021-11-26 03:00:00, 965.0,48
None, None, None, None, 1.693, 63.95, None, -1.1, None, 967.0, None, None, None, 80.0, None, 80.4, None, None, -0.304, None, 0.7, None, None, 48.55, None, -0.3, 1012.0, 0.0, -1.0,2021-11-26 04:00:00, 967.0,48
None, None, None, None, 3.866, 60.08, None, -1.1, None, 968.0, None, None, None, 80.0, None, 79.6, None, None, -0.917, None, 0.7, None, None, 25.05, None, -0.9, 1013.0, 0.2, -1.0,2021-11-26 05:00:00, 968.0,48
None, None, None, None, 0.215, 14.21, None, -1.5, None, 969.0, None, None, None, 79.0, None, 79.1, None, None, -1.437, None, 0.7, None, None, 69.1, None, -1.4, 1014.1, 0.0, 0.0,2021-11-26 06:00:00, 969.0,48
None, None, None, None, 0.389, 237.8, None, -2.0, None, 969.0, None, None, None, 80.0, None, 79.5, None, None, -1.976, None, -1.3, None, None, 62.01, None, -2.0, 1014.1, -0.1, 0.0,2021-11-26 07:00:00, 969.0,48
None, None, None, None, 1.159, 54.64, None, -2.0, None, 969.0, None, None, None, 79.0, None, 78.6, None, None, -1.437, None, -1.3, None, None, 33.4, None, -1.4, 1014.1, 0.0, -1.0,2021-11-26 08:00:00, 969.0,48
None, None, None, None, 0.691, 74.7, None, -2.0, None, 971.0, None, None, None, 79.0, None, 78.6, None, None, -1.55, None, -1.3, None, None, 41.94, None, -1.6, 1016.2, 0.5, 0.0,2021-11-26 09:00:00, 971.0,48
