CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None, -2.457, 21.19, None, None, None, None, 23.27, 14.4, 94.7, -20.0, None, -2.5, -3.0, 0.0, -20.0, None, None, -2.3, None, None, 21.0, None,2021-11-26 00:00:00, None, None, None, None,48
None, -2.599, 21.23, None, None, None, None, 29.77, 11.62, 84.9, -20.0, None, -2.6, -3.0, 0.0, -20.0, None, None, -2.3, None, None, 21.0, None,2021-11-26 01:00:00, None, None, None, None,48
None, -2.505, 21.2, None, None, None, None, 32.7, 12.97, 79.6, -20.0, None, -2.5, -3.0, 0.0, -20.0, None, None, -2.3, None, None, 21.0, None,2021-11-26 02:00:00, None, None, None, None,48
None, -2.072, 21.07, None, None, None, None, 26.71, 12.76, 93.5, -19.0, None, -2.1, -3.0, 0.0, -19.0, None, None, -2.1, None, None, 21.0, None,2021-11-26 03:00:00, None, None, None, None,48
None, -1.923, 21.03, None, None, None, None, 29.87, 8.35, 87.0, -19.0, None, -1.9, -3.0, 0.0, -19.0, None, None, -1.8, None, None, 21.0, None,2021-11-26 04:00:00, None, None, None, None,48
None, -1.877, 21.01, None, None, None, None, 25.17, 10.91, 95.6, -19.0, None, -1.9, -3.0, 0.0, -19.0, None, None, -1.6, None, None, 21.0, None,2021-11-26 05:00:00, None, None, None, None,48
None, -1.868, 21.01, None, None, None, None, 19.01, 11.17, 97.0, -19.0, None, -1.9, -3.0, 0.0, -19.0, None, None, -1.6, None, None, 21.0, None,2021-11-26 06:00:00, None, None, None, None,48
None, -1.606, 20.93, None, None, None, None, 22.94, 5.554, 90.0, -19.0, None, -1.6, -1.9, 0.0, -19.0, None, None, -1.6, None, None, 21.0, None,2021-11-26 07:00:00, None, None, None, None,48
None, -1.549, 20.91, None, None, None, None, 19.69, 1.276, 99.0, -19.0, None, -1.5, -1.9, 0.0, -19.0, None, None, -1.5, None, None, 21.0, None,2021-11-26 08:00:00, None, None, None, None,48
None, -1.455, 20.89, None, None, None, None, 15.38, 1.733, 121.5, -19.0, None, -1.5, -1.9, 0.0, -19.0, None, None, -1.5, None, None, 21.0, None,2021-11-26 09:00:00, None, None, None, None,48
None, -1.372, 20.86, None, None, None, None, 8.24, 0.061, 286.0, -19.0, None, -1.4, -1.9, 0.0, -19.0, None, None, -1.1, None, None, 21.0, None,2021-11-26 10:00:00, None, None, None, None,48
None, 0.012, 20.45, None, None, None, None, 15.27, 0.042, 350.0, -20.0, None, 0.0, -1.9, 0.0, -20.0, None, None, 0.0, None, None, 20.0, None,2021-11-26 11:00:00, None, None, None, None,48
None, 1.638, 19.96, None, None, None, None, 19.27, 0.896, 193.1, -19.0, None, 1.6, -1.9, 0.0, -19.0, None, None, 2.0, None, None, 20.0, None,2021-11-26 12:00:00, None, None, None, None,48
None, 2.156, 19.8, None, None, None, None, 16.88, 4.721, 206.5, -19.0, None, 2.2, -1.9, 0.0, -19.0, None, None, 2.7, None, None, 20.0, None,2021-11-26 13:00:00, None, None, None, None,48
None, -0.066, 20.47, None, None, None, None, 22.46, 4.368, 210.4, -18.0, None, -0.1, -1.9, 0.0, -18.0, None, None, 2.7, None, None, 20.0, None,2021-11-26 14:00:00, None, None, None, None,48
None, -1.206, 20.81, None, None, None, None, 17.9, 0.517, 230.7, -19.0, None, -1.2, -1.9, 0.0, -19.0, None, None, 2.7, None, None, 21.0, None,2021-11-26 15:00:00, None, None, None, None,48
None, -2.998, 21.35, None, None, None, None, 3.791, 0.025, 296.5, -20.0, None, -3.0, -3.0, 0.0, -20.0, None, None, 2.7, None, None, 21.0, None,2021-11-26 16:00:00, None, None, None, None,48
None, -3.459, 21.49, None, None, None, None, 7.35, 0.109, 268.6, -20.0, None, -3.5, -3.5, 0.0, -20.0, None, None, 2.7, None, None, 21.0, None,2021-11-26 17:00:00, None, None, None, None,48
None, -4.339, 21.75, None, None, None, None, 0.0, 0.0, 0.0, -21.0, None, -4.3, -4.4, 0.0, -21.0, None, None, 2.7, None, None, 22.0, None,2021-11-26 18:00:00, None, None, None, None,48
None, -3.906, 21.62, None, None, None, None, 2.046, 0.001, 335.0, -21.0, None, -3.9, -4.3, 0.0, -21.0, None, None, -3.9, None, None, 22.0, None,2021-11-26 19:00:00, None, None, None, None,48
None, -3.842, 21.6, None, None, None, None, 18.74, 0.063, 318.8, -21.0, None, -3.8, -4.3, 0.0, -21.0, None, None, -3.7, None, None, 22.0, None,2021-11-26 20:00:00, None, None, None, None,48
None, -4.05, 21.67, None, None, None, None, 3.073, 0.002, 308.5, -21.0, None, -4.1, -4.3, 0.0, -21.0, None, None, -3.7, None, None, 22.0, None,2021-11-26 21:00:00, None, None, None, None,48
None, -4.495, 21.8, None, None, None, None, 0.0, 0.0, 0.0, -21.0, None, -4.5, -4.5, 0.0, -21.0, None, None, -3.7, None, None, 22.0, None,2021-11-26 22:00:00, None, None, None, None,48
None, -4.874, 21.91, None, None, None, None, 0.0, 0.0, 0.0, -21.0, None, -4.9, -4.9, 0.0, -21.0, None, None, -3.7, None, None, 22.0, None,2021-11-26 23:00:00, None, None, None, None,48
None, -4.998, 21.95, None, None, None, None, 0.0, 0.0, 0.0, -22.0, None, -5.0, -5.2, 0.0, -22.0, None, None, -3.7, None, None, 22.0, None,2021-11-27 00:00:00, None, None, None, None,48
None, -4.751, 21.81, None, None, None, None, 0.0, 0.0, 0.0, -21.0, None, -4.8, -5.2, 0.0, -21.0, None, None, -3.7, None, None, 22.0, None,2021-11-27 01:00:00, None, None, None, None,48
