pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,9.89, None, None, None, None,16.71, None,3.636,349.6, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 00:00:00, None, None, None, None,35
None,10.27, None, None, None, None,13.83, None,4.022,352.5, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 01:00:00, None, None, None, None,35
None,9.58, None, None, None, None,12.67, None,3.57,349.9, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 02:00:00, None, None, None, None,35
None,10.21, None, None, None, None,13.13, None,3.685,350.1, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 03:00:00, None, None, None, None,35
None,11.3, None, None, None, None,17.66, None,1.703,343.8, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 04:00:00, None, None, None, None,35
None,10.68, None, None, None, None,21.48, None,1.469,336.1, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 05:00:00, None, None, None, None,35
None,9.78, None, None, None, None,14.87, None,2.193,339.8, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 07:00:00, None, None, None, None,35
None,12.49, None, None, None, None,73.4, None,0.196,50.63, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 09:00:00, None, None, None, None,35
None,13.17, None, None, None, None,26.59, None,1.181,126.6, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 10:00:00, None, None, None, None,35
None,14.84, None, None, None, None,23.98, None,3.044,134.3, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 11:00:00, None, None, None, None,35
None,16.9, None, None, None, None,27.87, None,4.467,133.4, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 12:00:00, None, None, None, None,35
None,15.95, None, None, None, None,28.24, None,5.609,117.8, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 13:00:00, None, None, None, None,35
None,17.25, None, None, None, None,24.83, None,6.54,114.4, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 14:00:00, None, None, None, None,35
None,16.67, None, None, None, None,22.67, None,5.881,114.3, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 15:00:00, None, None, None, None,35
None,16.83, None, None, None, None,33.93, None,2.304,109.4, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 16:00:00, None, None, None, None,35
None,16.37, None, None, None, None,28.99, None,3.063,112.6, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 17:00:00, None, None, None, None,35
None,16.8, None, None, None, None,24.71, None,4.139,112.2, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 18:00:00, None, None, None, None,35
None,15.97, None, None, None, None,23.52, None,4.823,115.9, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 19:00:00, None, None, None, None,35
None,15.34, None, None, None, None,38.16, None,2.375,89.0, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 20:00:00, None, None, None, None,35
None,14.14, None, None, None, None,28.65, None,1.352,351.0, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 22:00:00, None, None, None, None,35
None,13.9, None, None, None, None,22.67, None,1.595,345.4, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 23:00:00, None, None, None, None,35
None,13.68, None, None, None, None,14.73, None,2.559,349.2, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 00:00:00, None, None, None, None,35
None,14.08, None, None, None, None,20.98, None,1.459,341.7, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 01:00:00, None, None, None, None,35
None,14.02, None, None, None, None,20.31, None,1.92,342.0, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 02:00:00, None, None, None, None,35
None,14.29, None, None, None, None,34.37, None,1.593,352.7, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 03:00:00, None, None, None, None,35
None,14.03, None, None, None, None,55.45, None,0.964,29.48, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 04:00:00, None, None, None, None,35
None,13.74, None, None, None, None,40.2, None,1.303,5.654, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 05:00:00, None, None, None, None,35
None,13.31, None, None, None, None,53.32, None,1.267,40.6, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 06:00:00, None, None, None, None,35
None,12.99, None, None, None, None,49.93, None,1.171,6.063, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 07:00:00, None, None, None, None,35
None,12.81, None, None, None, None,51.38, None,1.331,32.54, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 08:00:00, None, None, None, None,35
None,13.25, None, None, None, None,45.47, None,1.199,12.94, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 09:00:00, None, None, None, None,35
None,13.71, None, None, None, None,46.43, None,2.101,94.2, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 10:00:00, None, None, None, None,35
None,13.86, None, None, None, None,35.54, None,3.822,122.5, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 11:00:00, None, None, None, None,35
None,13.31, None, None, None, None,34.52, None,4.255,133.6, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 12:00:00, None, None, None, None,35
None,13.14, None, None, None, None,24.43, None,8.17,127.9, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 13:00:00, None, None, None, None,35
None,12.18, None, None, None, None,24.26, None,6.779,110.9, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 14:00:00, None, None, None, None,35
