TempC,time,RH,week_of_year
5.282,2020-04-29 00:00:00,76.2,18
8.866,2020-04-29 01:00:00,69.2,18
7.92,2020-04-29 02:00:00,57.9,18
7.494,2020-04-29 03:00:00,62.4,18
7.015,2020-04-29 04:00:00,64.9,18
6.813,2020-04-29 05:00:00,65.4,18
4.037,2020-04-29 06:00:00,78.9,18
7.217,2020-04-29 07:00:00,81.9,18
9.361,2020-04-29 08:00:00,65.1,18
9.756,2020-04-29 09:00:00,62.1,18
11.273,2020-04-29 10:00:00,58.8,18
12.63,2020-04-29 11:00:00,53.0,18
12.606,2020-04-29 12:00:00,49.3,18
12.944,2020-04-29 13:00:00,47.9,18
12.558,2020-04-29 14:00:00,47.7,18
12.992,2020-04-29 15:00:00,50.6,18
12.025,2020-04-29 16:00:00,50.2,18
9.829,2020-04-29 17:00:00,51.9,18
7.845,2020-04-29 18:00:00,73.2,18
6.687,2020-04-29 19:00:00,88.0,18
5.821,2020-04-29 20:00:00,92.0,18
5.847,2020-04-29 21:00:00,95.8,18
5.36,2020-04-29 22:00:00,95.7,18
5.462,2020-04-29 23:00:00,97.5,18
5.179,2020-04-30 00:00:00,98.1,18
4.089,2020-04-30 01:00:00,98.3,18
2.557,2020-04-30 02:00:00,98.8,18
2.503,2020-04-30 03:00:00,99.1,18
2.956,2020-04-30 04:00:00,99.5,18
2.61,2020-04-30 05:00:00,99.6,18
3.485,2020-04-30 06:00:00,99.8,18
4.869,2020-04-30 07:00:00,99.8,18
6.0,2020-04-30 08:00:00,94.0,18
6.611,2020-04-30 09:00:00,84.4,18
7.92,2020-04-30 10:00:00,78.1,18
7.318,2020-04-30 11:00:00,70.5,18
9.163,2020-04-30 12:00:00,76.3,18
8.419,2020-04-30 13:00:00,64.6,18
11.078,2020-04-30 14:00:00,60.3,18
11.565,2020-04-30 15:00:00,55.4,18
11.248,2020-04-30 16:00:00,50.3,18
7.845,2020-04-30 17:00:00,60.9,18
8.519,2020-04-30 18:00:00,77.0,18
