WDIR_VECT,time,TEMP_MEAN,week_of_year
3.6,2020-05-27 00:00:00, None,22
1.2,2020-05-27 01:00:00, None,22
6.8,2020-05-27 02:00:00, None,22
4.8,2020-05-27 03:00:00, None,22
6.7,2020-05-27 04:00:00, None,22
1.4,2020-05-27 05:00:00, None,22
14.1,2020-05-27 06:00:00, None,22
20.4,2020-05-27 07:00:00, None,22
25.1,2020-05-27 08:00:00, None,22
231.7,2020-05-27 09:00:00, None,22
297.4,2020-05-27 10:00:00, None,22
274.7,2020-05-27 11:00:00, None,22
269.1,2020-05-27 12:00:00, None,22
229.3,2020-05-27 13:00:00, None,22
274.8,2020-05-27 14:00:00, None,22
277.4,2020-05-27 15:00:00, None,22
280.8,2020-05-27 16:00:00, None,22
285.9,2020-05-27 17:00:00, None,22
274.2,2020-05-27 18:00:00, None,22
284.7,2020-05-27 19:00:00, None,22
10.3,2020-05-27 20:00:00, None,22
14.0,2020-05-27 21:00:00, None,22
20.2,2020-05-27 22:00:00, None,22
27.4,2020-05-27 23:00:00, None,22
7.1,2020-05-28 00:00:00, None,22
5.1,2020-05-28 01:00:00, None,22
5.0,2020-05-28 02:00:00, None,22
0.0,2020-05-28 03:00:00, None,22
3.0,2020-05-28 04:00:00, None,22
1.7,2020-05-28 05:00:00, None,22
357.1,2020-05-28 06:00:00, None,22
20.4,2020-05-28 07:00:00, None,22
11.6,2020-05-28 08:00:00, None,22
5.0,2020-05-28 09:00:00, None,22
18.1,2020-05-28 10:00:00, None,22
8.3,2020-05-28 11:00:00, None,22
273.1,2020-05-28 12:00:00, None,22
227.3,2020-05-28 13:00:00, None,22
238.3,2020-05-28 14:00:00, None,22
271.6,2020-05-28 15:00:00, None,22
275.6,2020-05-28 16:00:00, None,22
276.0,2020-05-28 17:00:00, None,22
272.3,2020-05-28 18:00:00, None,22
303.6,2020-05-28 19:00:00, None,22
0.4,2020-05-28 20:00:00, None,22
12.4,2020-05-28 21:00:00, None,22
0.1,2020-05-28 22:00:00, None,22
13.1,2020-05-28 23:00:00, None,22
6.2,2020-05-29 00:00:00, None,22
42.2,2020-05-29 01:00:00, None,22
3.6,2020-05-29 02:00:00, None,22
352.4,2020-05-29 03:00:00, None,22
8.1,2020-05-29 04:00:00, None,22
357.1,2020-05-29 05:00:00, None,22
4.2,2020-05-29 06:00:00, None,22
122.8,2020-05-29 07:00:00, None,22
194.4,2020-05-29 08:00:00, None,22
270.0,2020-05-29 09:00:00, None,22
277.2,2020-05-29 10:00:00, None,22
228.3,2020-05-29 11:00:00, None,22
213.0,2020-05-29 12:00:00, None,22
267.1,2020-05-29 13:00:00, None,22
252.2,2020-05-29 14:00:00, None,22
257.5,2020-05-29 15:00:00, None,22
268.7,2020-05-29 16:00:00, None,22
262.1,2020-05-29 17:00:00, None,22
259.3,2020-05-29 18:00:00, None,22
286.8,2020-05-29 19:00:00, None,22
260.0,2020-05-29 20:00:00, None,22
