wind_direction,air_temperature,wind_gust_speed,tendency_amount,wind_speed,mean_sea_level,dew_point,snow_amount,air_temperature_yesterday_high,relative_humidity,time,air_temperature_yesterday_low,total_precipitation,week_of_year
202.5,25.6, None, -0.24,3.0, 101.7,15.4, None, None,54.0,2016-07-29 00:00:00, None, None,31
202.5,24.9, None, -0.18,2.0, 101.7,15.5, None, None,56.0,2016-07-29 01:00:00, None, None,31
202.5,23.8, None, -0.17,1.0, 101.6,14.3, None, None,55.0,2016-07-29 02:00:00, None, None,31
202.5,23.0, None, -0.09,2.0, 101.6,15.9, None, None,64.0,2016-07-29 03:00:00, None, None,31
None,21.3, None, -0.08,0.0, 101.6,14.9, None, None,67.0,2016-07-29 04:00:00, None, None,31
22.5,21.2, None, -0.02,2.0, 101.6,13.5, None, None,61.0,2016-07-29 05:00:00, None, None,31
45.0,20.2, None, 0.05,2.0, 101.6,13.2, None, None,64.0,2016-07-29 06:00:00, None, None,31
292.5,20.2, None, 0.03,2.0, 101.6,14.0, None, None,68.0,2016-07-29 07:00:00, None, None,31
None,19.1, None, 0.03,0.0, 101.6,13.9, None, None,72.0,2016-07-29 08:00:00, None, None,31
22.5,18.3, None, 0.01,1.0, 101.6,14.3, None, None,77.0,2016-07-29 09:00:00, None, None,31
22.5,18.3, None, 0.0,3.0, 101.6,14.5, None, None,78.0,2016-07-29 10:00:00, None, None,31
45.0,17.9, None, 0.01,2.0, 101.7,14.2, None, None,79.0,2016-07-29 11:00:00, None, None,31
22.5,17.7, None, 0.0,1.0, 101.6,14.1, None, None,79.0,2016-07-29 12:00:00, None, None,31
67.5,17.4, None, 0.0,1.0, 101.6,14.3, None, None,82.0,2016-07-29 13:00:00, None, None,31
None,17.8, None, -0.02,0.0, 101.6,14.4, None, None,81.0,2016-07-29 14:00:00, None, None,31
135.0,20.5, None, -0.01,2.0, 101.6,15.6, None, None,73.0,2016-07-29 15:00:00, None, None,31
202.5,20.0, None, 0.0,3.0, 101.6,15.7, None, None,77.0,2016-07-29 16:00:00, None, None,31
202.5,20.0, None, 0.0,5.0, 101.6,15.0, None, None,73.0,2016-07-29 17:00:00, None, None,31
157.5,21.3, None, -0.05,3.0, 101.6,15.0, None, None,67.0,2016-07-29 18:00:00, None, None,31
247.5,22.8, None, -0.05,2.0, 101.6,15.1, None, None,62.0,2016-07-29 19:00:00, None, None,31
180.0,23.3, None, -0.14,3.0, 101.5,14.2, None, None,57.0,2016-07-29 20:00:00, None, None,31
112.5,24.1, None, -0.12,2.0, 101.5,14.4, None, None,54.0,2016-07-29 21:00:00, None, None,31
202.5,25.5, None, -0.18,3.0, 101.4,13.4, None, None,47.0,2016-07-29 22:00:00, None, None,31
180.0,25.0, None, -0.15,3.0, 101.3,13.8, None, 26.3,50.0,2016-07-29 23:00:00, 16.9, 0.0,31
202.5,23.0, None, -0.24,4.0, 101.2,13.9, None, None,57.0,2016-07-30 00:00:00, None, None,31
90.0,24.3, None, -0.2,3.0, 101.2,13.5, None, None,51.0,2016-07-30 01:00:00, None, None,31
67.5,23.3, None, -0.18,2.0, 101.2,12.7, None, None,51.0,2016-07-30 02:00:00, None, None,31
180.0,21.6, None, -0.08,1.0, 101.1,13.9, None, None,61.0,2016-07-30 03:00:00, None, None,31
None,20.1, None, -0.08,0.0, 101.1,14.7, None, None,71.0,2016-07-30 04:00:00, None, None,31
None,19.2, None, -0.03,1.0, 101.1,13.7, None, None,71.0,2016-07-30 05:00:00, None, None,31
0.0,18.3, None, -0.01,1.0, 101.1,13.0, None, None,71.0,2016-07-30 06:00:00, None, None,31
