WDIR_VECT,TEMP_MEAN,WSPD_SCLR,time,avg_air_temp_pst1hr,week_of_year
209.4, None, None,2022-06-02 00:00:00, None,22
196.6, None, None,2022-06-02 01:00:00, None,22
31.6, None, None,2022-06-02 02:00:00, None,22
18.6, None, None,2022-06-02 03:00:00, None,22
20.5, None, None,2022-06-02 04:00:00, None,22
15.5, None, None,2022-06-02 05:00:00, None,22
9.4, None, None,2022-06-02 06:00:00, None,22
16.8, None, None,2022-06-02 07:00:00, None,22
15.4, None, None,2022-06-02 08:00:00, None,22
8.1, None, None,2022-06-02 09:00:00, None,22
15.3, None, None,2022-06-02 10:00:00, None,22
11.8, None, None,2022-06-02 11:00:00, None,22
9.3, None, None,2022-06-02 12:00:00, None,22
7.1, None, None,2022-06-02 13:00:00, None,22
1.5, None, None,2022-06-02 14:00:00, None,22
359.2, None, None,2022-06-02 15:00:00, None,22
11.9, None, None,2022-06-02 16:00:00, None,22
16.1, None, None,2022-06-02 17:00:00, None,22
51.3, None, None,2022-06-02 18:00:00, None,22
27.1, None, None,2022-06-02 19:00:00, None,22
10.1, None, None,2022-06-02 20:00:00, None,22
12.7, None, None,2022-06-02 21:00:00, None,22
8.9, None, None,2022-06-02 22:00:00, None,22
8.6, None, None,2022-06-02 23:00:00, None,22
17.8, None, None,2022-06-03 00:00:00, None,22
10.8, None, None,2022-06-03 01:00:00, None,22
20.9, None, None,2022-06-03 02:00:00, None,22
32.5, None, None,2022-06-03 03:00:00, None,22
29.2, None, None,2022-06-03 04:00:00, None,22
19.1, None, None,2022-06-03 05:00:00, None,22
29.1, None, None,2022-06-03 06:00:00, None,22
20.9, None, None,2022-06-03 07:00:00, None,22
16.7, None, None,2022-06-03 08:00:00, None,22
26.9, None, None,2022-06-03 09:00:00, None,22
13.6, None, None,2022-06-03 10:00:00, None,22
30.3, None, None,2022-06-03 11:00:00, None,22
11.0, None, None,2022-06-03 12:00:00, None,22
10.7, None, None,2022-06-03 13:00:00, None,22
9.8, None, None,2022-06-03 14:00:00, None,22
50.6, None, None,2022-06-03 15:00:00, None,22
17.7, None, None,2022-06-03 16:00:00, None,22
3.3, None, None,2022-06-03 17:00:00, None,22
212.5, None, None,2022-06-03 18:00:00, None,22
211.2, None, None,2022-06-03 19:00:00, None,22
204.9, None, None,2022-06-03 20:00:00, None,22
203.8, None, None,2022-06-03 21:00:00, None,22
197.6, None, None,2022-06-03 22:00:00, None,22
202.8, None, None,2022-06-03 23:00:00, None,22
