wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,snw_dpth
,100.0, 4.4, None,-0.8, None,-0.8, None,3.0,0.0, 1.4, None,2022-05-07 00:00:00,19,
,100.0, 1.2, None,-1.4, None,-1.4, None,273.0,0.0, 1.4, None,2022-05-07 01:00:00,19,
,100.0, None, None,-1.6, None,-1.6, None,261.0,0.0, 1.4, None,2022-05-07 02:00:00,19,
,100.0, 5.2, None,-1.1, None,-1.1, None,292.0,0.0, 1.4, None,2022-05-07 03:00:00,19,
,100.0, 5.9, None,-1.2, None,-1.2, None,290.0,0.0, 1.4, None,2022-05-07 04:00:00,19,
,96.0, 5.9, None,-1.5, None,-0.9, None,310.0,0.0, 1.4, None,2022-05-07 05:00:00,19,
,100.0, 2.9, None,-1.1, None,-1.1, None,227.0,0.0, 1.4, None,2022-05-07 06:00:00,19,
,93.0, 5.6, None,-0.8, None,0.2, None,309.0,0.0, 1.4, None,2022-05-07 07:00:00,19,
,73.0, 6.9, None,-1.8, None,2.5, None,340.0,0.0, 1.4, None,2022-05-07 08:00:00,19,
,60.0, 8.2, None,-3.1, None,4.0, None,305.0,0.0, 1.4, None,2022-05-07 09:00:00,19,
,50.0, 5.1, None,-5.5, None,4.0, None,356.0,0.0, 0.0, None,2022-05-07 10:00:00,19,
,38.0, None, None,-7.3, None,5.9, None,311.0,0.0, 0.0, None,2022-05-07 11:00:00,19,
,58.0, 7.9, None,-4.0, None,3.5, None,334.0,0.0, 0.0, None,2022-05-07 12:00:00,19,
,56.0, 9.8, None,-2.8, None,5.3, None,288.0,0.0, 0.0, None,2022-05-07 13:00:00,19,
,45.0, 7.6, None,-3.4, None,7.8, None,249.0,0.0, 0.0, None,2022-05-07 14:00:00,19,
,43.0, 5.9, None,-3.4, None,8.5, None,288.0,0.0, 0.0, None,2022-05-07 15:00:00,19,
,54.0, 6.5, None,-2.1, None,6.5, None,272.0,0.0, 0.0, None,2022-05-07 16:00:00,19,
,74.0, 4.9, None,1.0, None,5.3, None,256.0,1.0, 1.0, None,2022-05-07 17:00:00,19,
,98.0, 4.9, None,0.4, None,0.7, None,277.0,0.2, 1.2, None,2022-05-07 18:00:00,19,
,85.0, 2.5, None,1.0, None,3.3, None,255.0,0.8, 2.0, None,2022-05-07 19:00:00,19,
,100.0, 4.4, None,0.4, None,0.4, None,278.0,0.0, 2.0, None,2022-05-07 20:00:00,19,
,100.0, 4.5, None,-0.3, None,-0.3, None,261.0,0.0, 2.0, None,2022-05-07 21:00:00,19,
,100.0, 4.9, None,-1.0, None,-1.0, None,266.0,0.0, 2.0, None,2022-05-07 22:00:00,19,
,100.0, 3.3, None,-1.0, None,-1.0, None,281.0,0.0, 2.0, None,2022-05-07 23:00:00,19,
,100.0, 5.5, None,-1.2, None,-1.2, None,283.0,0.0, 2.0, None,2022-05-08 00:00:00,19,
,100.0, None, None,-1.2, None,-1.2, None,286.0,0.0, 2.0, None,2022-05-08 01:00:00,19,
,100.0, 6.6, None,-1.5, None,-1.5, None,286.0,0.0, 2.0, None,2022-05-08 02:00:00,19,
,100.0, 5.6, None,-1.7, None,-1.7, None,284.0,0.0, 2.0, None,2022-05-08 03:00:00,19,
,100.0, 4.6, None,-1.9, None,-1.9, None,282.0,0.0, 2.0, None,2022-05-08 04:00:00,19,
,100.0, 5.7, None,-2.1, None,-2.1, None,286.0,0.0, 2.0, None,2022-05-08 05:00:00,19,
,100.0, 3.6, None,-2.2, None,-2.2, None,282.0,0.0, 2.0, None,2022-05-08 06:00:00,19,
,100.0, 3.1, None,-1.4, None,-1.4, None,279.0,0.0, 2.0, None,2022-05-08 07:00:00,19,
,98.0, 2.7, None,-0.2, None,0.1, None,243.0,0.0, 2.0, None,2022-05-08 08:00:00,19,
,92.0, 3.4, None,0.3, None,1.5, None,250.0,0.0, 2.0, None,2022-05-08 09:00:00,19,
,74.0, 1.3, None,-1.3, None,2.9, None,24.0,2.6, 4.6, None,2022-05-08 10:00:00,19,
,70.0, 6.7, None,-1.7, None,3.2, None,311.0,0.2, 4.8, None,2022-05-08 11:00:00,19,
,64.0, 3.6, None,-1.9, None,4.3, None,143.0,0.0, 4.8, None,2022-05-08 12:00:00,19,
,88.0, 5.6, None,0.6, None,2.4, None,119.0,0.0, 4.8, None,2022-05-08 13:00:00,19,
,88.0, 5.3, None,1.0, None,2.8, None,199.0,0.0, 4.8, None,2022-05-08 14:00:00,19,
,61.0, 4.5, None,0.2, None,7.2, None,215.0,0.4, 4.2, None,2022-05-08 17:00:00,19,
,93.0, 3.6, None,0.2, None,1.2, None,91.0,0.0, 3.2, None,2022-05-08 19:00:00,19,
,97.0, 5.3, None,-0.5, None,-0.1, None,288.0,0.0, 3.2, None,2022-05-08 20:00:00,19,
,100.0, 4.3, None,-1.2, None,-1.2, None,298.0,0.0, 3.2, None,2022-05-08 21:00:00,19,
,100.0, 4.1, None,-1.5, None,-1.5, None,276.0,0.0, 3.2, None,2022-05-08 22:00:00,19,
,99.0, 4.5, None,-1.7, None,-1.6, None,293.0,0.0, 3.2, None,2022-05-08 23:00:00,19,
,95.0, 4.9, None,-1.8, None,-1.1, None,297.0,0.0, 3.2, None,2022-05-09 00:00:00,19,
,100.0, 2.8, None,-1.9, None,-1.9, None,4.0,0.0, 3.2, None,2022-05-09 01:00:00,19,
,100.0, 3.6, None,-2.4, None,-2.4, None,320.0,0.0, 3.2, None,2022-05-09 02:00:00,19,
,100.0, 4.3, None,-2.4, None,-2.4, None,314.0,0.0, 3.2, None,2022-05-09 03:00:00,19,
,98.0, 7.2, None,-2.4, None,-2.1, None,314.0,0.0, 3.2, None,2022-05-09 04:00:00,19,
