CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None,0.494,62.93, None, None, None, None, 6.601, None, 2.401, 227.2, None, None, None, None, None, None, None, None, None,2019-12-10 00:00:00, None, 54.32,50
None,0.478,64.0, None, None, None, None, 15.71, None, 2.184, 222.5, None, None, None, None, None, None, None, None, None,2019-12-10 01:00:00, None, 55.04,50
None,0.969,58.48, None, None, None, None, 14.61, None, 1.937, 220.7, None, None, None, None, None, None, None, None, None,2019-12-10 02:00:00, None, 54.63,50
None,1.209,54.26, None, None, None, None, 27.67, None, 1.691, 229.3, None, None, None, None, None, None, None, None, None,2019-12-10 03:00:00, None, 54.95,50
None,0.513,59.01, None, None, None, None, 26.11, None, 1.067, 203.7, None, None, None, None, None, None, None, None, None,2019-12-10 04:00:00, None, 55.08,50
None,-1.173,71.93, None, None, None, None, 45.57, None, 1.459, 202.9, None, None, None, None, None, None, None, None, None,2019-12-10 05:00:00, None, 54.65,50
None,-1.279,72.58, None, None, None, None, 12.09, None, 2.641, 227.8, None, None, None, None, None, None, None, None, None,2019-12-10 06:00:00, None, 54.22,50
None,-1.064,71.42, None, None, None, None, 14.89, None, 2.343, 221.6, None, None, None, None, None, None, None, None, None,2019-12-10 07:00:00, None, 54.03,50
None,-0.644,61.38, None, None, None, None, 6.969, None, 2.817, 224.4, None, None, None, None, None, None, None, None, None,2019-12-10 08:00:00, None, 54.72,50
None,-0.813,61.63, None, None, None, None, 9.3, None, 2.042, 219.0, None, None, None, None, None, None, None, None, None,2019-12-10 09:00:00, None, 55.0,50
None,-1.041,69.03, None, None, None, None, 52.67, None, 1.012, 219.3, None, None, None, None, None, None, None, None, None,2019-12-10 10:00:00, None, 54.09,50
None,-0.405,65.64, None, None, None, None, 8.52, None, 2.638, 228.4, None, None, None, None, None, None, None, None, None,2019-12-10 11:00:00, None, 54.23,50
None,0.776,63.63, None, None, None, None, 15.0, None, 2.616, 232.4, None, None, None, None, None, None, None, None, None,2019-12-10 12:00:00, None, 54.01,50
None,1.065,67.14, None, None, None, None, 21.68, None, 3.788, 233.3, None, None, None, None, None, None, None, None, None,2019-12-10 13:00:00, None, 53.65,50
None,0.247,73.5, None, None, None, None, 19.91, None, 2.619, 236.6, None, None, None, None, None, None, None, None, None,2019-12-10 14:00:00, None, 54.37,50
None,-1.08,80.7, None, None, None, None, 17.47, None, 2.467, 234.9, None, None, None, None, None, None, None, None, None,2019-12-10 15:00:00, None, 54.55,50
None,-1.393,81.8, None, None, None, None, 19.48, None, 2.189, 230.1, None, None, None, None, None, None, None, None, None,2019-12-10 16:00:00, None, 54.74,50
None,-1.816,87.4, None, None, None, None, 18.88, None, 1.528, 223.4, None, None, None, None, None, None, None, None, None,2019-12-10 17:00:00, None, 54.63,50
None,-2.053,92.2, None, None, None, None, 10.73, None, 0.763, 228.5, None, None, None, None, None, None, None, None, None,2019-12-10 18:00:00, None, 54.58,50
None,-2.243,95.7, None, None, None, None, 15.68, None, 0.509, 235.7, None, None, None, None, None, None, None, None, None,2019-12-10 19:00:00, None, 54.75,50
None,-2.321,96.8, None, None, None, None, 9.44, None, 0.98, 229.9, None, None, None, None, None, None, None, None, None,2019-12-10 20:00:00, None, 54.59,50
None,-2.066,97.2, None, None, None, None, 7.119, None, 1.187, 229.7, None, None, None, None, None, None, None, None, None,2019-12-10 21:00:00, None, 54.42,50
None,-2.118,97.3, None, None, None, None, 14.16, None, 1.979, 229.0, None, None, None, None, None, None, None, None, None,2019-12-10 22:00:00, None, 54.33,50
None,-2.213,97.5, None, None, None, None, 28.19, None, 1.502, 233.9, None, None, None, None, None, None, None, None, None,2019-12-10 23:00:00, None, 54.34,50
None,-2.272,97.5, None, None, None, None, 18.7, None, 1.674, 229.3, None, None, None, None, None, None, None, None, None,2019-12-11 00:00:00, None, 55.05,50
