pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None,-8.51,91.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 00:00:00, None,50
None,-8.64,91.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 01:00:00, None,50
None,-8.89,91.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 02:00:00, None,50
None,-8.78,91.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 03:00:00, None,50
None,-8.74,91.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 04:00:00, None,50
None,-8.32,91.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 05:00:00, None,50
None,-8.39,91.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 06:00:00, None,50
None,-8.2,91.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 07:00:00, None,50
None,-7.969,91.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 08:00:00, None,50
None,-7.778,92.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 09:00:00, None,50
None,-7.408,92.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 10:00:00, None,50
None,-6.126,93.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 11:00:00, None,50
None,-6.498,92.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 13:00:00, None,50
None,-6.293,93.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 14:00:00, None,50
None,-6.413,92.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 15:00:00, None,50
None,-5.98,93.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 16:00:00, None,50
None,-5.857,93.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 17:00:00, None,50
None,-5.592,93.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 18:00:00, None,50
None,-5.811,93.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 19:00:00, None,50
None,-5.947,93.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 20:00:00, None,50
None,-6.052,93.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 21:00:00, None,50
None,-5.961,93.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 22:00:00, None,50
None,-6.136,93.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-10 23:00:00, None,50
None,-6.094,93.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-11 00:00:00, None,50
None,-5.762,93.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-11 01:00:00, None,50
None,-6.034,93.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-11 02:00:00, None,50
None,-6.036,93.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-11 03:00:00, None,50
None,-5.885,93.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-11 04:00:00, None,50
None,-6.415,93.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-11 05:00:00, None,50
None,-6.724,92.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-11 06:00:00, None,50
None,-6.663,92.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-11 07:00:00, None,50
None,-6.459,92.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-11 08:00:00, None,50
None,-6.461,92.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-11 09:00:00, None,50
None,-6.086,93.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-11 10:00:00, None,50
