pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,stn_pres,week_of_year
0.0, 0.7, -0.9, 1024.9, 0.0, 0.0, 1.0, 77.0,2022-02-26 00:00:00, -3.0, 988.0,9
0.0, 0.9, -0.9, 1024.9, 0.0, 0.0, 1.0, 78.0,2022-02-26 01:00:00, -3.0, 988.0,9
0.0, 0.8, -0.9, 1024.9, 0.0, 0.0, 1.2, 82.0,2022-02-26 02:00:00, -2.0, 988.0,9
0.0, 1.2, -0.9, 1023.8, 0.0, 0.0, 1.2, 80.0,2022-02-26 03:00:00, -2.0, 987.0,9
0.0, 1.3, -0.9, 1022.8, 0.0, 0.0, 1.4, 81.0,2022-02-26 04:00:00, -2.0, 986.0,9
0.0, 1.3, -0.9, 1021.7, 0.0, 0.0, 1.5, 82.0,2022-02-26 05:00:00, -1.0, 985.0,9
0.0, 1.3, -0.9, 1021.8, 0.0, 0.0, 1.6, 81.0,2022-02-26 06:00:00, -2.0, 985.0,9
0.0, 1.3, 1.2, 1020.8, 0.0, 0.0, 1.4, 80.0,2022-02-26 07:00:00, -2.0, 984.0,9
0.0, 1.5, 1.2, 1019.7, 0.0, 0.0, 1.7, 81.0,2022-02-26 08:00:00, -1.0, 983.0,9
0.0, 2.1, 1.2, 1019.7, 0.0, 0.0, 2.2, 78.0,2022-02-26 09:00:00, -1.0, 983.0,9
0.0, 2.7, 1.2, 1019.7, 0.0, 0.0, 2.7, 75.0,2022-02-26 10:00:00, -1.0, 983.0,9
0.0, 3.1, 1.2, 1019.6, 0.0, 0.0, 3.1, 77.0,2022-02-26 11:00:00, 0.0, 983.0,9
0.0, 2.6, 1.2, 1020.7, 0.1, 0.0, 3.1, 80.0,2022-02-26 12:00:00, -1.0, 984.0,9
0.4, 1.4, 1.2, 1019.7, 0.4, 0.0, 3.1, 89.0,2022-02-26 13:00:00, 0.0, 983.0,9
None, 0.0, -0.1, 1013.4, 0.5, 1.0, 0.1, 100.0,2022-02-26 23:00:00, 0.0, 977.0,9
None, 0.1, -0.1, 1011.4, 0.7, 0.0, 0.2, 100.0,2022-02-27 00:00:00, 0.0, 975.0,9
None, 0.4, -0.1, 1011.4, 1.5, 0.0, 0.4, 99.0,2022-02-27 01:00:00, 0.0, 975.0,9
None, 2.2, -0.1, None, 0.6, 0.0, 2.5, 100.0,2022-02-27 02:00:00, 2.0, 975.0,9
None, 3.2, -0.1, None, 1.7, 0.0, 3.7, 99.0,2022-02-27 03:00:00, 3.0, 976.0,9
None, 3.5, -0.1, None, 0.6, 0.0, 3.7, 100.0,2022-02-27 04:00:00, 3.0, 977.0,9
None, 3.0, -0.1, None, 0.0, 0.0, 3.9, 100.0,2022-02-27 05:00:00, 3.0, 977.0,9
None, 3.3, -0.1, None, 0.1, 0.0, 3.9, 100.0,2022-02-27 06:00:00, 3.0, 978.0,9
None, 2.4, 2.5, None, 0.4, 0.0, 3.3, 100.0,2022-02-27 07:00:00, 2.0, 978.0,9
None, 2.9, 2.4, None, 0.4, 0.0, 3.3, 100.0,2022-02-27 08:00:00, 3.0, 979.0,9
None, 2.8, 2.4, None, 0.2, 0.0, 3.3, 100.0,2022-02-27 09:00:00, 3.0, 980.0,9
None, 3.9, 2.4, None, 0.1, 0.0, 4.0, 99.0,2022-02-27 10:00:00, 4.0, 981.0,9
None, 4.5, 2.4, 1018.6, 0.1, 0.0, 4.7, 99.0,2022-02-27 11:00:00, 4.0, 982.0,9
None, 4.5, 2.4, 1018.6, 0.0, 0.0, 4.8, 99.0,2022-02-27 12:00:00, 4.0, 982.0,9
None, 4.6, 2.4, 1018.6, 0.0, 0.0, 4.8, 99.0,2022-02-27 13:00:00, 4.0, 982.0,9
None, 5.1, 2.4, 1018.5, 0.0, 0.0, 5.2, 97.0,2022-02-27 14:00:00, 5.0, 982.0,9
None, 4.9, 2.4, 1017.4, 0.0, 0.0, 5.6, 97.0,2022-02-27 15:00:00, 4.0, 981.0,9
None, 5.0, 2.4, 1017.4, 0.1, 0.0, 5.6, 97.0,2022-02-27 16:00:00, 5.0, 981.0,9
None, 4.6, 2.4, 1016.4, 0.2, 0.0, 5.6, 98.0,2022-02-27 17:00:00, 4.0, 980.0,9
None, 4.8, 2.4, 1014.3, 0.5, 0.0, 5.6, 99.0,2022-02-27 18:00:00, 4.0, 978.0,9
None, 4.9, 4.5, 1013.3, 0.8, 0.0, 5.1, 99.0,2022-02-27 19:00:00, 5.0, 977.0,9
None, 4.9, 4.5, 1012.2, 1.9, 0.0, 5.2, 98.0,2022-02-27 20:00:00, 5.0, 976.0,9
None, 4.5, 4.4, 1010.2, 3.0, 0.0, 5.2, 97.0,2022-02-27 21:00:00, 4.0, 974.0,9
14.8, 4.5, 4.4, 1010.1, 1.8, 0.0, 5.2, 98.0,2022-02-27 22:00:00, 4.0, 974.0,9
15.5, 5.2, 4.3, 1009.0, 1.2, 0.0, 5.2, 99.0,2022-02-27 23:00:00, 5.0, 973.0,9
15.2, 5.4, 4.3, 1008.0, 0.4, 0.0, 5.6, 99.0,2022-02-28 00:00:00, 5.0, 972.0,9
14.5, 5.3, 4.3, 1008.0, 0.8, 0.0, 5.6, 99.0,2022-02-28 01:00:00, 5.0, 972.0,9
14.5, 5.4, 4.3, 1009.0, 0.6, 0.0, 5.6, 100.0,2022-02-28 02:00:00, 5.0, 973.0,9
13.0, 5.3, 4.3, 1008.0, 0.2, 0.0, 5.6, 100.0,2022-02-28 03:00:00, 5.0, 972.0,9
12.6, 5.3, 4.3, 1009.0, 0.2, 0.0, 5.6, 100.0,2022-02-28 04:00:00, 5.0, 973.0,9
12.8, 5.6, 4.3, 1009.0, 0.2, 0.0, 5.6, 100.0,2022-02-28 05:00:00, 6.0, 973.0,9
12.8, 5.7, 4.3, 1009.0, 0.1, 0.0, 5.8, 100.0,2022-02-28 06:00:00, 6.0, 973.0,9
12.6, 5.6, 5.6, 1010.0, 0.2, 0.0, 5.8, 100.0,2022-02-28 07:00:00, 6.0, 974.0,9
12.2, 5.9, 5.6, 1011.1, 0.1, 0.0, 6.0, 100.0,2022-02-28 08:00:00, 6.0, 975.0,9
12.2, 6.0, 5.6, 1011.1, 0.2, 0.0, 6.0, 100.0,2022-02-28 09:00:00, 6.0, 975.0,9
12.2, 5.9, 5.6, 1012.1, 0.1, 0.0, 6.0, 100.0,2022-02-28 10:00:00, 6.0, 976.0,9
12.2, 5.9, 5.6, 1012.1, 0.1, 0.0, 6.0, 100.0,2022-02-28 11:00:00, 6.0, 976.0,9
12.2, 5.8, 5.6, 1012.1, 0.0, 0.0, 6.0, 100.0,2022-02-28 12:00:00, 6.0, 976.0,9
12.2, 5.9, 5.6, 1011.1, 0.0, 0.0, 6.0, 100.0,2022-02-28 13:00:00, 6.0, 975.0,9
12.2, 5.9, 5.6, 1011.1, 0.0, 0.0, 6.0, 100.0,2022-02-28 14:00:00, 6.0, 975.0,9
12.2, 6.0, 5.6, 1011.1, 0.0, 0.0, 6.0, 100.0,2022-02-28 15:00:00, 6.0, 975.0,9
12.2, 6.0, 5.6, 1012.1, 0.1, 0.0, 6.1, 100.0,2022-02-28 16:00:00, 6.0, 976.0,9
12.0, 5.9, 5.6, 1012.1, 0.1, 0.0, 6.1, 100.0,2022-02-28 17:00:00, 6.0, 976.0,9
11.5, 5.3, 5.4, 1011.1, 0.1, 0.0, 6.1, 100.0,2022-02-28 18:00:00, 5.0, 975.0,9
10.7, 5.3, 5.1, 1011.1, 0.1, 0.0, 5.4, 99.0,2022-02-28 19:00:00, 5.0, 975.0,9
9.0, 5.1, 5.0, 1011.1, 0.2, 0.0, 5.4, 99.0,2022-02-28 20:00:00, 5.0, 975.0,9
6.2, 5.1, 5.0, 1012.1, 0.2, 0.0, 5.4, 99.0,2022-02-28 21:00:00, 5.0, 976.0,9
4.4, 5.1, 5.0, 1012.1, 0.1, 0.0, 5.4, 99.0,2022-02-28 22:00:00, 5.0, 976.0,9
3.4, 5.3, 5.0, 1012.1, 0.2, 0.0, 5.4, 100.0,2022-02-28 23:00:00, 5.0, 976.0,9
3.0, 5.3, 5.0, 1011.1, 0.1, 0.0, 5.4, 100.0,2022-03-01 00:00:00, 5.0, 975.0,9
2.4, 5.3, 5.0, 1012.1, 0.2, 0.0, 5.4, 100.0,2022-03-01 01:00:00, 5.0, 976.0,9
2.1, 5.5, 5.0, 1013.1, 0.3, 0.0, 5.6, 100.0,2022-03-01 02:00:00, 6.0, 977.0,9
2.7, 5.6, 5.0, 1013.1, 0.8, 0.0, 5.7, 100.0,2022-03-01 03:00:00, 6.0, 977.0,9
2.5, 5.5, 5.0, 1013.1, 0.0, 0.0, 5.7, 100.0,2022-03-01 04:00:00, 6.0, 977.0,9
2.3, 5.4, 5.0, 1013.1, 0.0, 0.0, 5.7, 100.0,2022-03-01 05:00:00, 5.0, 977.0,9
2.3, 5.3, 5.0, 1014.2, 0.0, 0.0, 5.7, 100.0,2022-03-01 06:00:00, 5.0, 978.0,9
2.1, 5.5, 5.3, 1014.2, 0.0, 0.0, 5.7, 100.0,2022-03-01 07:00:00, 6.0, 978.0,9
2.1, 5.4, 5.3, 1015.2, 0.0, 0.0, 5.7, 100.0,2022-03-01 08:00:00, 5.0, 979.0,9
1.9, 5.6, 5.3, 1015.2, 0.0, 0.0, 5.7, 100.0,2022-03-01 09:00:00, 5.0, 979.0,9
1.9, 5.7, 5.3, 1015.2, 0.0, 0.0, 5.8, 100.0,2022-03-01 10:00:00, 6.0, 979.0,9
1.9, 6.0, 5.3, 1016.2, 0.0, 0.0, 6.1, 100.0,2022-03-01 11:00:00, 6.0, 980.0,9
1.9, 6.4, 5.3, 1016.2, 0.0, 0.0, 6.3, 99.0,2022-03-01 12:00:00, 6.0, 980.0,9
1.9, 6.7, 5.3, 1015.2, 0.1, 0.0, 6.9, 98.0,2022-03-01 13:00:00, 7.0, 979.0,9
2.8, 7.0, 5.3, 1015.2, 0.9, 0.0, 7.1, 99.0,2022-03-01 14:00:00, 7.0, 979.0,9
3.2, 6.9, 5.3, 1015.2, 0.4, 0.0, 7.1, 99.0,2022-03-01 15:00:00, 7.0, 979.0,9
3.2, 6.9, 5.3, 1015.2, 0.1, 0.0, 7.1, 98.0,2022-03-01 16:00:00, 7.0, 979.0,9
3.5, 6.7, 5.3, 1015.2, 0.3, 0.0, 7.1, 99.0,2022-03-01 17:00:00, 6.0, 979.0,9
4.2, 6.3, 5.3, 1015.2, 0.7, 0.0, 7.1, 99.0,2022-03-01 18:00:00, 6.0, 979.0,9
4.4, 5.6, 5.6, 1015.2, 0.2, 0.0, 6.3, 99.0,2022-03-01 19:00:00, 6.0, 979.0,9
4.9, 5.5, 5.4, 1016.3, 0.7, 0.0, 6.3, 99.0,2022-03-01 20:00:00, 5.0, 980.0,9
4.7, 5.2, 5.1, 1016.3, 0.1, 0.0, 6.3, 99.0,2022-03-01 21:00:00, 5.0, 980.0,9
4.7, 5.1, 5.0, 1016.3, 0.0, 0.0, 6.3, 99.0,2022-03-01 22:00:00, 5.0, 980.0,9
4.8, 5.1, 4.9, 1017.3, 0.3, 0.0, 6.3, 99.0,2022-03-01 23:00:00, 5.0, 981.0,9
4.8, 5.0, 4.7, 1016.2, 0.0, 0.0, 6.3, 99.0,2022-03-02 00:00:00, 5.0, 980.0,9
4.6, 5.6, 4.7, 1016.2, 0.0, 0.0, 6.3, 99.0,2022-03-02 01:00:00, 6.0, 980.0,9
4.5, 5.6, 4.7, 1016.2, 0.2, 0.0, 6.3, 99.0,2022-03-02 02:00:00, 6.0, 980.0,9
3.7, 5.4, 4.7, 1017.2, 0.0, 0.0, 6.3, 99.0,2022-03-02 03:00:00, 5.0, 981.0,9
3.7, 5.4, 4.7, 1016.2, 0.0, 0.0, 6.3, 98.0,2022-03-02 04:00:00, 5.0, 980.0,9
3.7, 5.5, 4.7, 1016.2, 0.0, 0.0, 6.3, 97.0,2022-03-02 05:00:00, 5.0, 980.0,9
3.7, 5.4, 4.7, 1016.2, 0.0, 0.0, 6.3, 97.0,2022-03-02 06:00:00, 5.0, 980.0,9
3.7, 5.6, 5.2, 1016.2, 0.0, 0.0, 5.6, 97.0,2022-03-02 07:00:00, 5.0, 980.0,9
3.7, 5.4, 5.2, 1016.3, 0.0, 0.0, 5.6, 98.0,2022-03-02 08:00:00, 5.0, 980.0,9
3.9, 5.4, 5.2, 1017.3, 0.2, 0.0, 5.6, 99.0,2022-03-02 09:00:00, 5.0, 981.0,9
4.1, 5.6, 5.2, 1017.3, 0.2, 0.0, 5.6, 99.0,2022-03-02 10:00:00, 5.0, 981.0,9
4.1, 5.7, 5.2, 1017.3, 0.0, 0.0, 5.7, 98.0,2022-03-02 11:00:00, 6.0, 981.0,9
4.1, 5.9, 5.2, 1017.3, 0.0, 0.0, 5.9, 98.0,2022-03-02 12:00:00, 5.0, 981.0,9
4.3, 6.1, 5.2, 1016.2, 0.2, 0.0, 6.2, 98.0,2022-03-02 13:00:00, 6.0, 980.0,9
