pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,stn_pres,week_of_year
0.0, 14.9, 14.7, 1024.7, 0.0, 0.0, 23.4, 76.0,2022-10-08 00:00:00, 11.0, 989.0,41
0.0, 14.0, 14.0, 1024.7, 0.0, 0.0, 23.4, 80.0,2022-10-08 01:00:00, 11.0, 989.0,41
0.0, 12.8, 12.8, 1024.7, 0.0, 0.0, 23.4, 87.0,2022-10-08 02:00:00, 11.0, 989.0,41
0.0, 11.9, 11.9, 1024.7, 0.0, 0.0, 23.4, 91.0,2022-10-08 03:00:00, 10.0, 989.0,41
0.0, 11.6, 11.6, 1024.7, 0.0, 0.0, 23.4, 91.0,2022-10-08 04:00:00, 10.0, 989.0,41
0.0, 10.8, 10.8, 1024.7, 0.0, 0.0, 23.4, 95.0,2022-10-08 05:00:00, 10.0, 989.0,41
0.0, 10.1, 10.2, 1024.8, 0.0, 0.0, 23.4, 96.0,2022-10-08 06:00:00, 9.0, 989.0,41
0.0, 10.1, 10.0, 1025.9, 0.0, 0.0, 10.2, 98.0,2022-10-08 07:00:00, 10.0, 990.0,41
0.0, 9.9, 9.7, 1026.0, 0.0, 0.0, 10.2, 99.0,2022-10-08 08:00:00, 10.0, 990.0,41
0.0, 9.8, 9.7, 1026.1, 0.0, 0.0, 10.2, 99.0,2022-10-08 09:00:00, 10.0, 990.0,41
0.0, 10.3, 9.7, 1026.1, 0.0, 0.0, 10.3, 99.0,2022-10-08 10:00:00, 10.0, 990.0,41
0.0, 12.8, 9.7, 1026.0, 0.0, 0.0, 12.8, 86.0,2022-10-08 11:00:00, 11.0, 990.0,41
0.0, 16.5, 9.7, 1024.9, 0.0, 0.0, 16.4, 73.0,2022-10-08 12:00:00, 12.0, 989.0,41
0.0, 18.6, 9.7, 1024.8, 0.0, 0.0, 18.6, 65.0,2022-10-08 13:00:00, 12.0, 989.0,41
None, 21.3, 9.7, 1023.8, 0.0, 0.0, 21.4, 54.0,2022-10-08 15:00:00, 11.0, 988.0,41
None, 21.1, 9.7, 1022.7, 0.0, 0.0, 21.5, 52.0,2022-10-08 16:00:00, 11.0, 987.0,41
None, 20.2, 9.7, 1023.8, 0.0, 0.0, 21.5, 54.0,2022-10-08 17:00:00, 11.0, 988.0,41
None, 18.7, 9.7, 1022.9, 0.0, 0.0, 21.5, 59.0,2022-10-08 18:00:00, 11.0, 987.0,41
