wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
313.0, 83.0, 4.3, 0.0, -11.6, 8.7, -9.2, -8.8, 267.0, 0.0, 0.0, 79.0,2021-12-10 00:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.0, 79.0, 8.7, 0.0, -11.8, 11.0, -8.8, -7.9, 313.0, 0.0, 0.0, 77.0,2021-12-10 01:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0, 77.0, 11.0, 0.0, -11.2, 10.6, -7.9, -8.0, 312.0, 0.0, 0.0, 75.0,2021-12-10 02:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284.0, 75.0, 10.6, 0.0, -11.6, 10.1, -8.0, -8.0, 307.0, 0.0, 0.0, 80.0,2021-12-10 03:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.0, 80.0, 10.1, 0.0, -10.8, 8.6, -8.0, -7.9, 284.0, 0.0, 0.0, 79.0,2021-12-10 04:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0, 79.0, 8.6, 0.0, -10.9, 8.0, -7.9, -7.9, 311.0, 0.0, 0.0, 77.0,2021-12-10 05:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282.0, 77.0, 8.0, 0.0, -11.2, 7.9, -7.9, -7.9, 250.0, 0.0, 0.0, 79.0,2021-12-10 06:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269.0, None, None, 0.0, None, 7.4, None, -7.8, None, None, None, 80.0,2021-12-10 07:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271.0, 80.0, 7.4, 0.0, -10.6, 10.9, -7.8, -7.1, 269.0, 0.0, 0.0, 78.0,2021-12-10 08:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.0, 78.0, 10.9, 0.0, -10.3, 8.8, -7.1, -6.2, 271.0, 0.0, 0.0, 78.0,2021-12-10 09:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238.0, 78.0, 8.8, 0.0, -9.4, 10.2, -6.2, -5.3, 242.0, 0.0, 0.0, 75.0,2021-12-10 10:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216.0, 75.0, 10.2, 0.0, -9.0, 15.7, -5.3, -4.8, 238.0, 0.0, 0.0, 77.0,2021-12-10 11:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.0, 77.0, 15.7, 0.0, -8.2, 10.8, -4.8, -4.9, 216.0, 0.0, 0.0, 84.0,2021-12-10 12:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.0, 84.0, 10.8, 0.0, -7.2, 9.2, -4.9, -5.1, 202.0, 0.0, 0.0, 80.0,2021-12-10 13:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157.0, 80.0, 9.2, 0.0, -8.0, 6.4, -5.1, -6.9, 174.0, 0.0, 0.0, 90.0,2021-12-10 14:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190.0, 90.0, 6.4, 0.0, -8.3, 3.1, -6.9, -8.1, 157.0, 0.0, 0.0, 94.0,2021-12-10 15:00:00,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
