TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 0.968999, None, 81.6,2016-02-05 00:00:00,-4.203,6
None, 0.975, None, 80.2,2016-02-05 01:00:00,-4.314,6
None, 0.889998, None, 84.7,2016-02-05 02:00:00,-4.186,6
None, 1.115, None, 85.3,2016-02-05 03:00:00,-4.275,6
None, 0.975, None, 85.3,2016-02-05 04:00:00,-3.958,6
None, 0.986998, None, 85.5,2016-02-05 05:00:00,-3.774,6
None, 1.064, None, 86.2,2016-02-05 06:00:00,-4.349,6
None, 1.097, None, 86.5,2016-02-05 07:00:00,-4.533,6
None, 1.108, None, 83.5,2016-02-05 08:00:00,-3.812,6
None, 1.595, None, 71.04,2016-02-05 09:00:00,-2.907,6
None, 1.333, None, 65.7,2016-02-05 10:00:00,0.474,6
None, 2.097, None, 56.19,2016-02-05 11:00:00,4.782,6
None, 1.658, None, 48.69,2016-02-05 12:00:00,8.29,6
None, 4.755, None, 47.88,2016-02-05 13:00:00,9.23,6
None, 4.831, None, 49.38,2016-02-05 14:00:00,9.2,6
None, 3.345, None, 51.96,2016-02-05 15:00:00,8.41,6
None, 2.798, None, 54.01,2016-02-05 16:00:00,8.11,6
None, 1.537, None, 55.78,2016-02-05 17:00:00,7.632,6
None, 0.999, None, 58.68,2016-02-05 18:00:00,7.079,6
None, 1.105, None, 74.71,2016-02-05 19:00:00,3.945,6
None, 0.834999, None, 76.99,2016-02-05 20:00:00,1.496,6
None, 0.864, None, 79.08,2016-02-05 21:00:00,0.726998,6
None, 0.976, None, 81.3,2016-02-05 22:00:00,0.619,6
None, 0.777998, None, 72.06,2016-02-05 23:00:00,1.394,6
None, 1.241, None, 65.97,2016-02-06 00:00:00,4.954,6
None, 1.058, None, 74.01,2016-02-06 01:00:00,4.438,6
None, 4.014, None, 63.41,2016-02-06 02:00:00,4.881,6
None, 5.714, None, 58.09,2016-02-06 03:00:00,5.862,6
None, 7.181, None, 51.45,2016-02-06 04:00:00,6.259,6
None, 7.625, None, 46.85,2016-02-06 05:00:00,5.83,6
None, 8.5, None, 44.02,2016-02-06 06:00:00,4.93,6
