pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
0.0, -3.616, 78.14, -1.9, 15.5, 22.44, 4.7, 337.9, -7.0, 4.7, -3.6, -3.7, -7.0, 0.0, 338.0, 0.0, 78.0,2020-02-26 00:00:00, -6999.0, -6999.0,9
0.0, -4.691, 82.2, -1.9, 8.0, 33.68, 2.572, 330.6, -7.0, 2.6, -4.7, -4.7, -7.0, 0.0, 331.0, 0.0, 82.0,2020-02-26 01:00:00, -6999.0, -6999.0,9
0.0, -4.441, 85.9, -1.9, 15.6, 46.63, 3.714, 339.4, -6.0, 3.7, -4.4, -4.9, -6.0, 0.0, 339.0, 0.0, 86.0,2020-02-26 02:00:00, -6999.0, -6999.0,9
0.0, -4.838, 86.3, -1.9, 17.8, 29.35, 6.509, 343.6, -6.0, 6.5, -4.8, -4.9, -6.0, 0.0, 344.0, 0.0, 86.0,2020-02-26 03:00:00, -6999.0, -6999.0,9
0.0, -5.445, 87.2, -1.9, 10.7, 56.3, 2.28, 304.9, -7.0, 2.3, -5.4, -5.6, -7.0, 0.0, 305.0, 0.0, 87.0,2020-02-26 04:00:00, -6999.0, -6999.0,9
None, -6.576, 88.9, None, None, 64.22, 2.351, 274.2, None, None, None, None, -8.0, None, None, None, None,2020-02-26 05:00:00, None, None,9
0.0, -5.724, 89.7, -1.9, 9.8, 51.43, 3.298, 166.0, -7.0, 3.3, -5.7, -7.1, -7.0, 0.0, 166.0, 0.0, 90.0,2020-02-26 06:00:00, -6999.0, -6999.0,9
0.0, -5.355, 90.1, -5.6, 12.5, 69.61, 2.177, 163.8, -7.0, 2.2, -5.4, -6.2, -7.0, 0.0, 164.0, 0.0, 90.0,2020-02-26 07:00:00, -6999.0, -6999.0,9
0.0, -4.611, 87.6, -4.1, 17.4, 52.81, 6.509, 349.0, -6.0, 6.5, -4.6, -6.2, -6.0, 0.0, 349.0, 0.0, 88.0,2020-02-26 08:00:00, -6999.0, -6999.0,9
0.0, -3.969, 85.3, -3.9, 18.1, 75.7, 3.927, 126.9, -6.0, 3.9, -4.0, -6.2, -6.0, 0.0, 127.0, 0.0, 85.0,2020-02-26 09:00:00, -6999.0, -6999.0,9
0.0, -1.974, 75.82, -1.9, 19.4, 16.58, 9.95, 340.6, -5.0, 10.0, -2.0, -6.2, -5.0, 0.0, 341.0, 0.0, 76.0,2020-02-26 10:00:00, -6999.0, -6999.0,9
0.0, -0.897, 73.2, -1.1, 20.5, 19.48, 9.87, 348.1, -4.0, 9.9, -0.9, -6.2, -4.0, 0.0, 348.0, 0.0, 73.0,2020-02-26 11:00:00, -6999.0, -6999.0,9
0.0, 2.2, 58.43, 2.3, 14.8, 58.15, 4.464, 358.4, -5.0, 4.5, 2.2, -6.2, -5.0, 0.0, 358.0, 0.0, 58.0,2020-02-26 12:00:00, -6999.0, -6999.0,9
0.0, 3.004, 51.81, 3.2, 22.4, 50.67, 6.303, 41.88, -6.0, 6.3, 3.0, -6.2, -6.0, 0.0, 42.0, 0.0, 52.0,2020-02-26 13:00:00, -6999.0, -6999.0,9
0.0, 3.495, 46.77, 3.7, 34.6, 32.67, 11.5, 3.506, -6.0, 11.5, 3.5, -6.2, -6.0, 0.0, 4.0, 0.0, 47.0,2020-02-26 14:00:00, -6999.0, -6999.0,9
0.0, 3.277, 47.85, 4.0, 34.4, 24.41, 15.6, 356.7, -7.0, 15.6, 3.3, -6.2, -7.0, 0.0, 357.0, 0.0, 48.0,2020-02-26 15:00:00, -6999.0, -6999.0,9
0.0, 2.624, 54.48, 4.0, 34.5, 27.7, 13.73, 4.479, -5.0, 13.7, 2.6, -6.2, -5.0, 0.0, 4.0, 0.0, 54.0,2020-02-26 16:00:00, -6999.0, -6999.0,9
0.0, 2.145, 54.58, 4.0, 22.9, 29.89, 8.99, 6.455, -6.0, 9.0, 2.1, -6.2, -6.0, 0.0, 6.0, 0.0, 55.0,2020-02-26 17:00:00, -6999.0, -6999.0,9
