TempC,time,RH,week_of_year
-1.213,2019-04-16 00:00:00,94.9,16
-0.06,2019-04-16 01:00:00,94.0,16
0.329,2019-04-16 02:00:00,90.9,16
0.467,2019-04-16 03:00:00,88.4,16
0.051,2019-04-16 04:00:00,88.3,16
-0.423,2019-04-16 05:00:00,90.2,16
0.797,2019-04-16 06:00:00,89.5,16
2.101,2019-04-16 07:00:00,85.3,16
3.301,2019-04-16 08:00:00,78.6,16
5.437,2019-04-16 09:00:00,71.0,16
8.245,2019-04-16 10:00:00,60.2,16
8.419,2019-04-16 11:00:00,53.8,16
9.238,2019-04-16 12:00:00,48.5,16
9.336,2019-04-16 13:00:00,46.6,16
9.188,2019-04-16 14:00:00,44.4,16
9.238,2019-04-16 15:00:00,42.7,16
8.319,2019-04-16 16:00:00,45.1,16
7.845,2019-04-16 17:00:00,48.9,16
6.636,2019-04-16 18:00:00,50.8,16
5.334,2019-04-16 19:00:00,56.2,16
5.437,2019-04-16 20:00:00,62.1,16
4.818,2019-04-16 21:00:00,58.9,16
4.037,2019-04-16 22:00:00,64.7,16
3.591,2019-04-16 23:00:00,64.8,16
3.827,2019-04-17 00:00:00,67.6,16
3.749,2019-04-17 01:00:00,70.2,16
3.327,2019-04-17 02:00:00,71.7,16
3.564,2019-04-17 03:00:00,71.6,16
2.262,2019-04-17 04:00:00,75.5,16
2.584,2019-04-17 05:00:00,78.3,16
2.45,2019-04-17 06:00:00,78.6,16
3.116,2019-04-17 07:00:00,81.2,16
6.433,2019-04-17 08:00:00,64.0,16
7.594,2019-04-17 09:00:00,49.5,16
8.543,2019-04-17 10:00:00,43.5,16
8.245,2019-04-17 11:00:00,43.9,16
7.87,2019-04-17 12:00:00,48.6,16
8.643,2019-04-17 13:00:00,44.5,16
9.657,2019-04-17 14:00:00,40.5,16
10.614,2019-04-17 15:00:00,37.7,16
10.81,2019-04-17 16:00:00,35.7,16
9.485,2019-04-17 17:00:00,37.0,16
7.945,2019-04-17 18:00:00,45.4,16
6.23,2019-04-17 19:00:00,57.9,16
6.102,2019-04-17 20:00:00,63.8,16
7.242,2019-04-17 21:00:00,57.2,16
6.636,2019-04-17 22:00:00,57.2,16
6.382,2019-04-17 23:00:00,66.7,16
4.636,2019-04-18 00:00:00,81.6,16
4.194,2019-04-18 01:00:00,91.7,16
3.696,2019-04-18 02:00:00,93.6,16
3.617,2019-04-18 03:00:00,94.8,16
3.775,2019-04-18 04:00:00,95.5,16
3.749,2019-04-18 05:00:00,95.7,16
4.037,2019-04-18 06:00:00,96.0,16
4.35,2019-04-18 07:00:00,96.0,16
5.565,2019-04-18 08:00:00,95.3,16
6.408,2019-04-18 09:00:00,93.1,16
6.889,2019-04-18 10:00:00,91.1,16
6.255,2019-04-18 11:00:00,92.9,16
7.091,2019-04-18 12:00:00,95.0,16
6.763,2019-04-18 13:00:00,94.8,16
6.889,2019-04-18 14:00:00,95.5,16
6.331,2019-04-18 15:00:00,95.0,16
5.591,2019-04-18 16:00:00,96.1,16
4.844,2019-04-18 17:00:00,97.0,16
4.532,2019-04-18 18:00:00,97.2,16
3.354,2019-04-18 19:00:00,97.2,16
2.85,2019-04-18 20:00:00,97.8,16
2.503,2019-04-18 21:00:00,97.8,16
2.074,2019-04-18 22:00:00,97.8,16
1.534,2019-04-18 23:00:00,98.1,16
0.962,2019-04-19 00:00:00,98.6,16
-0.004,2019-04-19 01:00:00,98.8,16
-0.032,2019-04-19 02:00:00,98.9,16
-0.171,2019-04-19 03:00:00,99.0,16
-0.76,2019-04-19 04:00:00,99.0,16
-0.817,2019-04-19 05:00:00,99.1,16
-0.732,2019-04-19 06:00:00,99.0,16
0.218,2019-04-19 07:00:00,99.2,16
1.994,2019-04-19 08:00:00,99.1,16
3.036,2019-04-19 09:00:00,94.7,16
6.56,2019-04-19 10:00:00,81.8,16
7.97,2019-04-19 11:00:00,60.6,16
8.319,2019-04-19 12:00:00,54.0,16
6.965,2019-04-19 13:00:00,50.1,16
7.92,2019-04-19 14:00:00,48.2,16
8.195,2019-04-19 15:00:00,50.8,16
7.97,2019-04-19 16:00:00,49.2,16
7.041,2019-04-19 17:00:00,57.2,16
3.722,2019-04-19 18:00:00,65.3,16
2.155,2019-04-19 19:00:00,83.8,16
0.934,2019-04-19 20:00:00,87.4,16
-1.185,2019-04-19 21:00:00,91.5,16
0.19,2019-04-19 22:00:00,92.3,16
0.934,2019-04-19 23:00:00,90.0,16
2.477,2019-04-20 00:00:00,65.6,16
-0.62,2019-04-20 01:00:00,64.8,16
-3.094,2019-04-20 02:00:00,79.6,16
-3.301,2019-04-20 03:00:00,84.5,16
-3.926,2019-04-20 04:00:00,88.4,16
-4.56,2019-04-20 05:00:00,91.4,16
-4.197,2019-04-20 06:00:00,92.7,16
-1.384,2019-04-20 07:00:00,92.5,16
1.967,2019-04-20 08:00:00,77.8,16
3.696,2019-04-20 09:00:00,59.6,16
6.153,2019-04-20 10:00:00,49.2,16
8.965,2019-04-20 11:00:00,38.8,16
9.188,2019-04-20 12:00:00,34.3,16
8.792,2019-04-20 13:00:00,31.1,16
9.312,2019-04-20 14:00:00,31.0,16
9.756,2019-04-20 15:00:00,30.2,16
9.756,2019-04-20 16:00:00,28.7,16
9.312,2019-04-20 17:00:00,29.4,16
6.331,2019-04-20 18:00:00,36.0,16
2.236,2019-04-20 19:00:00,60.6,16
-1.071,2019-04-20 20:00:00,68.6,16
-2.479,2019-04-20 21:00:00,76.1,16
-0.227,2019-04-20 22:00:00,76.7,16
0.107,2019-04-20 23:00:00,69.6,16
0.632,2019-04-21 00:00:00,65.6,16
0.907,2019-04-21 01:00:00,62.6,16
0.439,2019-04-21 02:00:00,63.9,16
0.55,2019-04-21 03:00:00,63.8,16
0.384,2019-04-21 04:00:00,64.2,16
0.88,2019-04-21 05:00:00,63.6,16
1.507,2019-04-21 06:00:00,59.5,16
2.664,2019-04-21 07:00:00,56.4,16
4.272,2019-04-21 08:00:00,52.0,16
7.544,2019-04-21 09:00:00,46.1,16
12.775,2019-04-21 10:00:00,36.9,16
12.727,2019-04-21 11:00:00,32.4,16
13.449,2019-04-21 12:00:00,27.8,16
13.666,2019-04-21 13:00:00,28.0,16
13.401,2019-04-21 14:00:00,28.9,16
12.92,2019-04-21 15:00:00,30.6,16
13.112,2019-04-21 16:00:00,32.0,16
13.882,2019-04-21 17:00:00,35.0,16
10.785,2019-04-21 18:00:00,38.0,16
7.091,2019-04-21 19:00:00,52.7,16
3.433,2019-04-21 20:00:00,61.3,16
2.343,2019-04-21 21:00:00,69.0,16
3.538,2019-04-21 22:00:00,71.9,16
5.024,2019-04-21 23:00:00,68.3,16
5.949,2019-04-22 00:00:00,62.7,16
6.611,2019-04-22 01:00:00,62.7,16
5.514,2019-04-22 02:00:00,66.6,16
5.796,2019-04-22 03:00:00,73.5,16
4.194,2019-04-22 04:00:00,84.3,16
4.22,2019-04-22 05:00:00,91.2,16
3.88,2019-04-22 06:00:00,93.1,16
4.272,2019-04-22 07:00:00,93.6,16
4.584,2019-04-22 08:00:00,94.2,16
