pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
0.0, 12.04, 61.57, 18.2, 29.7, 18.08, 14.03, 272.9, 5.0, 14.0, 12.0, 12.0, None, 0.0, 5.0, None, 273.0, 0.0, 62.0,2020-05-20 00:00:00, -6999.0, -7999.0,21
0.0, 10.8, 66.9, 18.2, 23.9, 13.79, 14.04, 266.3, 5.0, 14.0, 10.8, 10.8, None, 0.0, 5.0, None, 266.0, 0.0, 67.0,2020-05-20 01:00:00, -6999.0, -7999.0,21
0.0, 10.51, 69.79, 18.2, 20.0, 17.22, 8.14, 259.6, 5.0, 8.1, 10.5, 10.5, None, 0.0, 5.0, None, 260.0, 0.0, 70.0,2020-05-20 02:00:00, -6999.0, -7999.0,21
0.2, 8.91, 85.8, 18.2, 23.7, 17.58, 10.63, 266.2, 7.0, 10.6, 8.9, 9.0, None, 0.2, 7.0, None, 266.0, 0.0, 86.0,2020-05-20 03:00:00, -6999.0, -7999.0,21
0.6, 8.2, 93.0, 18.2, 19.5, 15.45, 9.63, 273.3, 7.0, 9.6, 8.2, 8.1, None, 0.4, 7.0, None, 273.0, 0.0, 93.0,2020-05-20 04:00:00, -6999.0, -7999.0,21
0.8, 8.05, 93.3, 18.2, 17.0, 18.38, 6.813, 259.0, 7.0, 6.8, 8.1, 8.0, None, 0.2, 7.0, None, 259.0, 0.0, 93.0,2020-05-20 05:00:00, -6999.0, -7999.0,21
0.8, 8.03, 90.4, 18.2, 10.0, 32.15, 3.176, 226.2, 6.0, 3.2, 8.0, 7.8, None, 0.1, 6.0, None, 226.0, 0.0, 90.0,2020-05-20 06:00:00, -6999.0, -7999.0,21
0.8, 8.15, 91.1, 8.3, 13.1, 26.21, 5.232, 244.2, 7.0, 5.2, 8.2, 8.0, None, 0.0, 7.0, None, 244.0, 0.0, 91.0,2020-05-20 07:00:00, -6999.0, -7999.0,21
1.5, 8.32, 94.7, 8.5, 8.1, 31.12, 2.184, 201.9, 7.0, 2.2, 8.3, 8.0, None, 0.7, 7.0, None, 202.0, 0.0, 95.0,2020-05-20 08:00:00, -6999.0, -7999.0,21
2.8, 8.54, 95.8, 8.7, 8.8, 29.65, 2.575, 184.5, 8.0, 2.6, 8.5, 8.0, None, 1.3, 8.0, None, 185.0, 0.0, 96.0,2020-05-20 09:00:00, -6999.0, -7999.0,21
3.9, 9.0, 93.3, 9.1, 9.2, 42.32, 3.144, 199.8, 8.0, 3.1, 9.0, 8.0, None, 1.1, 8.0, None, 200.0, 0.0, 93.0,2020-05-20 10:00:00, -6999.0, -7999.0,21
3.9, 9.35, 92.7, 9.5, 9.3, 40.3, 2.305, 175.1, 9.0, 2.3, 9.4, 8.0, None, 0.0, 9.0, None, 175.0, 0.0, 93.0,2020-05-20 11:00:00, -6999.0, -7999.0,21
5.1, 9.49, 86.3, 9.7, 8.7, 35.85, 3.065, 154.3, 7.0, 3.1, 9.5, 8.0, None, 1.2, 7.0, None, 154.0, 0.0, 86.0,2020-05-20 12:00:00, -6999.0, -7999.0,21
6.2, 9.12, 85.4, 10.0, 11.8, 58.56, 4.167, 108.7, 7.0, 4.2, 9.1, 8.0, None, 1.1, 7.0, None, 109.0, 0.0, 85.0,2020-05-20 13:00:00, -6999.0, -7999.0,21
6.2, 9.86, 81.6, 10.1, 9.2, 31.96, 3.694, 109.1, 7.0, 3.7, 9.9, 8.0, None, 0.0, 7.0, None, 109.0, 0.0, 82.0,2020-05-20 14:00:00, -6999.0, -7999.0,21
6.2, 10.99, 79.66, 11.0, 8.5, 41.7, 3.547, 133.9, 8.0, 3.5, 11.0, 8.0, None, 0.0, 8.0, None, 134.0, 0.0, 80.0,2020-05-20 15:00:00, -6999.0, -7999.0,21
6.2, 11.32, 75.66, 11.3, 8.3, 31.82, 3.064, 146.1, 7.0, 3.1, 11.3, 8.0, None, 0.0, 7.0, None, 146.0, 0.0, 76.0,2020-05-20 16:00:00, -6999.0, -7999.0,21
6.2, 11.88, 68.6, 12.1, 9.7, 27.43, 3.955, 150.8, 6.0, 4.0, 11.9, 8.0, None, 0.0, 6.0, None, 151.0, 0.0, 69.0,2020-05-20 17:00:00, -6999.0, -7999.0,21
6.2, 11.75, 68.49, 12.1, 8.5, 35.29, 3.129, 154.9, 6.0, 3.1, 11.8, 8.0, None, 0.0, 6.0, None, 155.0, 0.0, 68.0,2020-05-20 18:00:00, -6999.0, -7999.0,21
7.1, 10.32, 79.37, 12.2, 10.5, 46.53, 2.99, 143.3, 7.0, 3.0, 10.3, 10.3, None, 0.9, 7.0, None, 143.0, 0.0, 79.0,2020-05-20 19:00:00, -6999.0, -7999.0,21
7.1, 10.34, 68.61, 12.2, 7.6, 29.55, 2.671, 162.5, 5.0, 2.7, 10.3, 10.2, None, 0.0, 5.0, None, 163.0, 0.0, 69.0,2020-05-20 20:00:00, -6999.0, -7999.0,21
7.1, 9.6, 77.91, 12.2, 5.2, 46.64, 2.082, 178.9, 6.0, 2.1, 9.6, 9.5, None, 0.0, 6.0, None, 179.0, 0.0, 78.0,2020-05-20 21:00:00, -6999.0, -7999.0,21
7.1, 8.85, 55.04, 12.2, 21.7, 30.67, 7.59, 253.6, 0.0, 7.6, 8.9, 8.8, None, 0.0, 0.0, None, 254.0, 0.0, 55.0,2020-05-20 22:00:00, -6999.0, -7999.0,21
7.1, 7.677, 55.69, 12.2, 31.1, 14.05, 14.52, 269.1, 0.0, 14.5, 7.7, 7.6, None, 0.0, 0.0, None, 269.0, 0.0, 56.0,2020-05-20 23:00:00, -6999.0, -7999.0,21
7.1, 6.431, 61.93, 12.2, 24.7, 13.46, 15.25, 266.4, -1.0, 15.3, 6.4, 6.5, None, 0.0, -1.0, None, 266.0, 0.0, 62.0,2020-05-21 00:00:00, -6999.0, -7999.0,21
7.1, 5.228, 67.44, 12.2, 21.7, 17.33, 9.72, 256.7, 0.0, 9.7, 5.2, 5.2, None, 0.0, 0.0, None, 257.0, 0.0, 67.0,2020-05-21 01:00:00, -6999.0, -7999.0,21
7.1, 4.758, 70.64, 12.2, 16.7, 23.08, 6.65, 244.4, 0.0, 6.7, 4.8, 4.7, None, 0.0, 0.0, None, 244.0, 0.0, 71.0,2020-05-21 02:00:00, -6999.0, -7999.0,21
6.9, 4.586, 73.6, 12.2, 28.8, 11.89, 16.71, 260.5, 1.0, 16.7, 4.6, 4.6, None, 0.0, 1.0, None, 261.0, 0.0, 74.0,2020-05-21 03:00:00, -6999.0, -7999.0,21
6.5, 3.992, 75.02, 12.2, 31.1, 11.66, 16.64, 260.0, 0.0, 16.6, 4.0, 3.9, None, 0.0, 0.0, None, 260.0, 0.0, 75.0,2020-05-21 04:00:00, -6999.0, -7999.0,21
