pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None,7.738,64.68, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 08:00:00, None,21
None,8.36,61.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 09:00:00, None,21
None,8.49,62.23, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 10:00:00, None,21
None,9.18,61.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 11:00:00, None,21
None,10.28,56.74, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 12:00:00, None,21
None,10.05,57.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 13:00:00, None,21
None,10.89,53.54, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 14:00:00, None,21
None,11.37,53.25, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 15:00:00, None,21
None,12.82,48.84, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 16:00:00, None,21
None,12.64,50.19, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 17:00:00, None,21
None,12.76,52.98, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 18:00:00, None,21
None,9.14,80.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 19:00:00, None,21
None,9.96,76.62, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 20:00:00, None,21
None,9.19,80.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 21:00:00, None,21
None,8.62,82.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 22:00:00, None,21
None,8.15,87.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-22 23:00:00, None,21
None,8.01,88.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 00:00:00, None,21
None,7.612,84.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 01:00:00, None,21
None,7.212,88.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 02:00:00, None,21
None,6.767,92.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 03:00:00, None,21
None,6.344,87.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 04:00:00, None,21
None,6.221,91.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 05:00:00, None,21
None,6.327,91.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 06:00:00, None,21
None,7.208,85.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 07:00:00, None,21
None,7.674,81.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 08:00:00, None,21
None,10.34,77.09, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 09:00:00, None,21
None,11.94,50.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 10:00:00, None,21
None,11.67,56.59, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 11:00:00, None,21
None,13.9,48.63, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 12:00:00, None,21
None,14.84,43.95, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 13:00:00, None,21
None,13.9,48.27, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 14:00:00, None,21
None,14.9,43.78, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 15:00:00, None,21
None,16.4,40.41, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 16:00:00, None,21
None,17.43,37.04, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 17:00:00, None,21
None,16.73,37.79, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 18:00:00, None,21
None,15.53,42.56, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 19:00:00, None,21
None,14.7,43.54, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 20:00:00, None,21
None,12.8,45.79, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 21:00:00, None,21
None,11.87,47.28, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 22:00:00, None,21
None,10.88,49.45, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-23 23:00:00, None,21
None,9.98,59.18, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 00:00:00, None,21
None,8.98,61.57, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 01:00:00, None,21
None,8.46,63.73, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 02:00:00, None,21
None,7.972,65.43, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 03:00:00, None,21
None,7.403,67.49, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 04:00:00, None,21
None,6.8,69.59, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 05:00:00, None,21
None,6.803,71.67, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 06:00:00, None,21
None,6.735,73.09, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 07:00:00, None,21
None,8.39,67.22, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-05-24 08:00:00, None,21
