AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
-5.0, None, None, 281.3,2023-02-12 00:00:00, 91.0, None,7
-4.8, None, None, 281.3,2023-02-12 01:00:00, 91.0, None,7
-4.5, None, None, 281.3,2023-02-12 02:00:00, 91.0, None,7
-3.7, None, None, 281.3,2023-02-12 03:00:00, 91.0, None,7
-5.2, None, None, 281.3,2023-02-12 04:00:00, 90.0, None,7
-4.0, None, None, 281.3,2023-02-12 05:00:00, 91.0, None,7
-2.7, None, None, 281.3,2023-02-12 06:00:00, 91.0, None,7
-1.9, None, None, 281.3,2023-02-12 07:00:00, 90.0, None,7
-2.5, None, None, 282.3,2023-02-12 08:00:00, 89.0, None,7
-2.8, None, None, 282.3,2023-02-12 09:00:00, 91.0, None,7
-2.1, None, None, 283.4,2023-02-12 10:00:00, 92.0, None,7
-2.8, None, None, 283.4,2023-02-12 11:00:00, 92.0, None,7
-2.4, None, None, 283.4,2023-02-12 12:00:00, 91.0, None,7
-2.2, None, None, 283.4,2023-02-12 13:00:00, 92.0, None,7
-3.1, None, None, 283.4,2023-02-12 14:00:00, 92.0, None,7
-2.2, None, None, 283.4,2023-02-12 15:00:00, 91.0, None,7
-1.4, None, None, 283.4,2023-02-12 16:00:00, 91.0, None,7
-1.9, None, None, 283.4,2023-02-12 17:00:00, 91.0, None,7
-1.9, None, None, 283.4,2023-02-12 18:00:00, 91.0, None,7
-2.7, None, None, 283.4,2023-02-12 19:00:00, 91.0, None,7
-3.3, None, None, 283.4,2023-02-12 20:00:00, 92.0, None,7
-3.8, None, None, 284.4,2023-02-12 21:00:00, 92.0, None,7
-4.3, None, None, 285.5,2023-02-12 22:00:00, 93.0, None,7
-4.3, None, None, 285.5,2023-02-12 23:00:00, 93.0, None,7
-4.1, None, None, 285.5,2023-02-13 00:00:00, 92.0, None,7
-3.9, None, None, 285.5,2023-02-13 01:00:00, 92.0, None,7
-3.9, None, None, 285.5,2023-02-13 02:00:00, 93.0, None,7
-0.3, None, None, 286.5,2023-02-13 03:00:00, 93.0, None,7
-1.3, None, None, 285.5,2023-02-13 04:00:00, 93.0, None,7
-2.5, None, None, 284.4,2023-02-13 05:00:00, 91.0, None,7
-3.5, None, None, 283.4,2023-02-13 06:00:00, 91.0, None,7
-3.9, None, None, 283.4,2023-02-13 07:00:00, 91.0, None,7
-4.5, None, None, 282.3,2023-02-13 08:00:00, 91.0, None,7
-4.6, None, None, 283.4,2023-02-13 09:00:00, 91.0, None,7
-4.1, None, None, 282.3,2023-02-13 10:00:00, 90.0, None,7
-3.8, None, None, 283.4,2023-02-13 11:00:00, 90.0, None,7
-3.0, None, None, 282.3,2023-02-13 12:00:00, 90.0, None,7
-2.4, None, None, 282.3,2023-02-13 13:00:00, 90.0, None,7
-3.1, None, None, 282.3,2023-02-13 14:00:00, 90.0, None,7
-2.7, None, None, 282.3,2023-02-13 15:00:00, 90.0, None,7
-2.8, None, None, 282.3,2023-02-13 16:00:00, 90.0, None,7
-2.5, None, None, 282.3,2023-02-13 17:00:00, 90.0, None,7
-3.1, None, None, 282.3,2023-02-13 18:00:00, 90.0, None,7
-3.7, None, None, 282.3,2023-02-13 19:00:00, 90.0, None,7
-5.1, None, None, 282.3,2023-02-13 20:00:00, 90.0, None,7
-5.5, None, None, 282.3,2023-02-13 21:00:00, 90.0, None,7
-5.4, None, None, 282.3,2023-02-13 22:00:00, 89.0, None,7
-6.2, None, None, 282.3,2023-02-13 23:00:00, 90.0, None,7
-5.8, None, None, 282.3,2023-02-14 00:00:00, 90.0, None,7
-6.2, None, None, 283.4,2023-02-14 01:00:00, 89.0, None,7
-6.2, None, None, 282.3,2023-02-14 02:00:00, 90.0, None,7
-6.4, None, None, 282.3,2023-02-14 03:00:00, 89.0, None,7
-6.4, None, None, 283.4,2023-02-14 04:00:00, 89.0, None,7
-6.0, None, None, 283.4,2023-02-14 05:00:00, 92.0, None,7
-5.3, None, None, 283.4,2023-02-14 06:00:00, 87.0, None,7
-5.7, None, None, 284.4,2023-02-14 07:00:00, None, None,7
-6.2, None, None, 284.4,2023-02-14 08:00:00, 93.0, None,7
-6.5, None, None, 284.4,2023-02-14 09:00:00, None, None,7
-6.5, None, None, 284.4,2023-02-14 10:00:00, 93.0, None,7
-6.6, None, None, 284.4,2023-02-14 11:00:00, 90.0, None,7
-6.4, None, None, 284.4,2023-02-14 12:00:00, 89.0, None,7
-5.8, None, None, 283.4,2023-02-14 13:00:00, 88.0, None,7
-5.9, None, None, 283.4,2023-02-14 14:00:00, 89.0, None,7
-5.2, None, None, 283.4,2023-02-14 15:00:00, 94.0, None,7
-4.5, None, None, 284.4,2023-02-14 16:00:00, 95.0, None,7
-4.3, None, None, 283.4,2023-02-14 17:00:00, 93.0, None,7
-4.2, None, None, 283.4,2023-02-14 18:00:00, 92.0, None,7
-6.9, None, None, 283.4,2023-02-14 19:00:00, 92.0, None,7
