CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,PRECIP_DETECTOR_RATIO,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None, 1.445, 81.3, None, None, None, 10.43, 6.327, None, 266.6, -1.0, None, 1.4, 1.3, 0.0, -1.0, None, None, 5.6, None, None, 81.0, None,2021-05-14 00:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 1.547, 79.7, None, None, None, 17.22, 4.806, None, 285.0, -2.0, None, 1.5, 1.2, 0.0, -2.0, None, None, 5.6, None, None, 80.0, None,2021-05-14 01:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 0.601, 87.3, None, None, None, 38.07, 1.119, None, 2.202, -1.0, None, 0.6, 0.2, 0.0, -1.0, None, None, 5.6, None, None, 87.0, None,2021-05-14 02:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 2.045, 75.2, None, None, None, 9.19, 4.286, None, 82.4, -2.0, None, 2.0, 0.2, 0.0, -2.0, None, None, 5.6, None, None, 75.0, None,2021-05-14 03:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 1.134, 80.6, None, None, None, 14.7, 3.348, None, 66.94, -2.0, None, 1.1, 0.2, 0.0, -2.0, None, None, 5.6, None, None, 81.0, None,2021-05-14 04:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 1.278, 78.6, None, None, None, 6.165, 3.918, None, 63.38, -2.0, None, 1.3, 0.2, 0.0, -2.0, None, None, 5.6, None, None, 79.0, None,2021-05-14 05:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 1.182, 82.1, None, None, None, 8.35, 3.502, None, 20.59, -2.0, None, 1.2, 0.2, 0.0, -2.0, None, None, 5.6, None, None, 82.0, None,2021-05-14 06:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 2.332, 74.9, None, None, None, 9.69, 3.117, None, 16.63, -2.0, None, 2.3, 1.2, 0.0, -2.0, None, None, 2.4, None, None, 75.0, None,2021-05-14 07:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 2.715, 76.4, None, None, None, 13.43, 4.586, None, 110.3, -1.0, None, 2.7, 1.2, 0.0, -1.0, None, None, 2.8, None, None, 76.0, None,2021-05-14 08:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 3.434, 73.3, None, None, None, 15.75, 10.05, None, 141.5, -1.0, None, 3.4, 1.2, 0.0, -1.0, None, None, 3.5, None, None, 73.0, None,2021-05-14 09:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 4.677, 67.03, None, None, None, 23.89, 7.57, None, 162.0, -1.0, None, 4.7, 1.2, 0.0, -1.0, None, None, 4.7, None, None, 67.0, None,2021-05-14 10:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 5.66, 62.13, None, None, None, 17.71, 9.32, None, 165.6, -1.0, None, 5.7, 1.2, 0.0, -1.0, None, None, 5.7, None, None, 62.0, None,2021-05-14 11:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 5.882, 62.65, None, None, None, 24.38, 6.876, None, 186.7, -1.0, None, 5.9, 1.2, 0.0, -1.0, None, None, 6.9, None, None, 63.0, None,2021-05-14 12:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 5.442, 62.64, None, None, None, 20.85, 8.97, None, 229.5, -1.0, None, 5.4, 1.2, 0.0, -1.0, None, None, 6.9, None, None, 63.0, None,2021-05-14 13:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 6.591, 52.87, None, None, None, 17.72, 11.15, None, 246.2, -2.0, None, 6.6, 1.2, 0.0, -2.0, None, None, 6.9, None, None, 53.0, None,2021-05-14 14:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 6.878, 45.11, None, None, None, 16.56, 12.93, None, 249.6, -4.0, None, 6.9, 1.2, 0.0, -4.0, None, None, 6.9, None, None, 45.0, None,2021-05-14 15:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 7.35, 46.57, None, None, None, 22.11, 10.66, None, 252.1, -3.0, None, 7.4, 1.2, 0.0, -3.0, None, None, 8.0, None, None, 47.0, None,2021-05-14 16:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 6.136, 51.58, None, None, None, 23.09, 11.94, None, 251.2, -3.0, None, 6.1, 1.2, 0.0, -3.0, None, None, 8.0, None, None, 52.0, None,2021-05-14 17:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 5.416, 57.2, None, None, None, 13.96, 16.15, None, 267.5, -2.0, None, 5.4, 1.2, 0.0, -2.0, None, None, 8.0, None, None, 57.0, None,2021-05-14 18:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 5.463, 44.82, None, None, None, 10.3, 21.45, None, 260.1, -6.0, None, 5.5, 5.2, 0.0, -6.0, None, None, 5.8, None, None, 45.0, None,2021-05-14 19:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 4.65, 50.31, None, None, None, 7.58, 20.41, None, 261.1, -5.0, None, 4.7, 4.7, 0.0, -5.0, None, None, 5.8, None, None, 50.0, None,2021-05-14 20:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 3.508, 52.39, None, None, None, 9.61, 19.0, None, 258.0, -5.0, None, 3.5, 3.5, 0.0, -5.0, None, None, 5.8, None, None, 52.0, None,2021-05-14 21:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 3.048, 54.21, None, None, None, 9.24, 14.08, None, 259.7, -5.0, None, 3.0, 3.0, 0.0, -5.0, None, None, 5.8, None, None, 54.0, None,2021-05-14 22:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 2.863, 52.94, None, None, None, 8.57, 13.85, None, 256.9, -6.0, None, 2.9, 2.9, 0.0, -6.0, None, None, 5.8, None, None, 53.0, None,2021-05-14 23:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 2.69, 56.7, None, None, None, 7.13, 10.25, None, 265.4, -5.0, None, 2.7, 2.5, 0.0, -5.0, None, None, 5.8, None, None, 57.0, None,2021-05-15 00:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 2.403, 54.83, None, None, None, 13.5, 6.556, None, 295.5, -6.0, None, 2.4, 2.4, 0.0, -6.0, None, None, 5.8, None, None, 55.0, None,2021-05-15 01:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 2.797, 51.09, None, None, None, 53.77, 1.764, None, 22.05, -6.0, None, 2.8, 1.6, 0.0, -6.0, None, None, 5.8, None, None, 51.0, None,2021-05-15 02:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 2.663, 53.1, None, None, None, 39.83, 3.875, None, 351.9, -6.0, None, 2.7, 1.6, 0.0, -6.0, None, None, 5.8, None, None, 53.0, None,2021-05-15 03:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 2.763, 54.91, None, None, None, 21.05, 8.56, None, 5.522, -5.0, None, 2.8, 1.6, 0.0, -5.0, None, None, 5.8, None, None, 55.0, None,2021-05-15 04:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 2.811, 56.39, None, None, None, 12.59, 11.07, None, 31.46, -5.0, None, 2.8, 1.6, 0.0, -5.0, None, None, 5.8, None, None, 56.0, None,2021-05-15 05:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 3.003, 56.65, None, None, None, 9.84, 8.97, None, 40.17, -5.0, None, 3.0, 1.6, 0.0, -5.0, None, None, 5.8, None, None, 57.0, None,2021-05-15 06:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 4.201, 51.9, None, None, None, 20.37, 2.888, None, 129.1, -5.0, None, 4.2, 3.0, 0.0, -5.0, None, None, 4.2, None, None, 52.0, None,2021-05-15 07:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 4.584, 51.16, None, None, None, 14.28, 4.611, None, 177.8, -5.0, None, 4.6, 3.0, 0.0, -5.0, None, None, 5.2, None, None, 51.0, None,2021-05-15 08:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 5.005, 51.83, None, None, None, 18.0, 8.76, None, 166.7, -4.0, None, 5.0, 3.0, 0.0, -4.0, None, None, 5.2, None, None, 52.0, None,2021-05-15 09:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 6.092, 50.81, None, None, None, 18.87, 10.16, None, 169.0, -3.0, None, 6.1, 3.0, 0.0, -3.0, None, None, 6.1, None, None, 51.0, None,2021-05-15 10:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 7.1, 47.53, None, None, None, 22.49, 9.38, None, 187.2, -3.0, None, 7.1, 3.0, 0.0, -3.0, None, None, 7.1, None, None, 48.0, None,2021-05-15 11:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 8.08, 47.58, None, None, None, 29.18, 4.809, None, 204.2, -2.0, None, 8.1, 3.0, 0.0, -2.0, None, None, 8.6, None, None, 48.0, None,2021-05-15 12:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 7.88, 46.44, None, None, None, 19.22, 7.27, None, 240.5, -3.0, None, 7.9, 3.0, 0.0, -3.0, None, None, 8.6, None, None, 46.0, None,2021-05-15 13:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 9.07, 42.63, None, None, None, 21.69, 7.97, None, 245.4, -3.0, None, 9.1, 3.0, 0.0, -3.0, None, None, 9.1, None, None, 43.0, None,2021-05-15 14:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 8.96, 40.41, None, None, None, 20.79, 9.69, None, 252.4, -4.0, None, 9.0, 3.0, 0.0, -4.0, None, None, 9.2, None, None, 40.0, None,2021-05-15 15:00:00, -6999.0, None, -6999.0, -6999.0,20
None, 8.62, 42.62, None, None, None, 14.76, 12.89, None, 262.4, -3.0, None, 8.6, 3.0, 0.0, -3.0, None, None, 9.2, None, None, 43.0, None,2021-05-15 16:00:00, -6999.0, None, -6999.0, -6999.0,20
