RelativeHumidity,AirTemperature,time,Rain,week_of_year
96.0,10.6,2019-07-02 00:00:00,0.0,27
97.0,10.5,2019-07-02 00:15:00,0.0,27
98.0,10.5,2019-07-02 00:30:00,0.0,27
98.0,10.5,2019-07-02 00:45:00,0.0,27
98.0,10.5,2019-07-02 01:00:00,0.0,27
98.0,10.5,2019-07-02 01:15:00,0.0,27
99.0,10.4,2019-07-02 01:30:00,0.0,27
99.0,10.4,2019-07-02 01:45:00,0.0,27
99.0,10.4,2019-07-02 02:00:00,0.0,27
98.0,10.5,2019-07-02 02:15:00,0.0,27
98.0,10.4,2019-07-02 02:30:00,0.0,27
99.0,10.4,2019-07-02 02:45:00,0.0,27
99.0,10.4,2019-07-02 03:00:00,0.0,27
99.0,10.4,2019-07-02 03:15:00,0.0,27
99.0,10.3,2019-07-02 03:30:00,0.0,27
99.0,10.3,2019-07-02 03:45:00,0.0,27
99.0,10.3,2019-07-02 04:00:00,0.0,27
99.0,10.3,2019-07-02 04:15:00,0.0,27
99.0,10.3,2019-07-02 04:30:00,0.0,27
99.0,10.4,2019-07-02 04:45:00,0.0,27
99.0,10.4,2019-07-02 05:00:00,0.0,27
99.0,10.5,2019-07-02 05:15:00,0.0,27
99.0,10.6,2019-07-02 05:30:00,0.0,27
99.0,10.7,2019-07-02 05:45:00,0.0,27
99.0,10.7,2019-07-02 06:00:00,0.0,27
99.0,10.8,2019-07-02 06:15:00,0.0,27
99.0,10.8,2019-07-02 06:30:00,0.0,27
98.0,10.8,2019-07-02 06:45:00,0.0,27
98.0,10.9,2019-07-02 07:00:00,0.0,27
98.0,11.0,2019-07-02 07:15:00,0.0,27
98.0,11.0,2019-07-02 07:30:00,0.0,27
98.0,11.1,2019-07-02 07:45:00,0.0,27
98.0,11.0,2019-07-02 08:00:00,0.0,27
99.0,10.9,2019-07-02 08:15:00,0.508,27
99.0,10.9,2019-07-02 08:30:00,0.508,27
99.0,10.9,2019-07-02 08:45:00,0.508,27
99.0,10.9,2019-07-02 09:00:00,0.508,27
99.0,10.9,2019-07-02 09:15:00,0.254,27
99.0,10.9,2019-07-02 09:30:00,1.271,27
99.0,10.8,2019-07-02 09:45:00,1.016,27
99.0,11.0,2019-07-02 10:00:00,0.508,27
100.0,11.0,2019-07-02 10:15:00,0.763,27
100.0,11.2,2019-07-02 10:30:00,0.508,27
99.0,11.2,2019-07-02 10:45:00,0.254,27
99.0,11.3,2019-07-02 11:00:00,0.254,27
99.0,11.5,2019-07-02 11:15:00,0.0,27
99.0,11.6,2019-07-02 11:30:00,0.0,27
99.0,11.8,2019-07-02 11:45:00,0.0,27
99.0,12.0,2019-07-02 12:00:00,0.0,27
100.0,12.3,2019-07-02 12:15:00,0.0,27
99.0,12.4,2019-07-02 12:30:00,0.0,27
99.0,12.4,2019-07-02 12:45:00,0.0,27
99.0,12.6,2019-07-02 13:00:00,0.0,27
99.0,12.6,2019-07-02 13:15:00,0.0,27
99.0,12.9,2019-07-02 13:30:00,0.0,27
99.0,13.0,2019-07-02 13:45:00,0.0,27
99.0,13.2,2019-07-02 14:00:00,0.0,27
99.0,13.1,2019-07-02 14:15:00,0.0,27
99.0,13.3,2019-07-02 14:30:00,0.0,27
99.0,13.3,2019-07-02 14:45:00,0.0,27
99.0,13.5,2019-07-02 15:00:00,0.0,27
98.0,13.1,2019-07-02 15:15:00,0.0,27
98.0,12.8,2019-07-02 15:30:00,0.0,27
99.0,12.8,2019-07-02 15:45:00,0.0,27
98.0,12.6,2019-07-02 16:00:00,0.0,27
98.0,12.8,2019-07-02 16:15:00,0.0,27
98.0,12.5,2019-07-02 16:30:00,0.0,27
98.0,12.3,2019-07-02 16:45:00,0.0,27
98.0,12.2,2019-07-02 17:00:00,0.0,27
98.0,12.4,2019-07-02 17:15:00,0.0,27
97.0,12.4,2019-07-02 17:30:00,0.0,27
95.0,12.3,2019-07-02 17:45:00,0.0,27
93.0,12.8,2019-07-02 18:00:00,0.0,27
93.0,12.9,2019-07-02 18:15:00,0.0,27
94.0,12.4,2019-07-02 18:30:00,0.0,27
95.0,12.2,2019-07-02 18:45:00,0.0,27
94.0,12.1,2019-07-02 19:00:00,0.0,27
93.0,12.0,2019-07-02 19:15:00,0.0,27
94.0,12.0,2019-07-02 19:30:00,0.0,27
95.0,12.0,2019-07-02 19:45:00,0.0,27
94.0,11.9,2019-07-02 20:00:00,0.0,27
93.0,11.9,2019-07-02 20:15:00,0.0,27
93.0,11.9,2019-07-02 20:30:00,0.0,27
92.0,11.9,2019-07-02 20:45:00,0.0,27
92.0,12.0,2019-07-02 21:00:00,0.0,27
92.0,12.1,2019-07-02 21:15:00,0.0,27
91.0,12.3,2019-07-02 21:30:00,0.0,27
92.0,12.3,2019-07-02 21:45:00,0.0,27
94.0,11.8,2019-07-02 22:00:00,0.0,27
94.0,11.7,2019-07-02 22:15:00,0.0,27
94.0,11.5,2019-07-02 22:30:00,0.0,27
95.0,11.3,2019-07-02 22:45:00,0.0,27
97.0,10.9,2019-07-02 23:00:00,0.0,27
97.0,11.0,2019-07-02 23:15:00,0.0,27
95.0,11.3,2019-07-02 23:30:00,0.0,27
95.0,11.3,2019-07-02 23:45:00,0.0,27
95.0,11.1,2019-07-03 00:00:00,0.0,27
94.0,11.0,2019-07-03 00:15:00,0.0,27
95.0,10.9,2019-07-03 00:30:00,0.0,27
95.0,11.0,2019-07-03 00:45:00,0.0,27
93.0,11.3,2019-07-03 01:00:00,0.0,27
91.0,11.6,2019-07-03 01:15:00,0.0,27
92.0,11.6,2019-07-03 01:30:00,0.0,27
92.0,11.7,2019-07-03 01:45:00,0.0,27
91.0,11.7,2019-07-03 02:00:00,0.0,27
88.0,12.1,2019-07-03 02:15:00,0.0,27
90.0,12.0,2019-07-03 02:30:00,0.0,27
92.0,11.7,2019-07-03 02:45:00,0.0,27
91.0,11.8,2019-07-03 03:00:00,0.0,27
92.0,11.7,2019-07-03 03:15:00,0.0,27
90.0,12.0,2019-07-03 03:30:00,0.0,27
89.0,12.1,2019-07-03 03:45:00,0.0,27
90.0,12.3,2019-07-03 04:00:00,0.0,27
90.0,12.1,2019-07-03 04:15:00,0.0,27
90.0,12.1,2019-07-03 04:30:00,0.0,27
91.0,12.1,2019-07-03 04:45:00,0.0,27
92.0,12.0,2019-07-03 05:00:00,0.0,27
92.0,12.1,2019-07-03 05:15:00,0.0,27
92.0,12.0,2019-07-03 05:30:00,0.0,27
92.0,12.2,2019-07-03 05:45:00,0.0,27
96.0,11.5,2019-07-03 06:00:00,0.0,27
97.0,11.3,2019-07-03 06:15:00,0.0,27
97.0,11.2,2019-07-03 06:30:00,0.0,27
96.0,11.4,2019-07-03 06:45:00,0.0,27
97.0,11.6,2019-07-03 07:00:00,0.0,27
94.0,11.9,2019-07-03 07:15:00,0.0,27
95.0,12.1,2019-07-03 07:30:00,0.0,27
