ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
0.6,0.6,4.5,0.0,2017-05-14,0.0,15.0,20,,,,,,,,,,,,,,,,,,
7.6,7.6,4.0,0.0,2017-05-15,0.0,14.5,20,,,,,,,,,,,,,,,,,,
4.2,4.2,5.5,0.0,2017-05-16,0.0,13.5,20,,,,,,,,,,,,,,,,,,
1.2,1.2,4.0,0.0,2017-05-17,0.0,20.5,20,,,,,,,,,,,,,,,,,,
0.0,0.0,3.5,0.0,2017-05-18,0.0,21.5,20,,,,,,,,,,,,,,,,,,
0.0,0.0,7.0,0.0,2017-05-19,0.0,23.5,20,,,,,,,,,,,,,,,,,,
0.0,0.0,12.0,0.0,2017-05-20,0.0,25.0,20,,,,,,,,,,,,,,,,,,
,,,,2017-05-14 00:00:00,,,20,251.0, None, None,2.0, None,4.1, None,5.1, None, None, None,95.0,,,,,,
,,,,2017-05-14 01:00:00,,,20,45.0, None, None,3.8, None,1.4, None,4.6, None, None, None,97.0,,,,,,
,,,,2017-05-14 02:00:00,,,20,273.0, None, None,1.2, None,0.0, None,4.6, None, None, None,97.0,,,,,,
,,,,2017-05-14 03:00:00,,,20,208.0, None, None,0.2, None,1.3, None,4.8, None, None, None,98.0,,,,,,
,,,,2017-05-14 04:00:00,,,20,124.0, None, None,0.0, None,1.4, None,4.6, None, None, None,99.0,,,,,,
,,,,2017-05-14 05:00:00,,,20,59.0, None, None,0.0, None,2.1, None,4.3, None, None, None,98.0,,,,,,
,,,,2017-05-14 06:00:00,,,20,227.0, None, None,0.0, None,3.1, None,5.0, None, None, None,97.0,,,,,,
,,,,2017-05-14 07:00:00,,,20,211.0, None, None,0.0, None,7.2, None,5.8, None, None, None,97.0,,,,,,
,,,,2017-05-14 08:00:00,,,20,224.0, None, None,0.0, None,9.8, None,6.9, None, None, None,86.0,,,,,,
,,,,2017-05-14 09:00:00,,,20,219.0, None, None,0.0, None,13.3, None,8.9, None, None, None,72.0,,,,,,
,,,,2017-05-14 10:00:00,,,20,208.0, None, None,0.0, None,11.0, None,11.7, None, None, None,57.0,,,,,,
,,,,2017-05-14 11:00:00,,,20,193.0, None, None,0.0, None,12.1, None,12.9, None, None, None,54.0,,,,,,
,,,,2017-05-14 12:00:00,,,20,211.0, None, None,0.0, None,12.4, None,13.2, None, None, None,46.0,,,,,,
