wind_speed,mean_sea_level,dew_point,wind_direction,relative_humidity,air_temperature,time,air_temperature_yesterday_low,total_precipitation,wind_gust_speed,air_temperature_yesterday_high,tendency_amount,week_of_year
15.0, 101.3, 6.3, 292.5, 65.0, 12.8,2017-10-08 00:00:00, None, None, None, None, 0.0,41
4.0, 101.3, 6.6, 337.5, 71.0, 11.8,2017-10-08 01:00:00, None, None, None, None, 0.0,41
10.0, 101.3, 7.7, 292.5, 82.0, 10.7,2017-10-08 02:00:00, None, None, None, None, 0.02,41
20.0, 101.3, 7.1, 315.0, 75.0, 11.5,2017-10-08 03:00:00, None, None, None, None, 0.02,41
16.0, 101.3, 7.7, 270.0, 76.0, 11.8,2017-10-08 04:00:00, None, None, None, None, 0.07,41
2.0, 101.4, 7.3, 337.5, 78.0, 11.0,2017-10-08 05:00:00, None, None, None, None, 0.1,41
3.0, 101.4, 7.4, 292.5, 77.0, 11.4,2017-10-08 06:00:00, None, None, None, None, 0.14,41
4.0, 101.5, 6.4, 67.5, 80.0, 9.7,2017-10-08 07:00:00, None, None, None, None, 0.16,41
2.0, 101.5, 6.4, 247.5, 79.0, 9.9,2017-10-08 08:00:00, None, None, None, None, 0.16,41
7.0, 101.6, 6.7, 90.0, 84.0, 9.4,2017-10-08 09:00:00, None, None, None, None, 0.21,41
1.0, 101.7, 6.3, 270.0, 84.0, 8.9,2017-10-08 10:00:00, None, None, None, None, 0.24,41
4.0, 101.8, 6.2, 90.0, 84.0, 8.8,2017-10-08 11:00:00, None, None, None, None, 0.23,41
2.0, 101.9, 6.2, 337.5, 82.0, 9.1,2017-10-08 12:00:00, None, None, None, None, 0.22,41
6.0, 102.0, 6.4, 90.0, 87.0, 8.4,2017-10-08 13:00:00, None, None, None, None, 0.24,41
2.0, 102.1, 6.3, 45.0, 87.0, 8.2,2017-10-08 14:00:00, None, None, None, None, 0.32,41
0.0, 102.2, 6.8, None, 82.0, 9.6,2017-10-08 15:00:00, None, None, None, None, 0.34,41
6.0, 102.3, 7.0, 90.0, 80.0, 10.3,2017-10-08 16:00:00, None, None, None, None, 0.37,41
8.0, 102.4, 6.7, 112.5, 77.0, 10.4,2017-10-08 17:00:00, None, None, None, None, 0.27,41
13.0, 102.4, 5.6, 292.5, 69.0, 11.2,2017-10-08 18:00:00, None, None, None, None, 0.23,41
20.0, 102.5, 5.8, 292.5, 72.0, 10.6,2017-10-08 19:00:00, None, None, None, None, 0.15,41
15.0, 102.5, 7.1, 270.0, 76.0, 11.3,2017-10-08 20:00:00, None, None, None, None, 0.14,41
11.0, 102.5, 7.2, 270.0, 75.0, 11.5,2017-10-08 21:00:00, None, None, None, None, 0.07,41
4.0, 102.5, 7.2, 247.5, 69.0, 12.6,2017-10-08 22:00:00, None, None, None, None, 0.02,41
5.0, 102.6, 7.4, 247.5, 70.0, 12.7,2017-10-08 23:00:00, None, 0.0, None, None, 0.05,41
6.0, 102.5, 7.3, 247.5, 71.0, 12.4,2017-10-09 00:00:00, None, None, None, None, 0.04,41
5.0, 102.6, 7.7, 247.5, 75.0, 12.0,2017-10-09 01:00:00, None, None, None, None, 0.05,41
1.0, 102.6, 7.6, 22.5, 80.0, 11.0,2017-10-09 02:00:00, None, None, None, None, 0.0,41
3.0, 102.6, 7.8, 67.5, 80.0, 11.2,2017-10-09 03:00:00, None, None, None, None, 0.06,41
2.0, 102.6, 7.7, 67.5, 81.0, 10.8,2017-10-09 04:00:00, None, None, None, None, 0.05,41
7.0, 102.6, 7.5, 112.5, 82.0, 10.4,2017-10-09 05:00:00, None, None, None, None, 0.07,41
2.0, 102.7, 6.4, 45.0, 79.0, 9.9,2017-10-09 06:00:00, 8.1, 0.0, None, 13.1, 0.07,41
9.0, 102.7, 6.1, 90.0, 79.0, 9.6,2017-10-09 07:00:00, None, None, None, None, 0.05,41
1.0, 102.7, 6.2, 90.0, 83.0, 9.0,2017-10-09 08:00:00, None, None, None, None, 0.06,41
3.0, 102.7, 6.3, 67.5, 83.0, 9.1,2017-10-09 09:00:00, None, None, None, None, 0.02,41
5.0, 102.7, 5.9, 90.0, 83.0, 8.5,2017-10-09 10:00:00, None, None, None, None, -0.01,41
4.0, 102.6, 5.8, 90.0, 84.0, 8.4,2017-10-09 11:00:00, None, None, None, None, -0.05,41
6.0, 102.6, 5.7, 67.5, 84.0, 8.3,2017-10-09 12:00:00, None, None, None, None, -0.05,41
