station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, None, 4.834, 101.2, None, -10.3, None, None, None, None, None, 114.0, None, 113.7, None, None, -9.98, None, -9.9, None, None, 24.81, None, -10.0, None, 1.8, 1.0, 2022-01-01 00:00:00, 450.0
None, None, None, None, 4.288, 92.7, None, -10.3, None, None, None, None, None, 115.0, None, 114.5, None, None, -9.79, None, -9.8, None, None, 24.51, None, -9.8, None, 1.8, 1.0, 2022-01-01 01:00:00, 450.0
None, None, None, None, 2.732, 79.1, None, -10.3, None, None, None, None, None, 119.0, None, 118.7, None, None, -9.62, None, -9.6, None, None, 30.4, None, -9.6, None, 2.5, 4.0, 2022-01-01 02:00:00, 450.0
None, None, None, None, 1.814, 33.88, None, -10.3, None, None, None, None, None, 120.0, None, 120.4, None, None, -9.54, None, -9.5, None, None, 44.57, None, -9.5, None, 2.3, 2.0, 2022-01-01 03:00:00, 450.0
None, None, None, None, 1.654, 5.317, None, -10.3, None, None, None, None, None, 123.0, None, 122.8, None, None, -9.46, None, -9.3, None, None, 30.41, None, -9.5, None, 2.8, 2.0, 2022-01-01 04:00:00, 450.0
None, None, None, None, 1.46, 353.3, None, -10.3, None, None, None, None, None, 129.0, None, 128.6, None, None, -9.42, None, -9.3, None, None, 30.3, None, -9.4, None, 3.4, 6.0, 2022-01-01 05:00:00, 450.0
None, None, None, None, 0.326, 304.9, None, -10.3, None, None, None, None, None, 138.0, None, 137.6, None, None, -9.21, None, -9.2, None, None, 61.73, None, -9.2, None, 4.9, 9.0, 2022-01-01 06:00:00, 450.0
None, None, None, None, 0.158, 170.6, None, -9.3, None, None, None, None, None, 144.0, None, 143.5, None, None, -9.16, None, -9.2, None, None, 20.12, None, -9.2, None, 5.0, 6.0, 2022-01-01 07:00:00, 450.0
None, None, None, None, 0.141, 189.0, None, -9.3, None, None, None, None, None, 149.0, None, 149.3, None, None, -9.02, None, -9.0, None, None, 0.0, None, -9.0, None, 5.3, 6.0, 2022-01-01 08:00:00, 450.0
None, None, None, None, 0.141, 188.9, None, -9.3, None, None, None, None, None, 155.0, None, 155.3, None, None, -8.92, None, -8.9, None, None, 0.145, None, -8.9, None, 5.8, 6.0, 2022-01-01 09:00:00, 450.0
None, None, None, None, 0.077, 187.2, None, -9.3, None, None, None, None, None, 159.0, None, 158.8, None, None, -8.66, None, -8.7, None, None, 54.77, None, -8.7, None, 4.8, 3.0, 2022-01-01 10:00:00, 450.0
None, None, None, None, 0.089, 100.8, None, -9.3, None, None, None, None, None, 163.0, None, 163.1, None, None, -7.91, None, -7.9, None, None, 49.42, None, -7.9, None, 2.8, 4.0, 2022-01-01 11:00:00, 450.0
None, None, None, None, 0.094, 84.0, None, -9.3, None, None, None, None, None, 165.0, None, 164.9, 49.7, None, -7.64, None, -7.6, None, None, 46.72, None, -7.6, None, 1.9, 2.0, 2022-01-01 12:00:00, 450.0
None, None, None, None, 0.052, 63.74, None, -9.3, None, None, None, None, None, 167.0, None, 166.9, 51.6, None, -7.02, None, -7.0, None, None, 64.46, None, -7.0, None, 1.9, 2.0, 2022-01-01 13:00:00, 450.0
None, None, None, None, 0.118, 120.8, None, -9.3, None, None, None, None, None, 165.0, None, 165.4, 51.6, None, -6.267, None, -6.2, None, None, 32.81, None, -6.3, None, 0.1, -1.0, 2022-01-01 14:00:00, 450.0
None, None, None, None, 0.115, 106.9, None, -9.3, None, None, None, None, None, 165.0, None, 164.8, None, None, -6.654, None, -6.2, None, None, 34.58, None, -6.7, None, -0.4, -1.0, 2022-01-01 15:00:00, 450.0
None, None, None, None, 0.069, 90.6, None, -9.3, None, None, None, None, None, 165.0, None, 164.5, None, None, -6.842, None, -6.2, None, None, 58.41, None, -6.8, None, 0.0, 0.0, 2022-01-01 16:00:00, 450.0
None, None, None, None, 0.041, 75.2, None, -9.3, None, None, None, None, None, 164.0, None, 164.0, None, None, -7.21, None, -6.2, None, None, 68.19, None, -7.2, None, 0.0, 0.0, 2022-01-01 17:00:00, 450.0
None, None, None, None, 0.079, 342.1, None, -9.3, None, None, None, None, None, 163.0, None, 163.3, None, None, -7.24, None, -6.2, None, None, 53.6, None, -7.2, None, 0.0, -1.0, 2022-01-01 18:00:00, 450.0
None, None, None, None, 0.029, 133.3, None, -7.8, None, None, None, None, None, 163.0, None, 162.5, None, None, -7.66, None, -7.2, None, None, 72.1, None, -7.7, None, 0.0, -1.0, 2022-01-01 19:00:00, 450.0
None, None, None, None, 0.068, 83.0, None, -8.5, None, None, None, None, None, 162.0, None, 161.9, None, None, -8.49, None, -7.2, None, None, 58.34, None, -8.5, None, -0.1, -1.0, 2022-01-01 20:00:00, 450.0
None, None, None, None, 0.094, 80.6, None, -8.8, None, None, None, None, None, 161.0, None, 161.2, None, None, -8.78, None, -7.2, None, None, 46.81, None, -8.8, None, 0.0, -1.0, 2022-01-01 21:00:00, 450.0
None, None, None, None, 0.105, 107.8, None, -8.8, None, None, None, None, None, 161.0, None, 160.8, None, None, -8.67, None, -7.2, None, None, 41.01, None, -8.7, None, 0.1, 0.0, 2022-01-01 22:00:00, 450.0
None, None, None, None, 0.105, 82.0, None, -8.8, None, None, None, None, None, 160.0, None, 160.4, None, None, -7.63, None, -7.2, None, None, 41.1, None, -7.6, None, 0.2, 0.0, 2022-01-01 23:00:00, 450.0
None, None, None, None, 0.113, 101.9, None, -8.8, None, None, None, None, None, 160.0, None, 159.8, None, None, -7.5, None, -7.2, None, None, 36.43, None, -7.5, None, -0.2, -1.0, 2022-01-02 00:00:00, 450.0
None, None, None, None, 0.054, 104.5, None, -8.8, None, None, None, None, None, 160.0, None, 159.5, None, None, -7.36, None, -7.2, None, None, 63.52, None, -7.4, None, -0.1, 0.0, 2022-01-02 01:00:00, 450.0
None, None, None, None, 0.073, 122.7, None, -8.8, None, None, None, None, None, 159.0, None, 159.1, None, None, -6.572, None, -6.5, None, None, 56.47, None, -6.6, None, 0.0, 0.0, 2022-01-02 02:00:00, 450.0
None, None, None, None, 0.045, 87.0, None, -8.8, None, None, None, None, None, 159.0, None, 158.6, None, None, -6.011, None, -5.6, None, None, 67.11, None, -6.0, None, 0.0, 0.0, 2022-01-02 03:00:00, 450.0
None, None, None, None, 0.055, 291.3, None, -8.8, None, None, None, None, None, 158.0, None, 158.3, None, None, -5.747, None, -5.6, None, None, 63.39, None, -5.7, None, -0.1, 0.0, 2022-01-02 04:00:00, 450.0
None, None, None, None, 0.023, 71.3, None, -8.8, None, None, None, None, None, 158.0, None, 158.1, None, None, -5.172, None, -5.1, None, None, 74.1, None, -5.2, None, 0.0, 0.0, 2022-01-02 05:00:00, 450.0
None, None, None, None, 0.023, 32.57, None, -8.8, None, None, None, None, None, 158.0, None, 157.7, None, None, -4.521, None, -4.5, None, None, 74.0, None, -4.5, None, 0.0, 0.0, 2022-01-02 06:00:00, 450.0
None, None, None, None, 0.702, 70.5, None, -4.6, None, None, None, None, None, 157.0, None, 156.8, None, None, -3.749, None, -3.4, None, None, 45.03, None, -3.7, None, -0.2, -1.0, 2022-01-02 07:00:00, 450.0
None, None, None, None, 1.286, 35.69, None, -5.2, None, None, None, None, None, 157.0, None, 156.7, None, None, -4.689, None, -3.4, None, None, 58.94, None, -4.7, None, -0.3, 0.0, 2022-01-02 08:00:00, 450.0
None, None, None, None, 0.552, 85.2, None, -5.2, None, None, None, None, None, 156.0, None, 156.3, None, None, -4.844, None, -3.4, None, None, 71.8, None, -4.8, None, 0.0, 0.0, 2022-01-02 09:00:00, 450.0
None, None, None, None, 0.923, 65.92, None, -5.2, None, None, None, None, None, 156.0, None, 156.0, None, None, -4.215, None, -3.4, None, None, 62.0, None, -4.2, None, 0.0, 0.0, 2022-01-02 10:00:00, 450.0
None, None, None, None, 0.265, 54.91, None, -5.2, None, None, None, None, None, 156.0, None, 155.5, None, None, -3.474, None, -3.3, None, None, 75.3, None, -3.5, None, 0.0, 0.0, 2022-01-02 11:00:00, 450.0
None, None, None, None, 1.074, 339.7, None, -5.2, None, None, None, None, None, 155.0, None, 155.2, None, None, -2.804, None, -2.8, None, None, 51.8, None, -2.8, None, -0.2, 0.0, 2022-01-02 12:00:00, 450.0
None, None, None, None, 0.46, 4.072, None, -5.2, None, None, None, None, None, 155.0, None, 155.0, None, None, -1.8, None, -1.8, None, None, 73.1, None, -1.8, None, -0.1, 0.0, 2022-01-02 13:00:00, 450.0
None, None, None, None, 0.385, 28.84, None, -5.2, None, None, None, None, None, 155.0, None, 154.6, None, None, -1.055, None, -0.9, None, None, 73.5, None, -1.1, None, -0.3, 0.0, 2022-01-02 14:00:00, 450.0
None, None, None, None, 1.462, 9.14, None, -5.2, None, None, None, None, None, 154.0, None, 154.4, None, None, -0.912, None, -0.9, None, None, 56.95, None, -0.9, None, -0.1, 0.0, 2022-01-02 15:00:00, 450.0
