station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, rel_hum, time, snw_dpth, stn_pres
None, -30.95, 73.77, -30.9, None, 53.99, 0.181, 292.1, -34.0, None, -31.0, -32.3, -34.0, 0.0, None, 0.0, 74.0, 2022-01-01 00:00:00, None, None
None, -30.16, 74.47, -30.3, None, 41.83, 0.161, 301.9, -33.0, None, -30.2, -32.3, -33.0, 0.0, None, 0.0, 74.0, 2022-01-01 01:00:00, None, None
None, -29.84, 74.32, -29.5, None, 43.69, 0.87, 328.0, -33.0, None, -29.8, -32.3, -33.0, 0.0, None, 0.0, 74.0, 2022-01-01 02:00:00, None, None
None, -29.69, 74.37, -29.4, None, 25.22, 0.211, 318.7, -33.0, None, -29.7, -32.3, -33.0, 0.0, None, 0.0, 74.0, 2022-01-01 03:00:00, None, None
None, -28.14, 75.88, -28.2, None, 19.17, 0.635, 327.8, -31.0, None, -28.1, -32.3, -31.0, 0.0, None, 0.0, 76.0, 2022-01-01 04:00:00, None, None
None, -27.72, 75.94, -27.7, None, 46.66, 0.725, 327.8, -30.0, None, -27.7, -32.3, -30.0, 0.0, None, 0.0, 76.0, 2022-01-01 05:00:00, None, None
None, -26.53, 76.58, -26.5, None, 33.4, 0.772, 342.2, -29.0, None, -26.5, -32.3, -29.0, 0.0, None, 0.0, 77.0, 2022-01-01 06:00:00, None, None
None, -25.73, 77.19, -25.8, None, 37.48, 0.347, 334.2, -28.0, None, -25.7, -26.6, -28.0, 0.0, None, 0.0, 77.0, 2022-01-01 07:00:00, None, None
None, -25.38, 77.21, -25.0, None, 57.75, 0.945, 310.0, -28.0, None, -25.4, -26.6, -28.0, 0.0, None, 0.0, 77.0, 2022-01-01 08:00:00, None, None
None, -23.9, 78.51, -23.9, None, 53.73, 1.23, 334.4, -26.0, None, -23.9, -26.6, -26.0, 0.0, None, 0.0, 79.0, 2022-01-01 09:00:00, None, None
None, -21.84, 79.71, -21.9, None, 73.72, 1.416, 235.5, -24.0, None, -21.8, -26.6, -24.0, 0.0, None, 0.0, 80.0, 2022-01-01 10:00:00, None, None
None, -19.68, 80.6, -19.4, None, 70.21, 1.366, 290.3, -22.0, None, -19.7, -26.6, -22.0, 0.0, None, 0.0, 81.0, 2022-01-01 11:00:00, None, None
None, -14.76, 78.08, -14.6, None, 74.84, 4.355, 316.9, -17.0, None, -14.8, -26.6, -17.0, 0.0, None, 0.0, 78.0, 2022-01-01 12:00:00, None, None
None, -10.21, 63.72, -10.2, None, 40.32, 13.89, 340.6, -15.0, None, -10.2, -26.6, -15.0, 0.0, None, 0.0, 64.0, 2022-01-01 13:00:00, None, None
None, -9.85, 61.73, -9.7, None, 26.43, 15.19, 353.4, -15.0, None, -9.9, -26.6, -15.0, 0.0, None, 0.0, 62.0, 2022-01-01 14:00:00, None, None
None, -9.75, 60.57, -9.5, None, 27.51, 15.46, 353.1, -15.0, None, -9.8, -26.6, -15.0, 0.0, None, 0.0, 61.0, 2022-01-01 15:00:00, None, None
None, -9.57, 63.36, -9.5, None, 24.82, 17.35, 353.0, -15.0, None, -9.6, -26.6, -15.0, 0.0, None, 0.0, 63.0, 2022-01-01 16:00:00, None, None
None, -9.69, 61.51, -9.0, None, 32.01, 16.28, 352.5, -15.0, None, -9.7, -26.6, -15.0, 0.0, None, 0.0, 62.0, 2022-01-01 17:00:00, None, None
None, -9.65, 67.94, -9.0, None, 24.52, 17.99, 349.7, -14.0, None, -9.7, -26.6, -14.0, 0.0, None, 0.0, 68.0, 2022-01-01 18:00:00, None, None
