station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, time, max_air_temp_snc_last_reset, MINIMUM_AIR_TEMPERATURE, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, snw_dpth, HEIGHT_OF_SNOW
None, None, -11.88, 83.5, 2022-01-01 00:00:00, -11.8, None, -14.0, -11.9, -13.4, 0.5, 2.0, 84.0, None, None, 68.0, 68.37
None, None, -11.24, 84.8, 2022-01-01 01:00:00, -11.2, None, -13.0, -11.2, -13.4, 0.8, 1.0, 85.0, None, None, 69.0, 68.74
None, None, -10.94, 85.8, 2022-01-01 02:00:00, -10.8, None, -13.0, -10.9, -13.4, 0.4, 0.0, 86.0, None, None, 69.0, 68.64
None, None, -10.8, 86.2, 2022-01-01 03:00:00, -10.5, None, -12.0, -10.8, -13.4, 0.2, 1.0, 86.0, None, None, 69.0, 69.45
None, None, -10.67, 87.1, 2022-01-01 04:00:00, -10.5, None, -12.0, -10.7, -13.4, 0.6, 1.0, 87.0, None, None, 70.0, 70.24
None, None, -10.21, 87.7, 2022-01-01 05:00:00, -10.1, None, -12.0, -10.2, -13.4, 0.8, -1.0, 88.0, None, None, 70.0, 69.63
None, None, -9.49, 90.0, 2022-01-01 06:00:00, -9.3, None, -11.0, -9.5, -13.4, 1.4, 2.0, 90.0, None, None, 71.0, 71.25
None, None, -8.77, 91.2, 2022-01-01 07:00:00, -8.6, None, -10.0, -8.8, -9.5, 1.7, 3.0, 91.0, None, None, 74.0, 73.82
None, None, -8.31, 91.9, 2022-01-01 08:00:00, -8.0, None, -9.0, -8.3, -9.5, 1.2, 3.0, 92.0, None, None, 76.0, 75.81
None, None, -8.38, 91.8, 2022-01-01 09:00:00, -8.0, None, -9.0, -8.4, -9.5, 1.0, 4.0, 92.0, None, None, 80.0, 79.54
None, None, -8.5, 91.8, 2022-01-01 10:00:00, -8.0, None, -9.0, -8.5, -9.5, 0.9, 1.0, 92.0, None, None, 80.0, 80.1
None, None, -8.59, 91.7, 2022-01-01 11:00:00, -8.0, None, -9.0, -8.6, -9.5, 0.3, 2.0, 92.0, None, None, 81.0, 81.1
None, None, -7.955, 92.2, 2022-01-01 12:00:00, -8.0, None, -9.0, -8.0, -9.5, 0.2, 1.0, 92.0, None, None, 82.0, 81.5
None, None, -8.08, 91.9, 2022-01-01 13:00:00, -7.7, None, -9.0, -8.1, -9.5, 0.4, 0.0, 92.0, None, None, 82.0, 81.5
None, None, -7.776, 92.1, 2022-01-01 14:00:00, -7.2, None, -9.0, -7.8, -9.5, 0.2, -2.0, 92.0, None, None, 80.0, 79.81
10.8, None, -8.63, 91.3, 2022-01-01 15:00:00, -7.2, None, -10.0, -8.6, -9.5, 0.1, 2.0, 91.0, None, None, 81.0, 80.9
10.8, None, -8.58, 91.6, 2022-01-01 16:00:00, -7.2, None, -9.0, -8.6, -9.5, 0.1, -1.0, 92.0, None, None, 80.0, 80.2
10.8, None, -8.25, 92.1, 2022-01-01 17:00:00, -7.2, None, -9.0, -8.3, -9.5, 0.0, 1.0, 92.0, None, None, 81.0, 81.0
10.8, None, -8.63, 91.7, 2022-01-01 18:00:00, -7.2, None, -9.0, -8.6, -9.5, 0.1, 0.0, 92.0, None, None, 81.0, 81.1
10.6, None, -8.92, 91.5, 2022-01-01 19:00:00, -8.5, None, -10.0, -8.9, -9.0, 0.0, 0.0, 92.0, None, None, 81.0, 81.2
10.9, None, -9.25, 91.8, 2022-01-01 20:00:00, -8.5, None, -10.0, -9.3, -10.1, 0.3, 0.0, 92.0, None, None, 81.0, 80.9
10.9, None, -9.15, 91.9, 2022-01-01 21:00:00, -8.5, None, -10.0, -9.2, -10.1, 0.0, 0.0, 92.0, None, None, 81.0, 80.8
11.1, None, -9.59, 91.1, 2022-01-01 22:00:00, -8.5, None, -11.0, -9.6, -10.1, 0.2, -1.0, 91.0, None, None, 80.0, 80.2
None, None, -11.49, 89.2, 2022-01-01 23:00:00, -8.5, None, -13.0, -11.5, -11.4, -0.1, 0.0, 89.0, None, None, 80.0, 79.88
None, None, -12.12, 89.2, 2022-01-02 00:00:00, -8.5, None, -13.0, -12.1, -12.3, -0.6, 0.0, 89.0, None, None, 80.0, 80.0
None, None, -11.72, 89.7, 2022-01-02 01:00:00, -8.5, None, -13.0, -11.7, -12.4, 0.0, 1.0, 90.0, None, None, 80.0, 80.4
None, None, -11.08, 90.0, 2022-01-02 02:00:00, -8.5, None, -12.0, -11.1, -12.4, 0.0, 0.0, 90.0, None, None, 80.0, 80.3
None, None, -11.1, 89.9, 2022-01-02 03:00:00, -8.5, None, -12.0, -11.1, -12.4, 0.0, -1.0, 90.0, None, None, 80.0, 79.63
None, None, -10.5, 90.4, 2022-01-02 04:00:00, -8.5, None, -12.0, -10.5, -12.4, 0.0, 0.0, 90.0, None, None, 79.0, 79.37
None, None, -9.76, 91.3, 2022-01-02 05:00:00, -8.5, None, -11.0, -9.8, -12.4, 0.0, 0.0, 91.0, None, None, 79.0, 79.32
None, None, -9.24, 91.4, 2022-01-02 06:00:00, -8.5, None, -10.0, -9.2, -12.4, 0.0, 0.0, 91.0, None, None, 79.0, 79.11
None, None, -9.44, 91.1, 2022-01-02 07:00:00, -9.1, None, -10.0, -9.4, -9.5, 0.0, 0.0, 91.0, None, None, 79.0, 78.95
None, None, -9.75, 91.0, 2022-01-02 08:00:00, -9.1, None, -11.0, -9.8, -9.9, 0.0, 0.0, 91.0, None, None, 79.0, 78.86
None, None, -9.87, 90.7, 2022-01-02 09:00:00, -9.1, None, -11.0, -9.9, -10.0, 0.0, 0.0, 91.0, None, None, 79.0, 78.52
None, None, -9.79, 90.9, 2022-01-02 10:00:00, -9.1, None, -11.0, -9.8, -10.1, 0.0, 0.0, 91.0, None, None, 78.0, 78.48
None, None, -8.51, 92.0, 2022-01-02 11:00:00, -8.5, None, -10.0, -8.5, -10.1, 0.0, 0.0, 92.0, None, None, 78.0, 78.43
None, None, -8.22, 91.7, 2022-01-02 12:00:00, -7.8, None, -9.0, -8.2, -10.1, 0.1, 0.0, 92.0, None, None, 78.0, 78.16
None, None, -8.76, 91.0, 2022-01-02 13:00:00, -7.8, None, -10.0, -8.8, -10.1, None, None, 91.0, None, None, None, 79.21
None, None, -9.48, 90.6, 2022-01-02 14:00:00, -7.8, None, -10.0, -9.5, -10.1, 0.1, 0.0, 91.0, None, None, 79.0, 78.77
