station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, stn_pres
None, -8.93, None, None, None, None, 17.04, 2.0, 0.501, 302.0, None, None, -8.9, -10.7, 1.9, None, -8.8, None, None, None, None, 2022-01-01 00:00:00, 141.0, None, 140.7, None
None, -8.68, None, None, None, None, 34.44, 1.0, 1.154, 301.1, None, None, -8.7, -10.7, 0.9, None, -8.6, None, None, None, None, 2022-01-01 01:00:00, 141.0, None, 141.2, None
None, -8.07, None, None, None, None, 34.8, 1.0, 1.503, 318.7, None, None, -8.1, -10.7, 0.7, None, -7.9, None, None, None, None, 2022-01-01 02:00:00, 141.0, None, 141.4, None
None, -7.443, None, None, None, None, 38.05, 0.0, 1.708, 304.7, None, None, -7.4, -10.7, 0.3, None, -7.4, None, None, None, None, 2022-01-01 03:00:00, 141.0, None, 141.1, None
None, -5.591, None, None, None, None, 41.72, -1.0, 2.119, 318.0, None, None, -5.6, -10.7, 0.2, None, -5.6, None, None, None, None, 2022-01-01 04:00:00, 140.0, None, 139.6, None
11.3, -5.164, None, None, None, None, 29.3, 3.0, 3.063, 321.2, None, None, -5.2, -10.7, 2.1, None, -4.5, None, None, None, None, 2022-01-01 05:00:00, 142.0, None, 142.0, None
12.8, -4.232, None, None, None, None, 36.83, None, 2.953, 331.4, None, None, -4.2, -10.7, 1.5, None, -3.9, None, None, None, None, 2022-01-01 06:00:00, None, None, 144.4, None
14.2, -2.894, None, None, None, None, 53.16, 0.0, 2.463, 285.3, None, None, -2.9, -4.3, 1.4, None, -2.9, None, None, None, None, 2022-01-01 07:00:00, 144.0, None, 144.3, None
16.7, -2.828, None, None, None, None, 55.74, 4.0, 2.51, 293.0, None, None, -2.8, -4.3, 2.5, None, -2.6, None, None, None, None, 2022-01-01 08:00:00, 148.0, None, 147.6, None
20.7, -1.196, None, None, None, None, 72.12, 6.0, 4.902, 158.6, None, None, -1.2, -4.3, 4.0, None, -1.2, None, None, None, None, 2022-01-01 09:00:00, 154.0, None, 153.6, None
24.6, -2.191, None, None, None, None, 59.77, 5.0, 5.47, 155.4, None, None, -2.2, -4.3, 4.1, None, -1.0, None, None, None, None, 2022-01-01 10:00:00, 158.0, None, 158.0, None
28.8, -2.503, None, None, None, None, 61.43, 5.0, 3.919, 222.9, None, None, -2.5, -4.3, 4.2, None, -1.0, None, None, None, None, 2022-01-01 11:00:00, 163.0, None, 162.6, None
32.4, -2.135, None, None, None, None, 48.6, 6.0, 2.482, 227.8, None, None, -2.1, -4.3, 3.8, None, -1.0, None, None, None, None, 2022-01-01 12:00:00, 168.0, None, 168.2, None
33.8, -1.527, None, None, None, None, 31.39, 2.0, 2.684, 235.3, None, None, -1.5, -4.3, 1.6, None, -1.0, None, None, None, None, 2022-01-01 13:00:00, 170.0, None, 169.6, None
34.3, -1.701, None, None, None, None, 34.09, -1.0, 1.578, 233.5, None, None, -1.7, -4.3, 0.5, None, -1.0, None, None, None, None, 2022-01-01 14:00:00, 169.0, None, 169.0, None
34.6, -1.391, None, None, None, None, 33.46, 0.0, 0.597, 266.6, None, None, -1.4, -4.3, 0.3, None, -1.0, None, None, None, None, 2022-01-01 15:00:00, 169.0, None, 169.1, None
