station_observations
air_temp, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, min_air_temp_snc_last_reset, time, dwpt_temp
-22.7, -22.73, 80.8, -20.7, 81.0, -22.9, 2022-01-01 00:00:00, -25.0
-22.0, -22.02, 80.9, -20.7, 81.0, -22.9, 2022-01-01 01:00:00, -24.0
-21.4, -21.39, 80.9, -20.7, 81.0, -22.9, 2022-01-01 02:00:00, -24.0
-21.1, -21.11, 81.7, -20.7, 82.0, -22.9, 2022-01-01 03:00:00, -23.0
-21.2, -21.15, 82.0, -20.3, 82.0, -22.9, 2022-01-01 04:00:00, -23.0
-20.4, -20.44, 82.2, -20.3, 82.0, -22.9, 2022-01-01 05:00:00, -23.0
-20.9, -20.92, 81.5, -19.9, 82.0, -22.9, 2022-01-01 06:00:00, -23.0
-19.7, -19.74, 81.4, -19.7, 81.0, -20.9, 2022-01-01 07:00:00, -22.0
-20.3, -20.28, 81.2, -19.3, 81.0, -20.9, 2022-01-01 08:00:00, -22.0
-19.0, -19.04, 81.2, -18.6, 81.0, -20.9, 2022-01-01 09:00:00, -21.0
-17.7, -17.69, 83.3, -17.8, 83.0, -20.9, 2022-01-01 10:00:00, -20.0
-17.0, -17.02, 83.7, -16.7, 84.0, -20.9, 2022-01-01 11:00:00, -19.0
-13.9, -13.93, 82.3, -12.9, 82.0, -20.9, 2022-01-01 12:00:00, -16.0
-10.6, -10.56, 86.5, -9.6, 87.0, -20.9, 2022-01-01 13:00:00, -12.0
-7.8, -7.812, 78.55, -7.5, 79.0, -20.9, 2022-01-01 14:00:00, -11.0
-6.5, -6.506, 78.44, -5.3, 78.0, -20.9, 2022-01-01 15:00:00, -9.0
-7.8, -7.803, 88.6, -5.3, 89.0, -20.9, 2022-01-01 16:00:00, -9.0
-7.5, -7.533, 88.1, -5.3, 88.0, -20.9, 2022-01-01 17:00:00, -9.0
-6.2, -6.189, 80.3, -5.3, 80.0, -20.9, 2022-01-01 18:00:00, -9.0
-8.4, -8.42, 88.9, -6.2, 89.0, -8.5, 2022-01-01 19:00:00, -10.0
-6.3, -6.274, 83.2, -4.4, 83.0, -8.7, 2022-01-01 20:00:00, -8.0
-6.7, -6.748, 90.2, -4.4, 90.0, -8.7, 2022-01-01 21:00:00, -8.0
-8.3, -8.26, 84.4, -4.4, 84.0, -8.7, 2022-01-01 22:00:00, -10.0
-9.8, -9.82, 89.3, -4.4, 89.0, -10.1, 2022-01-01 23:00:00, -11.0
-10.0, -9.98, 86.0, -4.4, 86.0, -10.5, 2022-01-02 00:00:00, -12.0
-8.5, -8.46, 78.73, -4.4, 79.0, -10.5, 2022-01-02 01:00:00, -11.0
-8.1, -8.11, 90.2, -4.4, 90.0, -10.5, 2022-01-02 02:00:00, -9.0
-1.6, -1.593, 86.7, -1.5, 87.0, -10.5, 2022-01-02 03:00:00, -4.0
-4.9, -4.912, 90.6, -1.5, 91.0, -10.5, 2022-01-02 04:00:00, -6.0
-4.4, -4.438, 94.1, -1.5, 94.0, -10.5, 2022-01-02 05:00:00, -5.0
-6.2, -6.157, 94.3, -1.5, 94.0, -10.5, 2022-01-02 06:00:00, -7.0
-8.2, -8.17, 92.8, -6.1, 93.0, -8.3, 2022-01-02 07:00:00, -9.0
-8.8, -8.77, 92.0, -6.1, 92.0, -8.9, 2022-01-02 08:00:00, -10.0
-8.1, -8.13, 92.5, -6.1, 93.0, -8.9, 2022-01-02 09:00:00, -9.0
-7.7, -7.66, 92.4, -6.1, 92.0, -8.9, 2022-01-02 10:00:00, -9.0
-8.1, -8.09, 92.0, -6.1, 92.0, -8.9, 2022-01-02 11:00:00, -9.0
-8.3, -8.33, 90.6, -6.1, 91.0, -8.9, 2022-01-02 12:00:00, -10.0
-8.6, -8.6, 88.0, -6.1, 88.0, -8.9, 2022-01-02 13:00:00, -10.0
-8.1, -8.09, 89.0, -6.1, 89.0, -8.9, 2022-01-02 14:00:00, -9.0
-7.9, -7.882, 88.0, -6.1, 88.0, -8.9, 2022-01-02 15:00:00, -9.0
-7.7, -7.684, 90.0, -6.1, 90.0, -8.9, 2022-01-02 16:00:00, -9.0
-7.9, -7.878, 91.5, -6.1, 92.0, -8.9, 2022-01-02 17:00:00, -9.0
-7.8, -7.791, 92.4, -6.1, 92.0, -8.9, 2022-01-02 18:00:00, -8.0
-7.6, -7.589, 91.9, -7.6, 92.0, -7.9, 2022-01-02 19:00:00, -9.0
-7.9, -7.918, 91.5, -7.6, 92.0, -8.1, 2022-01-02 20:00:00, -9.0
