station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, snw_dpth
0.0, -32.97, 72.14, -26.8, 72.0, -36.0, -33.0, -33.1, -36.0, 0.0, 0.0, 2022-01-01 00:00:00, None
0.0, -33.23, 72.24, -26.8, 72.0, -36.0, -33.2, -33.6, -36.0, 0.0, 0.0, 2022-01-01 01:00:00, None
0.0, -33.06, 72.02, -26.8, 72.0, -36.0, -33.1, -34.0, -36.0, 0.0, 0.0, 2022-01-01 02:00:00, None
0.0, -34.49, 70.81, -26.8, 71.0, -38.0, -34.5, -34.6, -38.0, 0.0, 0.0, 2022-01-01 03:00:00, None
0.0, -33.09, 73.05, -26.8, 73.0, -36.0, -33.1, -34.7, -36.0, 0.0, 0.0, 2022-01-01 04:00:00, None
0.0, -34.32, 71.6, -26.8, 72.0, -37.0, -34.3, -35.0, -37.0, 0.0, 0.0, 2022-01-01 05:00:00, None
0.0, -34.38, 70.91, -26.8, 71.0, -37.0, -34.4, -35.0, -37.0, 0.0, 0.0, 2022-01-01 06:00:00, None
0.0, -33.22, 72.44, -33.2, 72.0, -36.0, -33.2, -34.5, -36.0, 0.0, 0.0, 2022-01-01 07:00:00, None
0.0, -32.97, 72.36, -32.9, 72.0, -36.0, -33.0, -34.5, -36.0, 0.0, 0.0, 2022-01-01 08:00:00, None
0.0, -31.39, 72.68, -31.4, 73.0, -34.0, -31.4, -34.5, -34.0, 0.0, 0.0, 2022-01-01 09:00:00, None
0.0, -25.36, 72.86, -25.5, 73.0, -28.0, -25.4, -34.5, -28.0, 0.0, 0.0, 2022-01-01 10:00:00, None
0.0, -21.97, 75.85, -20.9, 76.0, -25.0, -22.0, -34.5, -25.0, 0.0, 0.0, 2022-01-01 11:00:00, None
0.0, -21.55, 79.1, -20.9, 79.0, -24.0, -21.6, -34.5, -24.0, 0.0, 0.0, 2022-01-01 12:00:00, None
0.0, -19.8, 77.7, -19.2, 78.0, -23.0, -19.8, -34.5, -23.0, 0.0, 0.0, 2022-01-01 13:00:00, None
0.0, -18.46, 81.4, -18.4, 81.0, -21.0, -18.5, -34.5, -21.0, 0.0, 0.0, 2022-01-01 14:00:00, None
0.0, -18.02, 82.0, -18.0, 82.0, -20.0, -18.0, -34.5, -20.0, 0.0, 0.0, 2022-01-01 15:00:00, None
0.0, -17.78, 83.1, -17.8, 83.0, -20.0, -17.8, -34.5, -20.0, 0.0, 0.0, 2022-01-01 16:00:00, None
0.0, -18.58, 81.7, -17.7, 82.0, -20.0, -18.6, -34.5, -20.0, 0.0, 0.0, 2022-01-01 17:00:00, None
0.0, -14.82, 84.9, -14.8, 85.0, -17.0, -14.8, -34.5, -17.0, 0.0, 0.0, 2022-01-01 18:00:00, None
0.0, -14.19, 84.6, -14.2, 85.0, -16.0, -14.2, -14.9, -16.0, 0.0, 0.0, 2022-01-01 19:00:00, None
0.0, -13.7, 84.6, -13.6, 85.0, -16.0, -13.7, -14.9, -16.0, 0.0, 0.0, 2022-01-01 20:00:00, None
0.0, -13.17, 84.9, -13.2, 85.0, -15.0, -13.2, -14.9, -15.0, 0.0, 0.0, 2022-01-01 21:00:00, None
0.0, -13.11, 85.1, -13.0, 85.0, -15.0, -13.1, -14.9, -15.0, 0.0, 0.0, 2022-01-01 22:00:00, None
0.0, -12.88, 84.9, -12.9, 85.0, -15.0, -12.9, -14.9, -15.0, 0.0, 0.0, 2022-01-01 23:00:00, None
0.0, -12.51, 82.7, -12.6, 83.0, -14.0, -12.5, -14.9, -14.0, 0.0, 0.0, 2022-01-02 00:00:00, None
0.0, -12.17, 80.3, -12.1, 80.0, -15.0, -12.2, -14.9, -15.0, 0.0, 0.0, 2022-01-02 01:00:00, None
