station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW
None, -20.99, 81.6, -20.9, 82.0, -23.0, -21.0, -26.1, -23.0, 0.1, 0.0, 2022-01-01 00:00:00, 75.0, 75.35
None, -21.08, 81.1, -20.8, 81.0, -23.0, -21.1, -26.1, -23.0, -0.1, 0.0, 2022-01-01 01:00:00, 75.0, 75.18
None, -20.85, 82.2, -20.8, 82.0, -23.0, -20.9, -26.1, -23.0, -0.1, 0.0, 2022-01-01 02:00:00, 75.0, 75.34
None, -19.18, 83.0, -19.2, 83.0, -21.0, -19.2, -26.1, -21.0, 0.2, 0.0, 2022-01-01 03:00:00, 75.0, 75.1
None, -18.28, 84.5, -18.3, 85.0, -20.0, -18.3, -26.1, -20.0, 0.1, 0.0, 2022-01-01 04:00:00, 75.0, 75.06
None, -16.69, 86.0, -16.8, 86.0, -19.0, -16.7, -26.1, -19.0, -1.7, 0.0, 2022-01-01 05:00:00, 75.0, 74.87
None, -15.99, 85.6, -15.9, 86.0, -18.0, -16.0, -26.1, -18.0, 0.6, 0.0, 2022-01-01 06:00:00, 75.0, 74.7
None, -14.81, 86.7, -14.8, 87.0, -16.0, -14.8, -16.0, -16.0, -0.4, 1.0, 2022-01-01 07:00:00, 75.0, 75.15
None, -12.83, 89.1, -13.0, 89.0, -14.0, -12.8, -16.0, -14.0, 1.3, 1.0, 2022-01-01 08:00:00, 75.0, 75.45
None, -12.18, 87.8, -11.0, 88.0, -14.0, -12.2, -16.0, -14.0, None, None, 2022-01-01 09:00:00, None, 75.33
None, -10.42, 89.9, -10.5, 90.0, -12.0, -10.4, -16.0, -12.0, 0.3, 0.0, 2022-01-01 10:00:00, 76.0, 75.56
None, -8.55, 87.0, -8.5, 87.0, -10.0, -8.6, -16.0, -10.0, 0.2, 0.0, 2022-01-01 11:00:00, 75.0, 75.48
None, -8.03, 85.3, -7.9, 85.0, -10.0, -8.0, -16.0, -10.0, -0.1, 0.0, 2022-01-01 12:00:00, 75.0, 75.35
None, -7.629, 78.92, -7.4, 79.0, -10.0, -7.6, -16.0, -10.0, 0.2, 1.0, 2022-01-01 13:00:00, 76.0, 76.17
None, -7.401, 78.0, -7.4, 78.0, -10.0, -7.4, -16.0, -10.0, 0.0, 0.0, 2022-01-01 14:00:00, 76.0, 75.89
None, -7.14, 72.42, -6.7, 72.0, -11.0, -7.1, -16.0, -11.0, 0.2, 0.0, 2022-01-01 15:00:00, 76.0, 75.88
None, -6.797, 69.66, -6.7, 70.0, -11.0, -6.8, -16.0, -11.0, -0.1, 0.0, 2022-01-01 16:00:00, 76.0, 75.56
None, -6.826, 74.42, -6.3, 74.0, -10.0, -6.8, -16.0, -10.0, -0.1, 0.0, 2022-01-01 17:00:00, 76.0, 75.5
None, -6.734, 73.4, -6.2, 73.0, -10.0, -6.7, -16.0, -10.0, -0.2, 0.0, 2022-01-01 18:00:00, 75.0, 75.29
None, -5.95, 73.13, -5.6, 73.0, -9.0, -6.0, -6.8, -9.0, 0.0, 0.0, 2022-01-01 19:00:00, 75.0, 75.27
None, -5.554, 73.75, -5.5, 74.0, -9.0, -5.6, -6.8, -9.0, -0.1, 0.0, 2022-01-01 20:00:00, 75.0, 75.13
None, -4.607, 71.77, -4.6, 72.0, -9.0, -4.6, -6.8, -9.0, 0.0, 0.0, 2022-01-01 21:00:00, 75.0, 75.22
None, -5.019, 69.28, -4.5, 69.0, -9.0, -5.0, -6.8, -9.0, 0.0, 0.0, 2022-01-01 22:00:00, 75.0, 75.0
None, -4.957, 68.58, -4.5, 69.0, -9.0, -5.0, -6.8, -9.0, -0.1, 0.0, 2022-01-01 23:00:00, 75.0, 74.98
None, -5.599, 75.4, -4.5, 75.0, -9.0, -5.6, -6.8, -9.0, -0.2, 0.0, 2022-01-02 00:00:00, 75.0, 74.58
None, -5.641, 77.53, -4.5, 78.0, -9.0, -5.6, -6.8, -9.0, -0.1, 0.0, 2022-01-02 01:00:00, 75.0, 74.74
None, -5.066, 77.04, -4.5, 77.0, -8.0, -5.1, -6.8, -8.0, 0.1, 0.0, 2022-01-02 02:00:00, 74.0, 74.39
None, -5.11, 76.21, -4.5, 76.0, -8.0, -5.1, -6.8, -8.0, 0.0, 0.0, 2022-01-02 03:00:00, 74.0, 74.4
