station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, snw_dpth, stn_pres
0.0, -21.47, 80.2, -18.3, 80.0, -24.0, -21.5, -21.5, -24.0, 0.0, 0.0, 2022-01-01 00:00:00, None, 958.0
0.0, -21.49, 79.94, -18.3, 80.0, -24.0, -21.5, -21.8, -24.0, 0.0, 0.0, 2022-01-01 01:00:00, None, 957.0
0.0, -21.42, 79.57, -18.3, 80.0, -24.0, -21.4, -21.9, -24.0, 0.0, 0.0, 2022-01-01 02:00:00, None, 958.0
0.0, -20.86, 79.39, -18.3, 79.0, -23.0, -20.9, -21.9, -23.0, 0.0, 0.0, 2022-01-01 03:00:00, None, 958.0
0.0, -20.51, 79.58, -18.3, 80.0, -23.0, -20.5, -21.9, -23.0, 0.0, 0.0, 2022-01-01 04:00:00, None, 958.0
0.0, -19.85, 79.51, -18.3, 80.0, -22.0, -19.9, -21.9, -22.0, 0.0, 0.0, 2022-01-01 05:00:00, None, 957.0
0.0, -18.88, 78.8, -18.3, 79.0, -21.0, -18.9, -21.9, -21.0, 0.0, 0.0, 2022-01-01 06:00:00, None, 957.0
0.0, -18.12, 80.9, -18.1, 81.0, -20.0, -18.1, -19.0, -20.0, 0.0, 0.0, 2022-01-01 07:00:00, None, 957.0
0.0, -15.99, 75.49, -15.9, 75.0, -19.0, -16.0, -19.0, -19.0, 0.0, 0.0, 2022-01-01 08:00:00, None, 957.0
0.2, -15.37, 78.16, -15.4, 78.0, -18.0, -15.4, -19.0, -18.0, 0.2, 0.0, 2022-01-01 09:00:00, None, 957.0
0.2, -14.82, 77.6, -14.8, 78.0, -17.0, -14.8, -19.0, -17.0, 0.0, 0.0, 2022-01-01 10:00:00, None, 957.0
0.2, -14.2, 76.38, -14.1, 76.0, -17.0, -14.2, -19.0, -17.0, 0.0, 0.0, 2022-01-01 11:00:00, None, 957.0
0.2, -13.76, 76.56, -13.6, 77.0, -16.0, -13.8, -19.0, -16.0, 0.0, 0.0, 2022-01-01 12:00:00, None, 957.0
0.2, -12.81, 73.16, -12.7, 73.0, -16.0, -12.8, -19.0, -16.0, 0.0, 0.0, 2022-01-01 13:00:00, None, 956.0
0.2, -12.06, 70.74, -12.1, 71.0, -16.0, -12.1, -19.0, -16.0, 0.0, 0.0, 2022-01-01 14:00:00, None, 956.0
0.2, -11.74, 68.77, -11.7, 69.0, -16.0, -11.7, -19.0, -16.0, 0.0, 0.0, 2022-01-01 15:00:00, None, 956.0
0.2, -11.7, 69.12, -11.6, 69.0, -16.0, -11.7, -19.0, -16.0, 0.0, 0.0, 2022-01-01 16:00:00, None, 955.0
0.2, -11.38, 67.27, -11.4, 67.0, -16.0, -11.4, -19.0, -16.0, 0.0, 0.0, 2022-01-01 17:00:00, None, 955.0
0.2, -12.17, 73.68, -11.4, 74.0, -15.0, -12.2, -19.0, -15.0, 0.0, 0.0, 2022-01-01 18:00:00, None, 954.0
