station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, rel_hum, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -13.43, 88.6, -13.4, None, 28.56, 0.714, 241.8, -15.0, None, -13.4, -14.4, 1004.3, 1.7, -15.0, 989.0, None, 2.0, 89.0, 2022-01-01 00:00:00, 81.0, 81.2, 989.0
None, -12.8, 88.9, -12.8, None, 31.02, 0.863, 238.5, -14.0, None, -12.8, -14.4, 1002.2, 0.8, -14.0, 987.0, None, 2.0, 89.0, 2022-01-01 01:00:00, 83.0, 82.8, 987.0
None, -12.64, 87.8, -12.6, None, 37.58, 1.084, 241.8, -14.0, None, -12.6, -14.4, 1001.2, 0.5, -14.0, 986.0, None, 1.0, 88.0, 2022-01-01 02:00:00, 83.0, 83.2, 986.0
None, -12.35, 88.6, -12.1, None, 32.6, 1.954, 236.5, -14.0, None, -12.4, -14.4, 999.1, 0.0, -14.0, 984.0, None, 1.0, 89.0, 2022-01-01 03:00:00, 84.0, 83.5, 984.0
None, -11.95, 88.8, -11.6, None, 33.37, 1.845, 236.4, -13.0, None, -12.0, -14.4, 996.1, 0.5, -13.0, 981.0, None, 0.0, 89.0, 2022-01-01 04:00:00, 83.0, 83.4, 981.0
None, -12.03, 89.8, -11.6, None, 28.06, 1.892, 240.2, -13.0, None, -12.0, -14.4, 992.0, 1.5, -13.0, 977.0, None, 4.0, 90.0, 2022-01-01 05:00:00, 87.0, 86.7, 977.0
None, -11.04, 90.6, -11.0, None, 28.53, 0.991, 240.2, -12.0, None, -11.0, -14.4, 991.0, 1.4, -12.0, 976.0, None, 3.0, 91.0, 2022-01-01 06:00:00, 89.0, 88.8, 976.0
None, -10.68, 91.5, -10.7, None, 29.73, 0.857, 238.6, -12.0, None, -10.7, -11.4, 989.9, 2.5, -12.0, 975.0, None, 4.0, 92.0, 2022-01-01 07:00:00, 92.0, 92.2, 975.0
None, -10.17, 91.5, -10.2, None, 26.66, 0.463, 242.5, -11.0, None, -10.2, -11.4, 988.9, 2.2, -11.0, 974.0, None, 6.0, 92.0, 2022-01-01 08:00:00, 98.0, 97.9, 974.0
None, -10.0, 91.3, -10.0, None, 29.64, 0.178, 241.2, -11.0, None, -10.0, -11.4, 988.9, 2.7, -11.0, 974.0, None, 5.0, 91.0, 2022-01-01 09:00:00, 102.0, 102.4, 974.0
None, -10.71, 90.9, -10.0, None, 48.83, 1.094, 231.3, -12.0, None, -10.7, -11.4, 989.9, 4.1, -12.0, 975.0, None, 9.0, 91.0, 2022-01-01 10:00:00, 111.0, 110.5, 975.0
None, -10.34, 91.1, -10.0, None, 41.89, 0.33, 238.2, -11.0, None, -10.3, -11.4, 990.9, 2.0, -11.0, 976.0, None, 2.0, 91.0, 2022-01-01 11:00:00, 112.0, 112.2, 976.0
None, -9.46, 91.5, -9.5, None, 35.59, 0.459, 240.3, -10.0, None, -9.5, -11.4, 990.9, 0.4, -10.0, 976.0, None, 1.0, 92.0, 2022-01-01 12:00:00, 113.0, 112.6, 976.0
None, -9.23, 91.9, -9.3, None, 32.9, 0.368, 238.7, -10.0, None, -9.2, -11.4, 990.9, 1.6, -10.0, 976.0, None, 2.0, 92.0, 2022-01-01 13:00:00, 114.0, 114.2, 976.0
None, -8.49, 92.0, -8.5, None, 35.81, 0.066, 236.5, -9.0, None, -8.5, -11.4, 990.9, 0.0, -9.0, 976.0, None, -1.0, 92.0, 2022-01-01 14:00:00, 113.0, 113.2, 976.0
24.8, -8.47, 92.0, -8.1, None, 38.08, 0.059, 241.2, -9.0, None, -8.5, -11.4, 990.9, 0.0, -9.0, 976.0, None, 0.0, 92.0, 2022-01-01 15:00:00, 113.0, 112.8, 976.0
25.8, -8.33, 92.4, -8.1, None, 21.23, 0.247, 236.7, -9.0, None, -8.3, -11.4, 991.9, 1.0, -9.0, 977.0, None, 4.0, 92.0, 2022-01-01 16:00:00, 116.0, 115.9, 977.0
25.8, -8.74, 92.3, -8.1, None, 20.71, 0.258, 238.2, -10.0, None, -8.7, -11.4, 990.9, 0.0, -10.0, 976.0, None, 2.0, 92.0, 2022-01-01 17:00:00, 117.0, 117.2, 976.0
25.8, -8.73, 92.3, -8.1, None, 21.52, 0.53, 234.5, -10.0, None, -8.7, -11.4, 990.9, 0.0, -10.0, 976.0, None, 1.0, 92.0, 2022-01-01 18:00:00, 118.0, 118.0, 976.0
26.5, -8.62, 92.5, -8.6, None, 23.13, 0.703, 235.3, -10.0, None, -8.6, -8.7, 990.9, 0.7, -10.0, 976.0, None, 0.0, 93.0, 2022-01-01 19:00:00, 118.0, 118.1, 976.0
26.3, -8.37, 92.7, -8.4, None, 24.21, 0.416, 236.9, -9.0, None, -8.4, -8.7, 989.8, 0.3, -9.0, 975.0, None, 0.0, 93.0, 2022-01-01 20:00:00, 118.0, 118.0, 975.0
25.9, -7.996, 92.9, -8.0, None, 23.61, 0.208, 238.8, -9.0, None, -8.0, -8.7, 990.8, 0.1, -9.0, 976.0, None, 0.0, 93.0, 2022-01-01 21:00:00, 118.0, 118.1, 976.0
25.9, -7.657, 93.1, -7.7, None, 17.76, 0.012, 242.4, -8.0, None, -7.7, -8.7, 991.9, 0.9, -8.0, 977.0, None, 0.0, 93.0, 2022-01-01 22:00:00, 118.0, 118.1, 977.0
25.8, -7.504, 93.2, -7.5, None, 22.53, 0.075, 239.1, -8.0, None, -7.5, -8.7, 991.8, 1.0, -8.0, 977.0, None, 2.0, 93.0, 2022-01-01 23:00:00, 120.0, 119.5, 977.0
24.1, -7.285, 93.3, -7.3, None, 21.8, 0.238, 236.0, -8.0, None, -7.3, -8.7, 992.8, 0.0, -8.0, 978.0, None, -1.0, 93.0, 2022-01-02 00:00:00, 119.0, 118.6, 978.0
23.3, -7.043, 93.5, -7.0, None, 29.95, 0.373, 235.8, -8.0, None, -7.0, -8.7, 992.8, 0.0, -8.0, 978.0, None, 0.0, 94.0, 2022-01-02 01:00:00, 119.0, 118.5, 978.0
22.8, -6.796, 93.5, -6.5, None, 31.47, 0.704, 236.4, -8.0, None, -6.8, -8.7, 993.8, 0.0, -8.0, 979.0, None, 0.0, 94.0, 2022-01-02 02:00:00, 118.0, 118.1, 979.0
22.8, -7.289, 93.3, -6.5, None, 31.63, 0.304, 237.9, -8.0, None, -7.3, -8.7, 994.9, 0.0, -8.0, 980.0, None, 1.0, 93.0, 2022-01-02 03:00:00, 119.0, 118.5, 980.0
22.3, -7.867, 93.1, -6.5, None, 26.43, 0.619, 236.7, -9.0, None, -7.9, -8.7, 994.9, 0.0, -9.0, 980.0, None, 0.0, 93.0, 2022-01-02 04:00:00, 118.0, 118.2, 980.0
20.8, -7.603, 93.1, -6.5, None, 28.88, 0.436, 238.4, -8.0, None, -7.6, -8.7, 994.9, 0.0, -8.0, 980.0, None, 0.0, 93.0, 2022-01-02 05:00:00, 118.0, 118.0, 980.0
19.4, -7.214, 93.3, -6.5, None, 31.25, 0.783, 238.9, -8.0, None, -7.2, -8.7, 994.9, 0.1, -8.0, 980.0, None, 0.0, 93.0, 2022-01-02 06:00:00, 118.0, 117.7, 980.0
16.9, -6.946, 93.2, -6.8, None, 28.7, 0.863, 238.4, -8.0, None, -6.9, -7.2, 994.9, 0.0, -8.0, 980.0, None, 0.0, 93.0, 2022-01-02 07:00:00, 117.0, 117.3, 980.0
14.7, -6.825, 93.4, -6.7, None, 25.19, 0.345, 242.6, -8.0, None, -6.8, -7.2, 993.8, 0.1, -8.0, 979.0, None, 0.0, 93.0, 2022-01-02 08:00:00, 117.0, 117.0, 979.0
12.0, -6.203, 93.6, -6.2, None, 22.65, 0.097, 243.4, -7.0, None, -6.2, -7.2, 993.8, 0.1, -7.0, 979.0, None, 0.0, 94.0, 2022-01-02 09:00:00, 117.0, 116.7, 979.0
7.9, -5.869, 93.4, -5.8, None, 27.74, 0.297, 244.4, -7.0, None, -5.9, -7.2, 994.8, 0.0, -7.0, 980.0, None, 0.0, 93.0, 2022-01-02 10:00:00, 117.0, 116.5, 980.0
5.9, -5.295, 94.3, -5.3, None, 34.07, 0.669, 240.1, -6.0, None, -5.3, -7.2, 993.8, 0.0, -6.0, 979.0, None, 0.0, 94.0, 2022-01-02 11:00:00, 116.0, 116.3, 979.0
5.7, -4.86, 93.5, -4.9, None, 34.27, 1.244, 240.9, -6.0, None, -4.9, -7.2, 993.8, 0.2, -6.0, 979.0, None, 0.0, 94.0, 2022-01-02 12:00:00, 116.0, 116.0, 979.0
None, -4.325, 93.2, -4.3, None, 36.07, 0.912, 241.1, -5.0, None, -4.3, -7.2, 992.8, -0.4, -5.0, 978.0, None, 0.0, 93.0, 2022-01-02 13:00:00, 116.0, 115.7, 978.0
None, -4.101, 92.5, -4.1, None, 33.44, 1.825, 241.2, -5.0, None, -4.1, -7.2, 991.7, 0.2, -5.0, 977.0, None, 0.0, 93.0, 2022-01-02 14:00:00, 116.0, 115.5, 977.0
None, -3.591, 92.2, -3.5, None, 36.58, 2.721, 239.1, -5.0, None, -3.6, -7.2, 991.7, -0.1, -5.0, 977.0, None, -1.0, 92.0, 2022-01-02 15:00:00, 114.0, 114.4, 977.0
None, -3.161, 91.5, -3.1, None, 34.2, 3.813, 238.1, -4.0, None, -3.2, -7.2, 990.7, -0.2, -4.0, 976.0, None, -1.0, 92.0, 2022-01-02 16:00:00, 113.0, 113.1, 976.0
None, -2.535, 89.6, -2.5, None, 31.72, 3.774, 238.2, -4.0, None, -2.5, -7.2, 989.7, 0.1, -4.0, 975.0, None, 0.0, 90.0, 2022-01-02 17:00:00, 113.0, 113.1, 975.0
None, -2.552, 88.6, -2.4, None, 34.96, 1.787, 242.1, -4.0, None, -2.6, -7.2, 988.7, 0.1, -4.0, 974.0, None, 0.0, 89.0, 2022-01-02 18:00:00, 113.0, 112.8, 974.0
None, -2.065, 85.9, -1.9, None, 36.47, 2.258, 242.7, -4.0, None, -2.1, -2.6, 988.7, 0.0, -4.0, 974.0, None, 0.0, 86.0, 2022-01-02 19:00:00, 112.0, 112.4, 974.0
None, -1.782, 84.5, -1.6, None, 37.79, 3.737, 242.1, -4.0, None, -1.8, -2.6, 988.7, -0.1, -4.0, 974.0, None, 0.0, 85.0, 2022-01-02 20:00:00, 112.0, 112.2, 974.0
None, -1.884, 83.7, -1.5, None, 33.9, 4.185, 238.1, -4.0, None, -1.9, -2.6, 988.6, 0.0, -4.0, 974.0, None, 0.0, 84.0, 2022-01-02 21:00:00, 112.0, 111.9, 974.0
None, -2.1, 82.3, -1.5, None, 34.48, 3.53, 236.6, -4.0, None, -2.1, -2.6, 988.6, 0.0, -4.0, 974.0, None, 0.0, 82.0, 2022-01-02 22:00:00, 112.0, 111.6, 974.0
None, -1.75, 79.46, -1.5, None, 37.25, 3.129, 237.7, -5.0, None, -1.8, -2.6, 988.6, 0.0, -5.0, 974.0, None, 0.0, 79.0, 2022-01-02 23:00:00, 112.0, 111.5, 974.0
None, -1.915, 77.21, -1.5, None, 38.69, 3.901, 237.5, -5.0, None, -1.9, -2.6, 988.6, -0.1, -5.0, 974.0, None, 0.0, 77.0, 2022-01-03 00:00:00, 111.0, 111.2, 974.0
None, -2.318, 74.82, -1.5, None, 44.23, 5.701, 238.9, -6.0, None, -2.3, -2.6, 989.6, 0.1, -6.0, 975.0, None, 0.0, 75.0, 2022-01-03 01:00:00, 111.0, 110.9, 975.0
None, -2.772, 72.58, -1.5, None, 40.5, 6.883, 235.4, -7.0, None, -2.8, -2.8, 989.6, -0.3, -7.0, 975.0, None, 0.0, 73.0, 2022-01-03 02:00:00, 111.0, 110.7, 975.0
None, -3.557, 71.41, -1.5, None, 38.67, 5.25, 238.8, -7.0, None, -3.6, -3.6, 991.7, -0.5, -7.0, 977.0, None, 0.0, 71.0, 2022-01-03 03:00:00, 110.0, 110.2, 977.0
None, -4.057, 68.5, -1.5, None, 39.78, 6.042, 234.7, -8.0, None, -4.1, -4.1, 992.7, 0.8, -8.0, 978.0, None, 0.0, 69.0, 2022-01-03 04:00:00, 110.0, 109.9, 978.0
None, -4.88, 72.48, -1.5, None, 46.36, 5.092, 235.8, -9.0, None, -4.9, -4.9, 994.7, -0.4, -9.0, 980.0, None, 0.0, 72.0, 2022-01-03 05:00:00, 110.0, 109.5, 980.0
None, -5.59, 73.2, -1.5, None, 44.13, 4.104, 236.9, -9.0, None, -5.6, -5.6, 994.7, -0.5, -9.0, 980.0, None, 0.0, 73.0, 2022-01-03 06:00:00, 109.0, 109.3, 980.0
None, -6.231, 75.52, -5.6, None, 43.87, 4.892, 234.7, -9.0, None, -6.2, -6.2, 995.8, 0.0, -9.0, 981.0, None, -1.0, 76.0, 2022-01-03 07:00:00, 109.0, 108.8, 981.0
None, -7.031, 78.95, -5.6, None, 41.96, 5.249, 236.6, -10.0, None, -7.0, -7.0, 996.8, -0.3, -10.0, 982.0, None, 0.0, 79.0, 2022-01-03 08:00:00, 109.0, 108.5, 982.0
None, -7.532, 78.19, -5.6, None, 43.75, 4.731, 237.0, -10.0, None, -7.5, -7.6, 997.8, 0.3, -10.0, 983.0, None, 0.0, 78.0, 2022-01-03 09:00:00, 108.0, 108.0, 983.0
None, -8.16, 79.42, -5.6, None, 41.35, 5.272, 235.3, -11.0, None, -8.2, -8.2, 998.8, -0.3, -11.0, 984.0, None, -1.0, 79.0, 2022-01-03 10:00:00, 108.0, 107.5, 984.0
None, -7.987, 68.6, -5.6, None, 43.68, 5.641, 233.6, -12.0, None, -8.0, -8.2, 999.8, 0.0, -12.0, 985.0, None, 0.0, 69.0, 2022-01-03 11:00:00, 107.0, 107.1, 985.0
None, -7.961, 63.43, -5.6, None, 41.5, 5.135, 235.3, -13.0, None, -8.0, -8.2, 999.8, 0.4, -13.0, 985.0, None, -2.0, 63.0, 2022-01-03 12:00:00, 105.0, 105.4, 985.0
None, -7.94, 60.79, -5.6, None, 43.05, 5.43, 235.4, -14.0, None, -7.9, -8.2, 1000.9, -0.7, -14.0, 986.0, None, 0.0, 61.0, 2022-01-03 13:00:00, 105.0, 105.1, 986.0
None, -8.14, 61.86, -5.6, None, 41.29, 5.085, 237.0, -14.0, None, -8.1, -8.2, 1000.9, -0.3, -14.0, 986.0, None, 0.0, 62.0, 2022-01-03 14:00:00, 105.0, 104.7, 986.0
None, -8.53, 62.43, -5.6, None, 38.46, 5.849, 235.0, -14.0, None, -8.5, -8.5, 1001.9, 0.4, -14.0, 987.0, None, -1.0, 62.0, 2022-01-03 15:00:00, 104.0, 104.0, 987.0
None, -8.94, 61.6, -5.6, None, 37.99, 5.921, 233.4, -14.0, None, -8.9, -8.9, 1002.9, -0.7, -14.0, 988.0, None, -2.0, 62.0, 2022-01-03 16:00:00, 102.0, 102.4, 988.0
None, -9.59, 61.54, -5.6, None, 41.15, 5.186, 237.8, -15.0, None, -9.6, -9.6, 1003.0, 0.3, -15.0, 988.0, None, 0.0, 62.0, 2022-01-03 17:00:00, 102.0, 102.0, 988.0
None, -10.11, 60.84, -5.6, None, 40.91, 5.478, 235.1, -16.0, None, -10.1, -10.1, 1005.0, 0.5, -16.0, 990.0, None, -1.0, 61.0, 2022-01-03 18:00:00, 102.0, 101.5, 990.0
None, -10.5, 60.37, -10.1, None, 42.5, 4.798, 234.7, -16.0, None, -10.5, -10.5, 1006.0, -0.3, -16.0, 991.0, None, 0.0, 60.0, 2022-01-03 19:00:00, 101.0, 101.3, 991.0
None, -10.89, 59.98, -10.1, None, 39.95, 5.473, 236.8, -16.0, None, -10.9, -10.9, 1007.1, 0.1, -16.0, 992.0, None, 0.0, 60.0, 2022-01-03 20:00:00, 101.0, 100.9, 992.0
None, -11.2, 60.11, -10.1, None, 38.94, 4.919, 237.1, -17.0, None, -11.2, -11.2, 1008.1, 0.0, -17.0, 993.0, None, 0.0, 60.0, 2022-01-03 21:00:00, 101.0, 100.8, 993.0
None, -11.49, 58.55, -10.1, None, 37.4, 6.551, 235.3, -17.0, None, -11.5, -11.5, 1009.1, -0.2, -17.0, 994.0, None, 0.0, 59.0, 2022-01-03 22:00:00, 100.0, 100.3, 994.0
None, -11.94, 59.28, -10.1, None, 37.54, 6.295, 236.4, -18.0, None, -11.9, -11.9, 1010.2, 0.3, -18.0, 995.0, None, 0.0, 59.0, 2022-01-03 23:00:00, 100.0, 100.0, 995.0
