station_observations
air_temp, min_air_temp_snc_last_reset, mslp, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, time, avg_wnd_spd_10m_pst10mts, dwpt_temp, stn_pres
-5.8, -6.2, 1003.4, None, -2.6, 63.0, None, 2022-01-01 00:00:00, None, -11.0, 996.0
-6.0, -6.2, 1002.4, None, -2.6, 59.0, None, 2022-01-01 01:00:00, None, -12.0, 995.0
-5.9, -6.2, 1003.4, None, -2.6, 62.0, None, 2022-01-01 02:00:00, None, -11.0, 996.0
-5.5, -6.2, 1004.4, None, -2.6, 65.0, None, 2022-01-01 03:00:00, None, -10.0, 997.0
-5.2, -6.2, 1003.4, None, -2.6, 63.0, None, 2022-01-01 04:00:00, None, -10.0, 996.0
-3.7, -6.2, 1003.4, None, -2.6, 57.0, None, 2022-01-01 05:00:00, None, -10.0, 996.0
-3.8, -6.2, 1003.4, None, -2.6, 62.0, None, 2022-01-01 06:00:00, None, -9.0, 996.0
-4.8, -4.9, 1003.4, None, -3.5, 68.0, None, 2022-01-01 07:00:00, None, -9.0, 996.0
-4.6, -4.9, 1004.4, None, -3.5, 70.0, None, 2022-01-01 08:00:00, None, -9.0, 997.0
-4.2, -4.9, 1004.4, None, -3.5, 69.0, None, 2022-01-01 09:00:00, None, -9.0, 997.0
-3.4, -4.9, 1004.4, None, -3.3, 66.0, None, 2022-01-01 10:00:00, None, -8.0, 997.0
-2.9, -4.9, 1004.4, None, -2.9, 63.0, None, 2022-01-01 11:00:00, None, -8.0, 997.0
-2.3, -4.9, 1003.4, None, -2.2, 62.0, None, 2022-01-01 12:00:00, None, -8.0, 996.0
-1.9, -4.9, 1002.4, None, -1.6, 61.0, None, 2022-01-01 13:00:00, None, -8.0, 995.0
-1.0, -4.9, 1001.4, None, -1.0, 54.0, None, 2022-01-01 14:00:00, None, -8.0, 994.0
-0.5, -4.9, 1001.4, None, -0.4, 53.0, None, 2022-01-01 15:00:00, None, -8.0, 994.0
-0.1, -4.9, 1001.4, None, -0.1, 51.0, None, 2022-01-01 16:00:00, None, -8.0, 994.0
0.6, -4.9, 999.4, None, 0.6, 48.0, None, 2022-01-01 17:00:00, None, -9.0, 992.0
-0.4, -4.9, 999.4, None, 0.8, 62.0, None, 2022-01-01 18:00:00, None, -6.0, 992.0
-0.6, -0.6, 997.4, None, -0.4, 67.0, None, 2022-01-01 19:00:00, None, -5.0, 990.0
0.6, -0.6, 997.3, None, 0.6, 58.0, None, 2022-01-01 20:00:00, None, -7.0, 990.0
-0.1, -0.6, 996.3, None, 0.8, 59.0, None, 2022-01-01 21:00:00, None, -6.0, 989.0
0.9, -0.6, 996.3, None, 1.0, 57.0, None, 2022-01-01 22:00:00, None, -7.0, 989.0
1.4, -0.6, 995.3, None, 1.5, 52.0, None, 2022-01-01 23:00:00, None, -7.0, 988.0
0.7, -0.6, 993.3, None, 1.5, 54.0, None, 2022-01-02 00:00:00, None, -7.0, 986.0
3.3, -0.6, 993.3, None, 3.4, 51.0, None, 2022-01-02 01:00:00, None, -6.0, 986.0
4.1, -0.6, 993.3, None, 4.1, 52.0, None, 2022-01-02 02:00:00, None, -5.0, 986.0
3.6, -0.6, 993.3, None, 4.2, 54.0, None, 2022-01-02 03:00:00, None, -5.0, 986.0
0.6, -0.6, 994.3, None, 4.2, 87.0, None, 2022-01-02 04:00:00, None, -1.0, 987.0
1.0, -0.6, 993.3, None, 4.2, 85.0, None, 2022-01-02 05:00:00, None, -1.0, 986.0
1.9, -0.6, 992.3, None, 4.2, 79.0, None, 2022-01-02 06:00:00, None, -1.0, 985.0
2.6, 1.8, 992.3, None, 2.7, 74.0, None, 2022-01-02 07:00:00, None, -2.0, 985.0
3.0, 1.8, 991.2, None, 3.4, 69.0, None, 2022-01-02 08:00:00, None, -2.0, 984.0
3.7, 1.8, 992.2, None, 3.7, 62.0, None, 2022-01-02 09:00:00, None, -3.0, 985.0
4.2, 1.8, 991.2, None, 4.4, 60.0, None, 2022-01-02 10:00:00, None, -3.0, 984.0
4.3, 1.8, 990.2, None, 4.4, 63.0, None, 2022-01-02 11:00:00, None, -2.0, 983.0
5.1, 1.8, 989.2, None, 5.5, 62.0, None, 2022-01-02 12:00:00, None, -2.0, 982.0
6.1, 1.8, 989.2, None, 6.1, 61.0, None, 2022-01-02 13:00:00, None, -1.0, 982.0
5.3, 1.8, 988.2, None, 6.1, 65.0, None, 2022-01-02 14:00:00, None, -1.0, 981.0
5.4, 1.8, 987.2, None, 6.1, 68.0, None, 2022-01-02 15:00:00, None, 0.0, 980.0
5.7, 1.8, 985.2, None, 6.1, 69.0, None, 2022-01-02 16:00:00, None, 0.0, 978.0
5.0, 1.8, 985.2, None, 6.1, 78.0, None, 2022-01-02 17:00:00, None, 2.0, 978.0
4.4, 1.8, 984.2, None, 6.1, 82.0, None, 2022-01-02 18:00:00, None, 2.0, 977.0
5.2, 4.4, 983.2, None, 5.2, 77.0, None, 2022-01-02 19:00:00, None, 1.0, 976.0
