station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW
None, None, -20.24, 86.1, None, None, None, 2.022, 0.0, 3.097, 144.1, -22.0, -20.2, -21.1, 0.0, -22.0, -17.7, 86.0, None, 2022-01-01 00:00:00, 117.0, 117.4
None, None, -17.76, 84.9, None, None, None, 3.871, 0.0, 8.02, 153.1, -19.0, -17.8, -21.1, 0.1, -19.0, -17.7, 85.0, None, 2022-01-01 01:00:00, 117.0, 117.1
None, None, -16.78, 84.4, None, None, None, 2.08, 0.0, 7.082, 159.2, -18.0, -16.8, -21.1, 0.1, -18.0, -16.8, 84.0, None, 2022-01-01 02:00:00, 117.0, 117.2
None, None, -15.16, 83.2, None, None, None, 4.283, 0.0, 7.406, 147.6, -17.0, -15.2, -21.1, -0.1, -17.0, -15.1, 83.0, None, 2022-01-01 03:00:00, 117.0, 116.7
None, None, -14.15, 81.1, None, None, None, 5.69, 1.0, 8.48, 128.8, -17.0, -14.2, -21.1, -0.1, -17.0, -14.1, 81.0, None, 2022-01-01 04:00:00, 117.0, 117.0
None, None, -13.53, 82.0, None, None, None, 3.468, 0.0, 13.44, 112.8, -16.0, -13.5, -21.1, -0.1, -16.0, -13.7, 82.0, None, 2022-01-01 05:00:00, 117.0, 116.7
None, None, -13.78, 82.5, None, None, None, 2.272, 0.0, 7.786, 102.8, -16.0, -13.8, -21.1, 0.0, -16.0, -13.3, 83.0, None, 2022-01-01 06:00:00, 117.0, 116.7
None, None, -12.65, 81.8, None, None, None, 1.852, 0.0, 7.854, 96.0, -15.0, -12.7, -13.8, 0.0, -15.0, -12.6, 82.0, None, 2022-01-01 07:00:00, 117.0, 116.5
None, None, -12.11, 77.59, None, None, None, 1.874, 0.0, 10.04, 89.3, -15.0, -12.1, -13.8, -0.1, -15.0, -11.9, 78.0, None, 2022-01-01 08:00:00, 116.0, 116.4
None, None, -11.87, 76.7, None, None, None, 1.572, 0.0, 14.77, 83.6, -15.0, -11.9, -13.8, 0.0, -15.0, -11.5, 77.0, None, 2022-01-01 09:00:00, 116.0, 116.4
None, None, -11.83, 79.71, None, None, None, 1.337, 0.0, 16.57, 78.35, -14.0, -11.8, -13.8, 0.0, -14.0, -11.3, 80.0, None, 2022-01-01 10:00:00, 116.0, 116.1
None, None, -11.36, 77.3, None, None, None, 0.813, 0.0, 9.97, 74.82, -14.0, -11.4, -13.8, -0.1, -14.0, -11.1, 77.0, None, 2022-01-01 11:00:00, 116.0, 115.7
None, None, -10.14, 82.4, None, None, None, 1.904, 0.0, 6.031, 70.67, -12.0, -10.1, -13.8, 0.1, -12.0, -10.2, 82.0, None, 2022-01-01 12:00:00, 116.0, 115.6
None, None, -9.84, 82.8, None, None, None, 2.113, 0.0, 8.2, 63.25, -12.0, -9.8, -13.8, 0.0, -12.0, -9.5, 83.0, None, 2022-01-01 13:00:00, 116.0, 115.5
None, None, -9.2, 74.64, None, None, None, 1.433, 0.0, 8.79, 57.0, -13.0, -9.2, -13.8, -0.1, -13.0, -8.9, 75.0, None, 2022-01-01 14:00:00, 115.0, 115.3
None, None, -10.08, 83.0, None, None, None, 0.441, 0.0, 8.16, 53.99, -12.0, -10.1, -13.8, -0.1, -12.0, -8.9, 83.0, None, 2022-01-01 15:00:00, 116.0, 115.5
None, None, -10.75, 84.9, None, None, None, 0.659, 0.0, 10.52, 54.28, -12.0, -10.8, -13.8, -0.2, -12.0, -8.9, 85.0, None, 2022-01-01 16:00:00, 115.0, 115.4
None, None, -10.66, 87.4, None, None, None, 0.842, 0.0, 9.04, 57.11, -12.0, -10.7, -13.8, 0.0, -12.0, -8.9, 87.0, None, 2022-01-01 17:00:00, 115.0, 115.3
None, None, -9.76, 87.3, None, None, None, 0.367, 0.0, 9.83, 59.24, -11.0, -9.8, -13.8, 0.1, -11.0, -8.9, 87.0, None, 2022-01-01 18:00:00, 115.0, 115.3
None, None, -9.23, 88.6, None, None, None, 0.805, 0.0, 12.3, 58.35, -11.0, -9.2, -10.0, 0.0, -11.0, -9.2, 89.0, None, 2022-01-01 19:00:00, 115.0, 115.2
None, None, -9.37, 90.6, None, None, None, 0.639, 0.0, 7.561, 55.3, -10.0, -9.4, -10.0, 0.0, -10.0, -8.9, 91.0, None, 2022-01-01 20:00:00, 115.0, 114.8
None, None, -9.64, 91.7, None, None, None, 0.872, 0.0, 9.63, 55.96, -11.0, -9.6, -10.2, 0.0, -11.0, -8.9, 92.0, None, 2022-01-01 21:00:00, 115.0, 114.6
