station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -14.45, 89.8, -14.5, 90.0, -16.0, -14.5, -17.5, 991.9, 0.0, -16.0, 894.0, 0.0, 2022-01-01 00:00:00, 48.0, 48.22, 894.0
None, -15.32, 87.5, -14.4, 88.0, -17.0, -15.3, -17.5, 989.6, 0.0, -17.0, 892.0, 0.0, 2022-01-01 01:00:00, 48.0, 47.97, 892.0
None, -15.81, 88.4, -14.4, 88.0, -17.0, -15.8, -17.5, 988.5, 0.0, -17.0, 891.0, 0.0, 2022-01-01 02:00:00, 48.0, 47.95, 891.0
None, -15.23, 89.3, -14.4, 89.0, -16.0, -15.2, -17.5, 987.2, 0.0, -16.0, 890.0, 0.0, 2022-01-01 03:00:00, 48.0, 48.08, 890.0
None, -15.22, 88.9, -14.4, 89.0, -16.0, -15.2, -17.5, 985.0, 0.0, -16.0, 888.0, 0.0, 2022-01-01 04:00:00, 48.0, 48.29, 888.0
None, -15.17, 88.3, -14.4, 88.0, -17.0, -15.2, -17.5, 983.8, 0.0, -17.0, 887.0, 0.0, 2022-01-01 05:00:00, 48.0, 47.98, 887.0
None, -15.56, 87.8, -14.4, 88.0, -17.0, -15.6, -17.5, 982.7, 0.0, -17.0, 886.0, 1.0, 2022-01-01 06:00:00, 48.0, 48.24, 886.0
None, -16.05, 87.7, -15.6, 88.0, -17.0, -16.1, -16.1, 980.5, 0.0, -17.0, 884.0, 0.0, 2022-01-01 07:00:00, 48.0, 48.08, 884.0
2.0, -16.39, 86.8, -15.6, 87.0, -18.0, -16.4, -16.4, 979.3, 0.0, -18.0, 883.0, 0.0, 2022-01-01 08:00:00, 48.0, 48.0, 883.0
2.0, -16.77, 87.5, -15.6, 88.0, -18.0, -16.8, -16.8, 980.5, 0.0, -18.0, 884.0, 0.0, 2022-01-01 09:00:00, 48.0, 48.0, 884.0
