station_observations
pcpn_amt_pst24hrs, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, max_air_temp_snc_last_reset, rel_hum, time, dwpt_temp, stn_pres
None, 5.5, -0.8, None, 0.0, 0.0, 7.4, 85.0, 2022-03-29 14:00:00, 3.0, 974.0
None, 7.5, -0.8, None, 0.0, 0.0, 7.5, 66.0, 2022-03-29 15:00:00, 2.0, 973.0
None, 8.0, -0.8, None, 0.0, 0.0, 8.4, 59.0, 2022-03-29 16:00:00, 1.0, 972.0
None, 6.5, -0.8, None, 0.0, 0.0, 8.4, 66.0, 2022-03-29 17:00:00, 1.0, 972.0
None, 6.5, -0.8, None, 0.0, 0.0, 8.4, 67.0, 2022-03-29 18:00:00, 1.0, 971.0
None, 6.2, 6.2, None, 0.0, 0.0, 6.6, 69.0, 2022-03-29 19:00:00, 1.0, 971.0
None, 3.7, 3.5, None, 0.0, 0.0, 6.6, 81.0, 2022-03-29 20:00:00, 1.0, 970.0
None, 2.2, 2.1, 1008.9, 0.0, 0.0, 6.6, 88.0, 2022-03-29 21:00:00, 0.0, 970.0
None, 1.8, 1.8, 1009.9, 0.0, 0.0, 6.6, 88.0, 2022-03-29 22:00:00, 0.0, 971.0
None, 1.2, 1.1, 1009.8, 0.0, 0.0, 6.6, 90.0, 2022-03-29 23:00:00, 0.0, 971.0
None, 0.8, 0.6, 1009.8, 0.0, 0.0, 6.6, 93.0, 2022-03-30 00:00:00, 0.0, 971.0
None, 1.0, 0.5, 1009.7, 0.0, 0.0, 6.6, 89.0, 2022-03-30 01:00:00, -1.0, 971.0
None, 1.0, 0.5, 1010.8, 0.0, 0.0, 6.6, 89.0, 2022-03-30 02:00:00, -1.0, 972.0
None, 0.0, -0.2, 1010.8, 0.0, 0.0, 6.6, 93.0, 2022-03-30 03:00:00, -1.0, 972.0
None, -0.7, -1.0, 1011.8, 0.0, 0.0, 6.6, 93.0, 2022-03-30 04:00:00, -1.0, 973.0
None, -1.2, -1.2, 1011.9, 0.0, 0.0, 6.6, 94.0, 2022-03-30 05:00:00, -2.0, 973.0
None, -0.7, -1.3, 1011.9, 0.0, 0.0, 6.6, 91.0, 2022-03-30 06:00:00, -2.0, 973.0
None, 0.1, -1.1, 1012.9, 0.0, 0.0, -0.1, 90.0, 2022-03-30 07:00:00, -1.0, 974.0
None, -0.9, -1.1, 1014.1, 0.0, 0.0, 0.3, 93.0, 2022-03-30 08:00:00, -2.0, 975.0
None, 0.5, -1.1, 1014.1, 0.0, 0.0, 0.4, 89.0, 2022-03-30 09:00:00, -1.0, 975.0
None, 4.4, -1.1, 1013.9, 0.0, 0.0, 4.3, 68.0, 2022-03-30 10:00:00, -1.0, 975.0
None, 7.3, -1.1, 1013.9, 0.0, 0.0, 7.2, 48.0, 2022-03-30 11:00:00, -3.0, 975.0
None, 7.9, -1.1, 1013.8, 0.0, 0.0, 8.2, 42.0, 2022-03-30 12:00:00, -4.0, 975.0
None, 7.9, -1.1, 1014.9, 0.0, 0.0, 8.2, 45.0, 2022-03-30 13:00:00, -3.0, 976.0
None, 7.4, -1.1, 1014.9, 0.0, 0.0, 8.2, 45.0, 2022-03-30 14:00:00, -4.0, 976.0
None, 9.0, -1.1, 1014.9, 0.0, 0.0, 9.2, 39.0, 2022-03-30 15:00:00, -4.0, 976.0
None, 9.7, -1.1, 1014.9, 0.0, 0.0, 9.7, 36.0, 2022-03-30 16:00:00, -5.0, 976.0
None, 7.4, -1.1, 1015.0, 0.0, 0.0, 10.3, 53.0, 2022-03-30 17:00:00, -1.0, 976.0
None, 5.5, -1.1, 1016.1, 0.0, 0.0, 10.3, 63.0, 2022-03-30 18:00:00, -1.0, 977.0
None, 5.6, 5.2, 1017.1, 0.0, 0.0, 5.8, 65.0, 2022-03-30 19:00:00, 0.0, 978.0
None, 4.1, 4.2, 1017.2, 0.0, 0.0, 5.8, 76.0, 2022-03-30 20:00:00, 0.0, 978.0
None, 3.2, 3.0, 1017.2, 0.0, 0.0, 5.8, 81.0, 2022-03-30 21:00:00, 0.0, 978.0
None, 1.9, 1.4, 1018.1, 0.0, 0.0, 5.8, 86.0, 2022-03-30 22:00:00, 0.0, 979.0
None, 1.2, 1.0, 1018.0, 0.0, 0.0, 5.8, 87.0, 2022-03-30 23:00:00, 0.0, 979.0
