pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, 18.36, 40.59, 25.1, 41.0, 5.0, 18.4, 18.2, 5.0, 0.0, None,2022-08-27 00:00:00, None, None,35
None, 17.77, 42.9, 25.1, 43.0, 5.0, 17.8, 16.9, 5.0, 0.0, None,2022-08-27 01:00:00, None, None,35
None, 16.56, 43.28, 25.1, 43.0, 5.0, 16.6, 16.5, 5.0, 1.0, None,2022-08-27 02:00:00, None, None,35
None, 14.35, 50.79, 25.1, 51.0, 5.0, 14.4, 14.3, 5.0, 0.0, None,2022-08-27 03:00:00, None, None,35
None, 12.64, 58.09, 25.1, 58.0, 5.0, 12.6, 12.4, 5.0, 0.1, None,2022-08-27 04:00:00, None, None,35
None, 12.25, 62.07, 25.1, 62.0, 5.0, 12.3, 12.1, 5.0, 0.8, None,2022-08-27 05:00:00, None, None,35
None, 11.89, 65.25, 25.1, 65.0, 6.0, 11.9, 11.7, 6.0, 0.0, None,2022-08-27 06:00:00, None, None,35
None, 12.14, 65.53, 12.5, 66.0, 6.0, 12.1, 11.6, 6.0, 0.0, None,2022-08-27 07:00:00, None, None,35
None, 12.83, 65.71, 13.3, 66.0, 6.0, 12.8, 11.6, 6.0, 0.0, None,2022-08-27 08:00:00, None, None,35
None, 14.45, 60.32, 14.5, 60.0, 7.0, 14.5, 11.6, 7.0, -1.0, None,2022-08-27 09:00:00, None, None,35
None, 17.42, 44.46, 17.3, 44.0, 6.0, 17.4, 11.6, 6.0, 0.0, None,2022-08-27 10:00:00, None, None,35
None, 18.81, 36.37, 18.9, 36.0, 3.0, 18.8, 11.6, 3.0, -1.0, None,2022-08-27 11:00:00, None, None,35
None, 19.41, 35.43, 19.8, 35.0, 4.0, 19.4, 11.6, 4.0, 0.0, None,2022-08-27 12:00:00, None, None,35
