CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 11.14, None, None, None, None, 5.1, 22.26, -7999.0, 1.509, 78.46, -6999.0, 1.5, 11.1, 10.1, -7999.0, None, None, 78.0, 15.6, None, None, -6999.0, None,2020-09-09 00:00:00, 0.0, None, None,37
None, 11.87, None, None, None, None, 4.8, 21.5, -7999.0, 1.846, 81.3, -6999.0, 1.8, 11.9, 10.1, -7999.0, None, None, 81.0, 15.6, None, None, -6999.0, None,2020-09-09 01:00:00, 0.0, None, None,37
None, 12.66, None, None, None, None, None, 27.05, None, 2.423, 89.7, -6999.0, None, 12.7, 10.1, None, None, None, None, 15.6, None, None, -6999.0, None,2020-09-09 02:00:00, None, None, None,37
None, 11.51, None, None, None, None, None, 47.27, None, 1.337, 144.5, -6999.0, None, 11.5, 10.1, None, None, None, None, 15.6, None, None, -6999.0, None,2020-09-09 03:00:00, None, None, None,37
None, 11.75, None, None, None, None, 6.3, 20.51, -7999.0, 3.489, 187.6, -6999.0, 3.5, 11.8, 10.1, -7999.0, None, None, 188.0, 15.6, None, None, -6999.0, None,2020-09-09 04:00:00, 0.0, None, None,37
None, 11.56, None, None, None, None, 7.5, 21.37, -7999.0, 3.449, 191.3, -6999.0, 3.4, 11.6, 10.1, -7999.0, None, None, 191.0, 15.6, None, None, -6999.0, None,2020-09-09 05:00:00, 0.0, None, None,37
None, 10.36, None, None, None, None, 8.0, 21.38, -7999.0, 3.754, 186.4, -6999.0, 3.8, 10.4, 10.1, -7999.0, None, None, 186.0, 15.6, None, None, -6999.0, None,2020-09-09 06:00:00, 0.0, None, None,37
None, 10.25, None, None, None, None, 10.0, 22.78, -7999.0, 4.129, 184.5, -6999.0, 4.1, 10.3, 10.0, -7999.0, None, None, 185.0, 10.4, None, None, -6999.0, None,2020-09-09 07:00:00, 0.0, None, None,37
None, 10.9, None, None, None, None, 10.5, 21.59, -7999.0, 3.636, 185.9, -6999.0, 3.6, 10.9, 10.0, -7999.0, None, None, 186.0, 10.9, None, None, -6999.0, None,2020-09-09 08:00:00, 0.0, None, None,37
None, 11.28, None, None, None, None, 7.5, 21.5, -7999.0, 3.311, 180.4, -6999.0, 3.3, 11.3, 10.0, -7999.0, None, None, 180.0, 11.4, None, None, -6999.0, None,2020-09-09 09:00:00, 0.0, None, None,37
None, 11.77, None, None, None, None, 5.5, 21.07, -7999.0, 2.939, 179.7, -6999.0, 2.9, 11.8, 10.0, -7999.0, None, None, 180.0, 11.8, None, None, -6999.0, None,2020-09-09 10:00:00, 0.0, None, None,37
None, 12.56, None, None, None, None, 5.4, 22.36, -7999.0, 2.094, 190.8, -6999.0, 2.1, 12.6, 10.0, -7999.0, None, None, 191.0, 12.6, None, None, -6999.0, None,2020-09-09 11:00:00, 0.0, None, None,37
None, 14.68, None, None, None, None, 6.9, 40.7, -7999.0, 1.744, 236.1, -6999.0, 1.7, 14.7, 10.0, -7999.0, None, None, 236.0, 14.7, None, None, -6999.0, None,2020-09-09 12:00:00, 0.0, None, None,37
None, 16.44, None, None, None, None, 13.1, 57.81, -7999.0, 2.123, 338.4, -6999.0, 2.1, 16.4, 10.0, -7999.0, None, None, 338.0, 17.4, None, None, -6999.0, None,2020-09-09 13:00:00, 0.0, None, None,37
None, 13.88, None, None, None, None, 9.0, 33.29, -7999.0, 3.047, 49.47, -6999.0, 3.0, 13.9, 10.0, -7999.0, None, None, 49.0, 17.4, None, None, -6999.0, None,2020-09-09 14:00:00, 0.0, None, None,37
None, 18.43, None, None, None, None, 8.7, 44.72, -7999.0, 3.038, 17.56, -6999.0, 3.0, 18.4, 10.0, -7999.0, None, None, 18.0, 18.4, None, None, -6999.0, None,2020-09-09 15:00:00, 0.0, None, None,37
None, 19.05, None, None, None, None, 11.5, 45.85, -7999.0, 3.787, 342.6, -6999.0, 3.8, 19.1, 10.0, -7999.0, None, None, 343.0, 20.0, None, None, -6999.0, None,2020-09-09 16:00:00, 0.0, None, None,37
None, 19.31, None, None, None, None, 13.6, 57.09, -7999.0, 3.092, 319.6, -6999.0, 3.1, 19.3, 10.0, -7999.0, None, None, 320.0, 20.0, None, None, -6999.0, None,2020-09-09 17:00:00, 0.0, None, None,37
None, 17.56, None, None, None, None, 12.4, 50.57, -7999.0, 2.897, 336.6, -6999.0, 2.9, 17.6, 10.0, -7999.0, None, None, 337.0, 20.1, None, None, -6999.0, None,2020-09-09 18:00:00, 0.0, None, None,37
None, 16.26, None, None, None, None, 7.6, 47.61, -7999.0, 1.624, 281.4, -6999.0, 1.6, 16.3, 16.3, -7999.0, None, None, 281.0, 17.8, None, None, -6999.0, None,2020-09-09 19:00:00, 0.0, None, None,37
None, 13.5, None, None, None, None, 9.0, 52.48, -7999.0, 2.173, 211.9, -6999.0, 2.2, 13.5, 13.5, -7999.0, None, None, 212.0, 17.8, None, None, -6999.0, None,2020-09-09 20:00:00, 0.0, None, None,37
None, 12.75, None, None, None, None, 10.7, 20.77, -7999.0, 3.8, 178.9, -6999.0, 3.8, 12.8, 12.5, -7999.0, None, None, 179.0, 17.8, None, None, -6999.0, None,2020-09-09 21:00:00, 0.0, None, None,37
None, 12.65, None, None, None, None, 6.3, 17.17, -7999.0, 3.355, 174.7, -6999.0, 3.4, 12.7, 12.5, -7999.0, None, None, 175.0, 17.8, None, None, -6999.0, None,2020-09-09 22:00:00, 0.0, None, None,37
None, 11.97, None, None, None, None, 6.8, 23.41, -7999.0, 3.036, 165.4, -6999.0, 3.0, 12.0, 12.0, -7999.0, None, None, 165.0, 17.8, None, None, -6999.0, None,2020-09-09 23:00:00, 0.0, None, None,37
None, 12.21, None, None, None, None, 10.0, 21.65, -7999.0, 4.173, 184.8, -6999.0, 4.2, 12.2, 12.0, -7999.0, None, None, 185.0, 17.8, None, None, -6999.0, None,2020-09-10 00:00:00, 0.0, None, None,37
