RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,week_of_year
44.41, None, None, 6.4, 1.311, 29.45, -4.0, 7.2, None, None, 29.0, None, None, None, None, None, None, None, 7.629, None, 10.7, 44.0, None, 39.19, 1.3, 7.6, 0.0, None,2020-09-09 00:00:00,37
43.02, None, None, 4.0, 1.124, 61.95, -4.0, 7.2, None, None, 62.0, None, None, None, None, None, None, None, 7.791, None, 10.7, 43.0, None, 19.13, 1.1, 7.8, 0.1, None,2020-09-09 01:00:00,37
43.53, None, None, 4.0, 1.271, 80.1, -4.0, 7.2, None, None, 80.0, None, None, None, None, None, None, None, 7.531, None, 10.7, 44.0, None, 14.83, 1.3, 7.5, 0.1, None,2020-09-09 02:00:00,37
43.0, None, None, 3.7, 1.355, 76.96, -4.0, 7.2, None, None, 77.0, None, None, None, None, None, None, None, 7.784, None, 10.7, 43.0, None, 11.48, 1.4, 7.8, 0.0, None,2020-09-09 03:00:00,37
42.03, None, None, 7.0, 2.494, 72.4, -4.0, 7.2, None, None, 72.0, None, None, None, None, None, None, None, 8.06, None, 10.7, 42.0, None, 17.67, 2.5, 8.1, 0.0, None,2020-09-09 04:00:00,37
42.47, None, None, 6.7, 2.445, 68.21, -4.0, 7.2, None, None, 68.0, None, None, None, None, None, None, None, 8.05, None, 10.7, 42.0, None, 17.52, 2.4, 8.1, 0.1, None,2020-09-09 05:00:00,37
43.22, None, None, 4.7, 1.732, 67.87, -4.0, 7.2, None, None, 68.0, None, None, None, None, None, None, None, 7.994, None, 10.7, 43.0, None, 15.3, 1.7, 8.0, 0.1, None,2020-09-09 06:00:00,37
35.23, None, None, 5.0, 0.847, 107.7, -3.0, 8.0, None, None, 108.0, None, None, None, None, None, None, None, 11.34, None, 11.3, 35.0, None, 40.36, 0.8, 11.3, -0.6, None,2020-09-09 07:00:00,37
38.73, None, None, None, 0.693, 178.1, -4.0, 8.0, None, None, None, None, None, None, None, None, None, None, 10.04, None, 12.2, 39.0, None, 58.66, None, 10.0, None, None,2020-09-09 08:00:00,37
34.41, None, None, 3.8, 0.85, 289.0, -4.0, 8.0, None, None, 289.0, None, None, None, None, None, None, None, 11.34, None, 12.2, 34.0, None, 42.02, 0.9, 11.3, -0.5, None,2020-09-09 09:00:00,37
34.78, None, None, 6.4, 2.246, 220.6, -3.0, 8.0, None, None, 221.0, None, None, None, None, None, None, None, 12.37, None, 12.3, 35.0, None, 28.81, 2.2, 12.4, -0.2, None,2020-09-09 10:00:00,37
33.43, None, None, 6.0, 1.16, 298.4, -2.0, 8.0, None, None, 298.0, None, None, None, None, None, None, None, 13.62, None, 13.6, 33.0, None, 44.67, 1.2, 13.6, 0.5, None,2020-09-09 11:00:00,37
35.76, None, None, 6.4, 1.086, 244.1, -1.0, 8.0, None, None, 244.0, None, None, None, None, None, None, None, 13.94, None, 14.2, 36.0, None, 61.71, 1.1, 13.9, 0.1, None,2020-09-09 12:00:00,37
34.67, None, None, 7.7, 1.069, 263.8, -1.0, 8.0, None, None, 264.0, None, None, None, None, None, None, None, 14.66, None, 14.7, 35.0, None, 66.22, 1.1, 14.7, 0.0, None,2020-09-09 13:00:00,37
32.05, None, None, 6.9, 1.357, 299.8, -1.0, 8.0, None, None, 300.0, None, None, None, None, None, None, None, 15.83, None, 16.0, 32.0, None, 64.96, 1.4, 15.8, -0.2, None,2020-09-09 14:00:00,37
30.22, None, None, 8.3, 1.659, 302.9, 0.0, 8.0, None, None, 303.0, None, None, None, None, None, None, None, 17.98, None, 17.9, 30.0, None, 58.89, 1.7, 18.0, -0.1, None,2020-09-09 15:00:00,37
