air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
11.5, 11.54, 11.5, 29.2, -6999.0,2020-09-09 00:00:00, -6999.0,37
10.5, 10.47, 10.5, 29.2, -6999.0,2020-09-09 01:00:00, -6999.0,37
9.8, 9.77, 9.8, 29.2, -6999.0,2020-09-09 02:00:00, -6999.0,37
9.3, 9.25, 9.3, 29.2, -6999.0,2020-09-09 03:00:00, -6999.0,37
8.6, 8.64, 8.7, 29.2, -6999.0,2020-09-09 04:00:00, -6999.0,37
8.2, 8.17, 8.2, 29.2, -6999.0,2020-09-09 05:00:00, -6999.0,37
7.8, 7.794, 7.8, 29.2, -6999.0,2020-09-09 06:00:00, -6999.0,37
7.5, 7.487, 7.5, 7.8, -6999.0,2020-09-09 07:00:00, -6999.0,37
8.0, 7.991, 7.5, 8.0, -6999.0,2020-09-09 08:00:00, -6999.0,37
17.4, 17.41, 7.5, 17.3, -6999.0,2020-09-09 09:00:00, -6999.0,37
24.5, 24.46, 7.5, 24.4, -6999.0,2020-09-09 10:00:00, -6999.0,37
29.3, 29.32, 7.5, 29.3, -6999.0,2020-09-09 11:00:00, -6999.0,37
31.4, 31.35, 7.5, 31.3, -6999.0,2020-09-09 12:00:00, -6999.0,37
33.3, 33.32, 7.5, 33.3, -6999.0,2020-09-09 13:00:00, -6999.0,37
34.2, 34.18, 7.5, 34.2, -6999.0,2020-09-09 14:00:00, -6999.0,37
34.2, 34.15, 7.5, 34.3, -6999.0,2020-09-09 15:00:00, -6999.0,37
33.1, 33.1, 7.5, 34.3, -6999.0,2020-09-09 16:00:00, -6999.0,37
32.5, 32.51, 7.5, 34.3, -6999.0,2020-09-09 17:00:00, -6999.0,37
31.7, 31.69, 7.5, 34.3, -6999.0,2020-09-09 18:00:00, -6999.0,37
28.5, 28.47, 28.5, 31.7, -6999.0,2020-09-09 19:00:00, -6999.0,37
23.0, 22.99, 23.1, 31.7, -6999.0,2020-09-09 20:00:00, -6999.0,37
18.0, 17.99, 18.0, 31.7, -6999.0,2020-09-09 21:00:00, -6999.0,37
15.7, 15.67, 15.7, 31.7, -6999.0,2020-09-09 22:00:00, -6999.0,37
14.4, 14.36, 14.4, 31.7, -6999.0,2020-09-09 23:00:00, -6999.0,37
13.2, 13.16, 13.2, 31.7, -6999.0,2020-09-10 00:00:00, -6999.0,37
12.2, 12.19, 12.2, 31.7, -6999.0,2020-09-10 01:00:00, -6999.0,37
11.3, 11.31, 11.3, 31.7, -6999.0,2020-09-10 02:00:00, -6999.0,37
10.7, 10.74, 10.8, 31.7, -6999.0,2020-09-10 03:00:00, -6999.0,37
10.2, 10.15, 10.2, 31.7, -6999.0,2020-09-10 04:00:00, -6999.0,37
9.7, 9.72, 9.7, 31.7, -6999.0,2020-09-10 05:00:00, -6999.0,37
9.3, 9.3, 9.3, 31.7, -6999.0,2020-09-10 06:00:00, -6999.0,37
8.9, 8.87, 8.9, 9.3, -6999.0,2020-09-10 07:00:00, -6999.0,37
9.2, 9.15, 8.8, 9.3, -6999.0,2020-09-10 08:00:00, -6999.0,37
17.4, 17.36, 8.8, 17.2, -6999.0,2020-09-10 09:00:00, -6999.0,37
24.4, 24.37, 8.8, 24.3, -6999.0,2020-09-10 10:00:00, -6999.0,37
29.7, 29.73, 8.8, 29.6, -6999.0,2020-09-10 11:00:00, -6999.0,37
33.5, 33.46, 8.8, 33.4, -6999.0,2020-09-10 12:00:00, -6999.0,37
34.9, 34.86, 8.8, 34.9, -6999.0,2020-09-10 13:00:00, -6999.0,37
35.8, 35.75, 8.8, 35.8, -6999.0,2020-09-10 14:00:00, -6999.0,37
35.7, 35.69, 8.8, 36.1, -6999.0,2020-09-10 15:00:00, -6999.0,37
None, 35.12, None, None, None,2020-09-10 16:00:00, None,37
None, 34.12, None, None, None,2020-09-10 17:00:00, None,37
32.0, 31.96, 8.8, 36.1, -6999.0,2020-09-10 18:00:00, -6999.0,37
30.1, 30.07, 30.1, 32.0, -6999.0,2020-09-10 19:00:00, -6999.0,37
24.1, 24.06, 24.2, 32.0, -6999.0,2020-09-10 20:00:00, -6999.0,37
19.3, 19.33, 19.4, 32.0, -6999.0,2020-09-10 21:00:00, -6999.0,37
17.0, 16.96, 17.0, 32.0, -6999.0,2020-09-10 22:00:00, -6999.0,37
15.4, 15.4, 15.4, 32.0, -6999.0,2020-09-10 23:00:00, -6999.0,37
14.4, 14.4, 14.4, 32.0, -6999.0,2020-09-11 00:00:00, -6999.0,37
13.4, 13.44, 13.5, 32.0, -6999.0,2020-09-11 01:00:00, -6999.0,37
12.6, 12.59, 12.6, 32.0, -6999.0,2020-09-11 02:00:00, -6999.0,37
12.0, 11.96, 12.0, 32.0, -6999.0,2020-09-11 03:00:00, -6999.0,37
11.4, 11.4, 11.4, 32.0, -6999.0,2020-09-11 04:00:00, -6999.0,37
10.9, 10.9, 10.9, 32.0, -6999.0,2020-09-11 05:00:00, -6999.0,37
10.5, 10.52, 10.5, 32.0, -6999.0,2020-09-11 06:00:00, -6999.0,37
10.4, 10.38, 10.4, 10.5, -6999.0,2020-09-11 07:00:00, -6999.0,37
10.4, 10.44, 10.3, 10.5, -6999.0,2020-09-11 08:00:00, -6999.0,37
18.0, 17.98, 10.3, 17.8, -6999.0,2020-09-11 09:00:00, -6999.0,37
26.7, 26.73, 10.3, 26.6, -6999.0,2020-09-11 10:00:00, -6999.0,37
31.3, 31.28, 10.3, 31.3, -6999.0,2020-09-11 11:00:00, -6999.0,37
35.0, 34.96, 10.3, 34.9, -6999.0,2020-09-11 12:00:00, -6999.0,37
37.0, 37.0, 10.3, 37.0, -6999.0,2020-09-11 13:00:00, -6999.0,37
