CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,PRECIP_DETECTOR_RATIO,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None, None, None, None, None, 9.7, None, None, None, None, 3.0, 0.3, 12.6, 11.8, None, None, None, 225.0, 12.8, None, None, 51.0, None,2020-09-09 10:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 12.64, 43.69, None, None, 22.1, 64.01, 2.917, None, 178.3, 1.0, 2.9, 12.6, 11.8, 0.0, 1.0, None, 178.0, 13.3, None, None, 44.0, None,2020-09-09 11:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 13.2, 42.07, None, None, 23.3, 41.79, 9.66, None, 114.8, 1.0, 9.7, 13.2, 11.8, 0.0, 1.0, None, 115.0, 13.3, None, None, 42.0, None,2020-09-09 12:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 15.16, 32.98, None, None, 17.6, 44.28, 5.411, None, 131.9, -1.0, 5.4, 15.2, 11.8, 0.0, -1.0, None, 132.0, 15.2, None, None, 33.0, None,2020-09-09 13:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 17.94, 25.62, None, None, 11.4, 69.33, 1.006, None, 304.0, -2.0, 1.0, 17.9, 11.8, 0.0, -2.0, None, 304.0, 18.0, None, None, 26.0, None,2020-09-09 14:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 16.84, 24.15, None, None, 17.8, 53.92, 5.106, None, 28.07, -4.0, 5.1, 16.8, 11.8, 0.0, -4.0, None, 28.0, 18.3, None, None, 24.0, None,2020-09-09 15:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 17.65, 33.11, None, None, 17.9, 67.33, 1.794, None, 9.62, 1.0, 1.8, 17.7, 11.8, 0.0, 1.0, None, 10.0, 18.9, None, None, 33.0, None,2020-09-09 16:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 18.89, 32.1, None, None, 18.6, 55.04, 4.104, None, 339.6, 2.0, 4.1, 18.9, 11.8, 0.0, 2.0, None, 340.0, 18.9, None, None, 32.0, None,2020-09-09 17:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 16.62, 35.44, None, None, 19.0, 5.642, 10.72, None, 318.8, 1.0, 10.7, 16.6, 11.8, 0.0, 1.0, None, 319.0, 18.9, None, None, 35.0, None,2020-09-09 18:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 10.86, 49.39, None, None, 12.0, 67.89, 2.375, None, 342.7, 1.0, 2.4, 10.9, 10.7, None, 1.0, None, 343.0, 11.1, None, None, 49.0, None,2020-09-10 07:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 12.01, 31.73, None, None, 9.1, 33.18, 4.975, None, 163.7, -4.0, 5.0, 12.0, 10.7, 0.0, -4.0, None, 164.0, 12.0, None, None, 32.0, None,2020-09-10 08:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 13.11, 31.66, None, None, 8.6, 27.52, 5.006, None, 136.0, -3.0, 5.0, 13.1, 10.7, 0.0, -3.0, None, 136.0, 13.2, None, None, 32.0, None,2020-09-10 09:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 14.68, 41.22, None, None, 5.6, 58.63, 0.691, None, 40.45, 2.0, 0.7, 14.7, 10.7, 0.0, 2.0, None, 40.0, 14.7, None, None, 41.0, None,2020-09-10 10:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 15.39, 44.03, None, None, 14.7, 16.3, 4.746, None, 293.8, 3.0, 4.7, 15.4, 10.7, 0.0, 3.0, None, 294.0, 15.7, None, None, 44.0, None,2020-09-10 11:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 16.42, 35.86, None, None, 13.1, 19.1, 3.939, None, 308.6, 1.0, 3.9, 16.4, 10.7, 0.0, 1.0, None, 309.0, 16.5, None, None, 36.0, None,2020-09-10 12:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 17.22, 35.59, None, None, 13.3, 9.06, 6.089, None, 306.6, 2.0, 6.1, 17.2, 10.7, 0.0, 2.0, None, 307.0, 17.4, None, None, 36.0, None,2020-09-10 13:00:00, -6999.0, None, -6999.0, -6999.0,37
None, 18.08, 32.31, None, None, 19.2, 4.442, 9.69, None, 304.3, 1.0, 9.7, 18.1, 10.7, 0.0, 1.0, None, 304.0, 18.1, None, None, 32.0, None,2020-09-10 14:00:00, -6999.0, None, -6999.0, -6999.0,37
