WDIR_VECT,TEMP_MEAN,WSPD_SCLR,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, 0.157,77.7,2016-04-01 00:00:00,10.59,14
None, None, 0.462,80.2,2016-04-01 01:00:00,9.97,14
None, None, 0.971,78.2,2016-04-01 02:00:00,10.3,14
None, None, 1.561,78.7,2016-04-01 03:00:00,10.08,14
None, None, 0.768998,79.5,2016-04-01 04:00:00,9.75,14
None, None, 0.768998,80.9,2016-04-01 05:00:00,9.31,14
None, None, 0.509,83.5,2016-04-01 06:00:00,8.84,14
None, None, 1.069,82.2,2016-04-01 07:00:00,9.83,14
None, None, 0.531,69.29,2016-04-01 08:00:00,12.71,14
None, None, 0.857999,63.12,2016-04-01 09:00:00,13.56,14
None, None, 1.968,69.48,2016-04-01 10:00:00,12.41,14
None, None, 3.313,73.3,2016-04-01 11:00:00,12.55,14
None, None, 5.475,70.2,2016-04-01 12:00:00,12.88,14
None, None, 4.09,68.07,2016-04-01 13:00:00,13.73,14
None, None, 5.233,68.33,2016-04-01 14:00:00,14.3,14
None, None, 4.728,65.2,2016-04-01 15:00:00,15.0,14
None, None, 5.028,64.04,2016-04-01 16:00:00,15.25,14
None, None, 4.292,61.47,2016-04-01 17:00:00,15.48,14
None, None, 3.186,60.66,2016-04-01 18:00:00,15.54,14
None, None, 0.167998,71.7,2016-04-01 19:00:00,13.83,14
None, None, 0.358,78.3,2016-04-01 20:00:00,12.44,14
None, None, 0.237,79.9,2016-04-01 21:00:00,11.63,14
None, None, 1.037,76.2,2016-04-01 22:00:00,11.81,14
None, None, 1.342,79.1,2016-04-01 23:00:00,11.02,14
None, None, 1.053,81.0,2016-04-02 00:00:00,10.68,14
None, None, 1.172,83.1,2016-04-02 01:00:00,10.2,14
None, None, 1.494,84.0,2016-04-02 02:00:00,9.8,14
None, None, 1.177,86.4,2016-04-02 03:00:00,9.48,14
None, None, 0.640999,88.4,2016-04-02 04:00:00,8.98,14
None, None, 1.314,90.6,2016-04-02 05:00:00,8.77,14
None, None, 1.951,90.4,2016-04-02 06:00:00,9.27,14
None, None, 2.828,84.9,2016-04-02 07:00:00,10.3,14
None, None, 2.746,77.4,2016-04-02 08:00:00,11.19,14
None, None, 2.259,76.0,2016-04-02 09:00:00,11.41,14
None, None, 3.255,73.3,2016-04-02 10:00:00,11.84,14
None, None, 5.194,73.6,2016-04-02 11:00:00,12.02,14
None, None, 6.106,77.8,2016-04-02 12:00:00,11.63,14
None, None, 5.582,76.0,2016-04-02 13:00:00,11.8,14
None, None, 4.216,70.4,2016-04-02 14:00:00,12.87,14
None, None, 4.107,68.24,2016-04-02 15:00:00,13.22,14
None, None, 4.768,67.84,2016-04-02 16:00:00,13.04,14
None, None, 4.428,70.2,2016-04-02 17:00:00,12.79,14
None, None, 3.722,69.28,2016-04-02 18:00:00,12.68,14
None, None, 1.938,68.14,2016-04-02 19:00:00,12.11,14
None, None, 1.126,70.9,2016-04-02 20:00:00,11.63,14
None, None, 1.01,75.6,2016-04-02 21:00:00,10.92,14
None, None, 1.227,75.8,2016-04-02 22:00:00,10.69,14
None, None, 0.609,78.1,2016-04-02 23:00:00,10.4,14
None, None, 0.995,80.3,2016-04-03 00:00:00,9.99,14
None, None, 0.98,82.5,2016-04-03 01:00:00,9.22,14
None, None, 1.297,83.2,2016-04-03 02:00:00,8.62,14
None, None, 0.848999,83.7,2016-04-03 03:00:00,8.45,14
None, None, 1.551,83.9,2016-04-03 04:00:00,8.4,14
None, None, 1.282,85.3,2016-04-03 05:00:00,8.19,14
None, None, 0.409999,86.0,2016-04-03 06:00:00,8.35,14
None, None, 0.662998,82.3,2016-04-03 07:00:00,8.87,14
None, None, 1.623,78.3,2016-04-03 08:00:00,9.81,14
None, None, 0.54,75.7,2016-04-03 09:00:00,11.0,14
None, None, 2.203,72.6,2016-04-03 10:00:00,11.43,14
None, None, 1.881,70.8,2016-04-03 11:00:00,11.9,14
None, None, 0.829999,66.03,2016-04-03 12:00:00,12.69,14
None, None, 1.557,66.76,2016-04-03 13:00:00,13.0,14
None, None, 1.23,65.21,2016-04-03 14:00:00,13.6,14
None, None, 1.124,67.61,2016-04-03 15:00:00,13.96,14
