station_observations
Rain_Tot, Solar_Avg, WindDir_Std, Solar_Std, WS_Avg, WS_Std, Pressure, AirTC, time, RH, WindDir_Avg, DBTCDT
None, 0.0, 8.79, 0.0, 4.283, 0.509, 821.909, -32.29, 2012-01-01 00:00:00, 58.34, 188.8, 204.2
None, 0.0, 10.91, 0.0, 4.197, 0.219, 821.771, -31.83, 2012-01-01 00:15:00, 62.48, 185.5, 204.6
None, 0.0, 3.705, 0.0, 4.513, 0.224, 821.915, -31.07, 2012-01-01 00:30:00, 55.34, 174.4, 204.3
None, 0.0, 5.291, 0.0, 4.264, 0.389, 821.909, -31.02, 2012-01-01 00:45:00, 52.85, 179.3, 203.9
None, 0.0, 16.06, 0.0, 3.942, 0.315, 821.771, -32.47, 2012-01-01 01:00:00, 61.69, 198.2, 204.3
None, 0.0, 14.75, 0.0, 4.15, 0.35, 821.773, -32.51, 2012-01-01 01:15:00, 61.01, 212.1, 204.1
None, 0.0, 14.94, 0.0, 4.129, 0.429, 821.504, -31.85, 2012-01-01 01:30:00, 62.68, 192.5, 204.4
None, 0.0, 10.36, 0.0, 4.696, 0.431, 821.292, -31.9, 2012-01-01 01:45:00, 64.08, 191.6, 203.9
None, 0.0, 7.611, 0.0, 4.635, 0.333, 821.155, -31.78, 2012-01-01 02:00:00, 63.12, 180.5, 203.8
None, 0.0, 4.82, 0.0, 4.591, 0.5, 821.018, -31.07, 2012-01-01 02:15:00, 61.08, 181.5, 203.7
None, 0.0, 8.12, 0.0, 5.022, 0.361, 821.156, -31.12, 2012-01-01 02:30:00, 62.13, 193.7, 203.9
None, 0.0, 7.669, 0.0, 4.795, 0.466, 821.159, -30.49, 2012-01-01 02:45:00, 62.34, 186.1, 203.7
None, 0.0, 6.172, 0.0, 4.797, 0.51, 821.164, -30.49, 2012-01-01 03:00:00, 62.82, 189.9, 203.9
None, 0.0, 2.925, 0.0, 5.422, 0.292, 821.029, -29.95, 2012-01-01 03:15:00, 61.35, 187.2, 203.8
None, 0.0, 6.715, 0.0, 5.323, 0.37, 821.16, -30.07, 2012-01-01 03:30:00, 61.38, 193.5, 203.7
None, 0.0, 5.935, 0.0, 4.83, 0.521, 821.018, -30.54, 2012-01-01 03:45:00, 64.69, 197.5, 203.8
None, 0.0, 6.423, 0.0, 4.982, 0.319, 821.301, -30.44, 2012-01-01 04:00:00, 65.48, 194.9, 203.8
None, 0.0, 16.77, 0.0, 3.565, 0.662, 821.165, -29.75, 2012-01-01 04:15:00, 61.93, 171.1, 203.8
None, 0.0, 21.92, 0.0, 1.596, 0.589, 821.022, -29.36, 2012-01-01 04:30:00, 58.38, 176.1, 203.8
None, 0.0, 35.29, 0.0, 2.236, 0.956, 821.161, -29.27, 2012-01-01 04:45:00, 56.91, 163.3, 203.4
None, 0.0, 53.71, 0.0, 1.564, 0.568, 821.156, -29.17, 2012-01-01 05:00:00, 53.12, 172.7, 203.5
None, 0.0, 6.004, 0.0, 4.421, 0.507, 821.157, -30.15, 2012-01-01 05:15:00, 58.96, 196.0, 203.5
None, 0.0, 19.31, 0.0, 4.438, 0.837, 821.294, -29.71, 2012-01-01 05:30:00, 60.5, 186.9, 203.4
None, 0.0, 24.28, 0.0, 3.4, 1.104, 821.16, -30.29, 2012-01-01 05:45:00, 61.66, 180.2, 203.3
None, 0.0, 6.967, 0.0, 3.433, 0.509, 821.152, -29.8, 2012-01-01 06:00:00, 56.67, 178.2, 203.2
None, 0.0, 6.015, 0.0, 4.705, 0.316, 821.017, -29.12, 2012-01-01 06:15:00, 52.37, 170.7, 202.9
None, 0.0, 3.376, 0.0, 5.085, 0.192, 821.018, -29.46, 2012-01-01 06:30:00, 55.13, 169.5, 203.1
None, 0.0, 4.595, 0.0, 4.661, 0.168, 821.156, -29.36, 2012-01-01 06:45:00, 54.45, 169.1, 202.9
None, 0.0, 5.66, 0.0, 4.234, 0.384, 821.636, -29.02, 2012-01-01 07:00:00, 53.36, 156.2, 203.0
None, 0.0, 10.61, 0.0, 3.772, 0.328, 821.436, -29.05, 2012-01-01 07:15:00, 54.76, 147.4, 202.7
None, 0.0, 11.04, 0.0, 4.514, 0.404, 821.167, -29.66, 2012-01-01 07:30:00, 58.72, 177.5, 203.2
None, 0.0, 4.616, 0.0, 4.523, 0.482, 821.167, -30.0, 2012-01-01 07:45:00, 61.63, 186.1, 203.3
None, 0.0, 5.601, 0.0, 4.034, 0.211, 820.963, -29.41, 2012-01-01 08:00:00, 57.26, 179.2, 202.6
None, 0.0, 3.66, 0.0, 4.773, 0.153, 821.027, -29.07, 2012-01-01 08:15:00, 57.19, 174.1, 202.6
None, 0.0, 3.673, 0.0, 5.207, 0.36, 821.164, -28.9, 2012-01-01 08:30:00, 58.24, 169.6, 202.6
None, 0.0, 8.1, 0.0, 4.749, 0.581, 821.405, -30.09, 2012-01-01 08:45:00, 64.59, 177.1, 202.7
None, 0.0, 9.38, 0.0, 4.217, 0.471, 821.167, -29.85, 2012-01-01 09:00:00, 62.85, 186.4, 202.7
None, 1.244, 5.96, 1.466, 5.846, 0.375, 821.168, -29.22, 2012-01-01 09:15:00, 59.37, 189.3, 202.4
None, 4.796, 10.93, 1.717, 5.482, 0.341, 821.031, -28.58, 2012-01-01 09:30:00, 56.71, 176.6, 202.5
None, 12.52, 3.01, 2.906, 4.983, 0.274, 821.304, -29.41, 2012-01-01 09:45:00, 60.64, 174.8, 202.6
None, 23.93, 5.686, 4.31, 5.039, 0.56, 821.304, -29.34, 2012-01-01 10:00:00, 61.49, 177.2, 202.6
None, 58.87, 4.706, 13.56, 4.409, 0.405, 821.509, -29.24, 2012-01-01 10:15:00, 63.09, 179.8, 202.3
None, 101.6, 6.901, 15.21, 5.575, 0.479, 821.646, -28.97, 2012-01-01 10:30:00, 62.31, 182.7, 202.4
None, 118.3, 9.54, 1.503, 4.76, 0.356, 821.851, -27.68, 2012-01-01 10:45:00, 54.83, 173.1, 202.3
None, 116.0, 7.511, 4.775, 5.186, 0.385, 822.124, -27.6, 2012-01-01 11:00:00, 56.78, 169.0, 202.4
None, 112.4, 10.07, 4.253, 5.506, 0.577, 822.124, -27.99, 2012-01-01 11:15:00, 60.05, 182.2, 202.2
None, 115.7, 8.37, 2.56, 4.989, 0.324, 822.26, -27.77, 2012-01-01 11:30:00, 59.99, 178.7, 202.3
None, 124.2, 5.52, 6.726, 5.561, 0.52, 822.397, -27.41, 2012-01-01 11:45:00, 58.38, 178.9, 202.3
None, 121.4, 5.333, 5.262, 6.091, 0.643, 822.124, -27.46, 2012-01-01 12:00:00, 63.13, 180.7, 202.2
None, 115.1, 6.215, 3.392, 6.236, 0.588, 821.646, -27.02, 2012-01-01 12:15:00, 56.88, 190.2, 202.2
None, 111.6, 10.91, 7.506, 5.958, 1.0, 821.031, -27.16, 2012-01-01 12:30:00, 59.44, 177.9, 202.2
None, 95.5, 6.685, 1.815, 4.336, 0.395, 821.031, -27.26, 2012-01-01 12:45:00, 61.04, 177.3, 202.1
None, 104.2, 8.96, 4.965, 4.254, 0.383, 820.894, -27.07, 2012-01-01 13:00:00, 66.23, 178.3, 202.2
None, 112.1, 7.276, 1.958, 4.502, 0.342, 821.031, -26.58, 2012-01-01 13:15:00, 63.02, 177.9, 202.1
None, 111.0, 9.21, 1.711, 4.979, 0.783, 821.304, -26.33, 2012-01-01 13:30:00, 61.76, 186.5, 202.0
None, 113.3, 8.27, 1.802, 5.971, 0.435, 820.894, -25.75, 2012-01-01 13:45:00, 66.44, 176.1, 202.1
None, 118.1, 9.86, 1.395, 6.191, 0.561, 820.587, -25.6, 2012-01-01 14:00:00, 68.32, 165.8, 201.6
None, 143.6, 3.047, 12.03, 6.598, 0.282, 820.417, -25.55, 2012-01-01 14:15:00, 70.4, 164.2, 201.1
None, 156.5, 5.969, 7.533, 6.744, 0.384, 820.417, -25.7, 2012-01-01 14:30:00, 70.64, 165.7, 200.9
None, 102.3, 5.648, 16.38, 6.085, 0.418, 820.69, -25.8, 2012-01-01 14:45:00, 71.97, 168.1, 200.2
None, 68.15, 6.632, 5.283, 5.542, 0.584, 820.929, -26.09, 2012-01-01 15:00:00, 71.97, 172.5, 200.2
None, 74.5, 9.98, 5.276, 4.473, 0.511, 821.031, -25.21, 2012-01-01 15:15:00, 73.23, 173.3, 200.6
None, 68.45, 14.74, 4.647, 3.975, 0.255, 820.929, -25.45, 2012-01-01 15:30:00, 73.51, 198.5, 200.5
None, 44.11, 13.18, 4.844, 3.971, 0.559, 820.687, -25.55, 2012-01-01 15:45:00, 72.58, 199.7, 200.3
None, 37.42, 8.72, 2.783, 4.632, 0.414, 820.416, -25.94, 2012-01-01 16:00:00, 73.57, 193.4, 200.4
None, 26.11, 9.0, 3.519, 4.06, 0.663, 820.269, -24.63, 2012-01-01 16:15:00, 69.78, 191.5, 200.2
None, 15.96, 16.58, 2.6, 4.559, 0.485, 820.201, -25.09, 2012-01-01 16:30:00, 72.72, 194.6, 200.2
None, 7.054, 11.53, 2.276, 4.753, 0.739, 820.198, -24.8, 2012-01-01 16:45:00, 72.38, 197.8, 200.2
None, 1.768, 19.54, 0.879, 4.258, 0.802, 820.396, -24.68, 2012-01-01 17:00:00, 72.58, 196.2, 200.3
None, 0.54, 10.0, 0.241, 3.605, 0.895, 820.538, -24.41, 2012-01-01 17:15:00, 75.48, 196.0, 200.2
None, 0.049, 13.88, 0.098, 4.413, 0.482, 819.922, -24.48, 2012-01-01 17:30:00, 80.6, 204.1, 200.2
None, 0.0, 8.69, 0.0, 4.032, 0.843, 819.784, -24.58, 2012-01-01 17:45:00, 81.0, 195.8, 200.5
None, 0.0, 7.159, 0.0, 4.973, 0.57, 819.158, -24.68, 2012-01-01 18:00:00, 84.2, 189.0, 200.5
None, 0.0, 8.92, 0.0, 6.05, 0.454, 818.949, -24.31, 2012-01-01 18:15:00, 83.9, 182.7, 200.1
None, 0.0, 6.802, 0.0, 5.75, 0.558, 818.746, -24.51, 2012-01-01 18:30:00, 84.4, 180.4, 199.9
None, 0.0, 11.72, 0.0, 5.986, 0.779, 818.605, -24.22, 2012-01-01 18:45:00, 87.3, 179.5, 199.9
None, 0.016, 7.693, 0.061, 8.12, 0.688, 818.468, -23.85, 2012-01-01 19:00:00, 86.7, 160.8, 199.2
None, 0.0, 17.28, 0.0, 6.506, 0.871, 818.194, -23.92, 2012-01-01 19:15:00, 87.4, 182.2, 198.7
None, 0.016, 19.25, 0.061, 7.057, 0.716, 817.99, -23.56, 2012-01-01 19:30:00, 85.7, 171.1, 198.9
None, 0.0, 10.27, 0.0, 5.146, 1.36, 817.99, -23.39, 2012-01-01 19:45:00, 86.1, 169.2, 198.8
None, 0.0, 30.98, 0.0, 3.164, 0.963, 817.99, -23.12, 2012-01-01 20:00:00, 84.5, 202.9, 198.6
None, 0.016, 37.67, 0.061, 4.485, 1.284, 817.716, -22.6, 2012-01-01 20:15:00, 83.6, 195.1, 198.4
None, 0.0, 17.34, 0.0, 4.942, 0.647, 817.648, -22.48, 2012-01-01 20:30:00, 84.9, 178.3, 198.4
None, 0.0, 7.625, 0.0, 6.74, 0.622, 817.379, -22.48, 2012-01-01 20:45:00, 84.7, 163.0, 198.3
None, 0.0, 5.578, 0.0, 7.485, 0.374, 817.04, -22.31, 2012-01-01 21:00:00, 85.6, 161.7, 198.0
None, 0.0, 9.25, 0.0, 6.292, 0.659, 816.765, -23.58, 2012-01-01 21:15:00, 85.4, 163.8, 198.0
None, 0.0, 7.36, 0.0, 8.01, 0.638, 816.386, -22.36, 2012-01-01 21:30:00, 86.7, 158.2, 197.2
None, 0.0, 4.928, 0.0, 7.994, 0.944, 816.288, -72.79, 2012-01-01 21:45:00, 85.5, 161.2, 196.7
None, 0.0, 6.444, 0.0, 6.512, 0.672, 816.152, -20.87, 2012-01-01 22:00:00, 83.5, 158.3, 196.5
None, 0.0, 32.42, 0.0, 4.973, 2.254, 815.806, -21.65, 2012-01-01 22:15:00, 83.7, 128.9, 196.1
None, 0.0, 6.656, 0.0, 6.945, 0.75, 815.946, -20.38, 2012-01-01 22:30:00, 82.2, 157.4, 196.2
None, 0.0, 123.7, 0.0, 1.946, 1.407, 815.945, -22.21, 2012-01-01 22:45:00, 85.9, 189.2, 196.4
None, 0.0, 105.5, 0.0, 1.088, 0.539, 816.014, -20.77, 2012-01-01 23:00:00, 83.4, 157.4, 196.3
None, 0.0, 128.9, 0.0, 1.648, 0.667, 815.669, -21.6, 2012-01-01 23:15:00, 82.7, 206.4, 196.3
None, 0.0, 20.38, 0.0, 4.766, 2.177, 815.457, -72.79, 2012-01-01 23:30:00, 80.0, 153.7, 196.1
None, 0.0, 6.489, 0.0, 6.778, 0.693, 815.291, -72.79, 2012-01-01 23:45:00, 79.4, 147.0, 196.4
None, 0.0, 8.62, 0.0, 6.458, 0.915, 815.189, -72.79, 2012-01-02 00:00:00, 76.8, 141.1, 196.0
None, 0.0, 7.671, 0.0, 7.219, 0.757, 815.182, -72.79, 2012-01-02 00:15:00, 77.07, 143.1, 196.2
None, 0.0, 6.944, 0.0, 7.248, 0.594, 815.039, -72.79, 2012-01-02 00:30:00, 72.67, 144.3, 196.2
None, 0.0, 8.92, 0.0, 7.216, 0.533, 814.696, -72.79, 2012-01-02 00:45:00, 69.29, 146.3, 196.0
None, 0.0, 6.385, 0.0, 6.836, 0.432, 814.42, -72.79, 2012-01-02 01:00:00, 70.72, 149.9, 196.1
None, 0.0, 9.28, 0.0, 6.303, 0.694, 814.687, -72.79, 2012-01-02 01:15:00, 69.18, 147.6, 195.9
